"","src","f","t"
"1","Moore1973",125,0.47
"2","Moore1973",250,0.23
"3","Moore1973",500,0.15
"4","Moore1973",1000,0.15
"5","Moore1973",2000,0.18
"6","Moore1973",4000,0.23
"7","Moore1973",6000,0.45
"8","Moore1973",8500,1.05
"9","Moore2012",2000,0.97
"10","Moore2012",4000,1.25
"11","Moore2012",6000,1.4
"12","Moore2012",8000,2
"13","Moore2012",10000,2.3
"14","Moore2012",12000,2
"15","Moore2012",14000,2.2
"16","Lau2017",1680,1.1
"17","Lau2017",1960,1.1
"18","Lau2017",2250,1
"19","Lau2017",2520,1
"20","Lau2017",2800,0.8
"21","Lau2017",8400,22
"22","Lau2017",9800,23
"23","Lau2017",11200,31
"24","Lau2017",12600,32
"25","Lau2017",14000,35
"26","Gockel2020",1680,0.48
"27","Gockel2020",1960,0.31
"28","Gockel2020",2250,0.33
"29","Gockel2020",2520,0.33
"30","Gockel2020",2800,0.44
"31","Gockel2020",8400,2.9
"32","Gockel2020",9800,2.8
"33","Gockel2020",11200,4.2
"34","Gockel2020",12600,8
"35","Gockel2020",14000,7.9
