"","F0","masker","threshold","sd","subj","experiment"
"32","280","GEOM",9.375,1.32876823,"x04","Exp1a"
"33","1400","ISO",1.5,0.93541435,"x04","Exp1a"
"34","280","ISO",3.125,1.85825859,"x04","Exp1a"
"35","1400","GEOM",13.125,1.17924764,"x04","Exp1a"
"36","1400","ISO",8.125,1.66301684,"x04","Exp1a"
"37","1400","GEOM",3.875,1.58607219,"x04","Exp1a"
"38","280","GEOM",12.125,1.17924764,"x04","Exp1a"
"39","280","ISO",6.375,1.00778222,"x04","Exp1a"
"40","1400","ISO",-1.75,0.8291562,"x04","Exp1a"
"41","280","GEOM",11.875,1.125,"x04","Exp1a"
"42","1400","GEOM",13.25,0.96824584,"x04","Exp1a"
"43","280","ISO",2.125,0.71807033,"x04","Exp1a"
"44","280","GEOM",13.75,1.03077641,"x04","Exp1a"
"45","1400","GEOM",13.75,0.70710678,"x04","Exp1a"
"46","280","ISO",3.125,0.80039053,"x04","Exp1a"
"47","1400","ISO",9.625,0.9437293,"x04","Exp1a"
"48","280","GEOM",6.25,1.06066017,"x04","Exp1a"
"49","280","ISO",0.875,1.70018381,"x04","Exp1a"
"50","1400","ISO",5.375,2.13965535,"x04","Exp1a"
"51","1400","GEOM",12.25,1.11803399,"x04","Exp1a"
"52","1400","GEOM",12.75,0.70710678,"x04","Exp1a"
"53","1400","ISO",-0.75,0.55901699,"x04","Exp1a"
"54","280","GEOM",9.875,0.6731456,"x04","Exp1a"
"55","280","ISO",-0.375,1.39754249,"x04","Exp1a"
"56","1400","ISO",3.625,3.84260654,"x04","Exp1a"
"57","280","GEOM",5.375,1.32876823,"x04","Exp1a"
"58","280","ISO",5.375,0.5153882,"x04","Exp1a"
"59","1400","GEOM",12.25,1.5411035,"x04","Exp1a"
"60","1400","GEOM",12.125,0.80039053,"x05","Exp1a"
"61","1400","ISO",5.375,1.39754249,"x05","Exp1a"
"62","280","ISO",2,1.27475488,"x05","Exp1a"
"63","280","GEOM",12.125,1.00778222,"x05","Exp1a"
"64","280","ISO",-0.75,0.70710678,"x05","Exp1a"
"65","280","GEOM",10.375,1.71846589,"x05","Exp1a"
"66","1400","GEOM",10.125,0.80039053,"x05","Exp1a"
"67","1400","ISO",7.5,0.93541435,"x05","Exp1a"
"68","280","GEOM",6.25,0.61237244,"x05","Exp1a"
"69","1400","ISO",9.5,0.55901699,"x05","Exp1a"
"70","280","ISO",-0.375,0.6731456,"x05","Exp1a"
"71","1400","GEOM",13.375,0.6731456,"x05","Exp1a"
"72","1400","ISO",5.875,1.28086885,"x05","Exp1a"
"73","1400","GEOM",12.125,0.71807033,"x05","Exp1a"
"74","280","ISO",0.125,0.5153882,"x05","Exp1a"
"75","280","GEOM",5.375,0.6731456,"x05","Exp1a"
"76","280","ISO",1,0.61237244,"x05","Exp1a"
"77","1400","GEOM",13.375,1.32876823,"x05","Exp1a"
"78","280","GEOM",5.25,1.47901995,"x05","Exp1a"
"79","1400","ISO",9.5,1.60078106,"x05","Exp1a"
"80","1400","GEOM",11.375,1.70018381,"x05","Exp1a"
"81","280","GEOM",5.625,0.5153882,"x05","Exp1a"
"82","1400","ISO",6.875,0.5153882,"x05","Exp1a"
"83","280","ISO",2.125,0.9437293,"x05","Exp1a"
"84","1400","ISO",5.75,0.93541435,"x05","Exp1a"
"85","280","ISO",1.625,1.25623445,"x05","Exp1a"
"86","280","GEOM",9.5,0.55901699,"x05","Exp1a"
"87","1400","GEOM",11.375,1.17924764,"x05","Exp1a"
"116","280","ISO",-4.375,1.25623445,"x08","Exp1a"
"117","1400","GEOM",2.5,0.96824584,"x08","Exp1a"
"118","1400","ISO",3,1.11803399,"x08","Exp1a"
"119","280","GEOM",1.5,0.55901699,"x08","Exp1a"
"120","280","ISO",-4.875,1.25623445,"x08","Exp1a"
"121","1400","GEOM",3.375,0.5153882,"x08","Exp1a"
"122","280","GEOM",0.625,0.71807033,"x08","Exp1a"
"123","1400","ISO",2.5,2.44948974,"x08","Exp1a"
"124","280","GEOM",-1.25,1.5,"x08","Exp1a"
"125","280","ISO",-4.25,1.06066017,"x08","Exp1a"
"126","1400","ISO",1.875,2.42706098,"x08","Exp1a"
"127","1400","GEOM",4.5,0.93541435,"x08","Exp1a"
"128","1400","ISO",3.5,1.11803399,"x08","Exp1a"
"129","1400","GEOM",4.125,0.80039053,"x08","Exp1a"
"130","280","ISO",-3.5,0.96824584,"x08","Exp1a"
"131","280","GEOM",1.25,0.55901699,"x08","Exp1a"
"132","1400","ISO",4.75,0.8660254,"x08","Exp1a"
"133","280","ISO",-4.5,0.93541435,"x08","Exp1a"
"134","280","GEOM",0.125,0.80039053,"x08","Exp1a"
"135","1400","GEOM",3.5,0.8291562,"x08","Exp1a"
"136","280","GEOM",0.25,1.5612495,"x08","Exp1a"
"137","1400","GEOM",3,0.55901699,"x08","Exp1a"
"138","280","ISO",-5.75,0.61237244,"x08","Exp1a"
"139","1400","ISO",2,1.11803399,"x08","Exp1a"
"140","280","ISO",-7,0.93541435,"x08","Exp1a"
"141","1400","ISO",4.125,0.80039053,"x08","Exp1a"
"142","1400","GEOM",0.5,0.8291562,"x08","Exp1a"
"143","280","GEOM",-2.125,1.09687055,"x08","Exp1a"
"144","280","GEOM",11.25,1.03077641,"x09","Exp1a"
"145","1400","ISO",5.875,4.09458484,"x09","Exp1a"
"146","280","ISO",-2.625,0.80039053,"x09","Exp1a"
"147","1400","GEOM",6.5,0.8291562,"x09","Exp1a"
"148","280","ISO",-3.5,1.36930639,"x09","Exp1a"
"149","280","GEOM",2,0.8291562,"x09","Exp1a"
"150","1400","GEOM",7,0.61237244,"x09","Exp1a"
"151","1400","ISO",4.25,1.92028644,"x09","Exp1a"
"152","1400","GEOM",2,0.8291562,"x09","Exp1a"
"153","1400","ISO",3,1.11803399,"x09","Exp1a"
"154","280","GEOM",9.5,3.69120577,"x09","Exp1a"
"155","280","ISO",-0.625,0.80039053,"x09","Exp1a"
"156","1400","GEOM",6.75,1.3462912,"x09","Exp1a"
"157","280","GEOM",2.375,1.17924764,"x09","Exp1a"
"158","280","ISO",-1.375,1.09687055,"x09","Exp1a"
"159","1400","ISO",2.125,2.23955911,"x09","Exp1a"
"160","1400","GEOM",3.125,1.00778222,"x09","Exp1a"
"161","1400","ISO",3.5,1.11803399,"x09","Exp1a"
"162","280","ISO",-1.625,0.71807033,"x09","Exp1a"
"163","280","GEOM",12.125,0.71807033,"x09","Exp1a"
"164","280","GEOM",11.375,1.125,"x09","Exp1a"
"165","1400","GEOM",4.75,1.5612495,"x09","Exp1a"
"166","1400","ISO",2.625,2.91815438,"x09","Exp1a"
"167","280","ISO",0.375,0.91001374,"x09","Exp1a"
"168","1400","GEOM",4.5,1.11803399,"x09","Exp1a"
"169","280","ISO",-0.75,0.8291562,"x09","Exp1a"
"170","1400","ISO",5.875,1.66301684,"x09","Exp1a"
"171","280","GEOM",0.5,0.55901699,"x09","Exp1a"
"312","1400","GEOM",8.375,1.25623445,"x25","Exp1a"
"313","1400","ISO",12.375,1.58607219,"x25","Exp1a"
"314","280","ISO",2.25,1.60078106,"x25","Exp1a"
"315","280","GEOM",6.375,2.34853678,"x25","Exp1a"
"316","280","ISO",-1.75,0.93541435,"x25","Exp1a"
"317","280","GEOM",4.5,0.55901699,"x25","Exp1a"
"318","1400","ISO",4.5,1.3462912,"x25","Exp1a"
"319","1400","GEOM",12.625,0.5153882,"x25","Exp1a"
"320","1400","ISO",5.125,0.375,"x25","Exp1a"
"321","1400","GEOM",12.95833333,0.9619497,"x25","Exp1a"
"322","280","ISO",-3,1.11803399,"x25","Exp1a"
"323","280","GEOM",7.875,1.17924764,"x25","Exp1a"
"324","280","ISO",-2.5,0.55901699,"x25","Exp1a"
"325","1400","ISO",8.625,1.90804219,"x25","Exp1a"
"326","280","GEOM",12.5,1.5,"x25","Exp1a"
"327","1400","GEOM",12.5,1.36930639,"x25","Exp1a"
"328","280","GEOM",4.25,1.3462912,"x25","Exp1a"
"329","1400","ISO",1.125,1.90804219,"x25","Exp1a"
"331","280","ISO",-1.625,1.28086885,"x25","Exp1a"
"332","280","GEOM",5.375,0.5153882,"x25","Exp1a"
"333","280","ISO",-1.5,1.03077641,"x25","Exp1a"
"334","1400","ISO",6.875,1.39754249,"x25","Exp1a"
"335","1400","GEOM",8.25,2.82842712,"x25","Exp1a"
"336","280","ISO",-2.875,0.80039053,"x25","Exp1a"
"337","280","GEOM",11.25,1.6583124,"x25","Exp1a"
"338","1400","ISO",7.375,0.375,"x25","Exp1a"
"339","1400","GEOM",14.125,0.57282196,"x25","Exp1a"
"368","1400","GEOM",0.375,1.32876823,"x27","Exp1a"
"369","1400","ISO",-2.5,1.96850197,"x27","Exp1a"
"370","280","GEOM",0.375,1.00778222,"x27","Exp1a"
"371","280","ISO",-4.625,0.375,"x27","Exp1a"
"372","1400","ISO",-4.875,0.6731456,"x27","Exp1a"
"373","280","GEOM",-1.75,0.70710678,"x27","Exp1a"
"374","1400","GEOM",-0.75,1.47901995,"x27","Exp1a"
"375","280","ISO",-7.5,1.41421356,"x27","Exp1a"
"376","280","GEOM",1.5,0.55901699,"x27","Exp1a"
"377","1400","ISO",-4.75,1.11803399,"x27","Exp1a"
"378","1400","GEOM",1.25,1.76776695,"x27","Exp1a"
"379","280","ISO",-5.125,0.80039053,"x27","Exp1a"
"380","1400","ISO",-1.375,1.66301684,"x27","Exp1a"
"381","1400","GEOM",2.125,0.71807033,"x27","Exp1a"
"382","280","ISO",-5.375,0.9437293,"x27","Exp1a"
"383","280","GEOM",0.625,1.125,"x27","Exp1a"
"384","280","ISO",-2.375,0.375,"x27","Exp1a"
"385","1400","GEOM",-1.375,0.80039053,"x27","Exp1a"
"386","1400","ISO",-4.5,0.93541435,"x27","Exp1a"
"387","280","GEOM",-0.75,0.93541435,"x27","Exp1a"
"388","280","GEOM",-0.125,0.375,"x27","Exp1a"
"389","1400","GEOM",-0.875,0.71807033,"x27","Exp1a"
"390","280","ISO",-5.625,1.00778222,"x27","Exp1a"
"391","1400","ISO",-2.875,1.46308749,"x27","Exp1a"
"392","1400","ISO",-5.625,1.32876823,"x27","Exp1a"
"393","1400","GEOM",-2.625,1.46308749,"x27","Exp1a"
"394","280","ISO",-5.875,0.80039053,"x27","Exp1a"
"395","280","GEOM",-2.875,0.80039053,"x27","Exp1a"
"396","1400","ISO",0.125,0.80039053,"x30","Exp1a"
"397","1400","GEOM",4.125,1.00778222,"x30","Exp1a"
"398","280","ISO",-3.875,1.03832798,"x30","Exp1a"
"399","280","GEOM",1.875,0.80039053,"x30","Exp1a"
"400","1400","GEOM",3.625,1.125,"x30","Exp1a"
"401","1400","ISO",2.75,0.55901699,"x30","Exp1a"
"402","280","ISO",-2.75,0.96824584,"x30","Exp1a"
"403","280","GEOM",2.375,0.6731456,"x30","Exp1a"
"404","280","GEOM",4.125,1.58607219,"x30","Exp1a"
"405","1400","ISO",4.125,3.9071249,"x30","Exp1a"
"406","1400","GEOM",8.125,1.28086885,"x30","Exp1a"
"407","280","ISO",-1.75,1.03077641,"x30","Exp1a"
"408","1400","GEOM",4,2.29128785,"x30","Exp1a"
"409","280","ISO",-3.375,1.46308749,"x30","Exp1a"
"410","280","GEOM",2.875,1.66301684,"x30","Exp1a"
"411","1400","ISO",-1.25,0.75,"x30","Exp1a"
"412","280","ISO",-4.625,0.71807033,"x30","Exp1a"
"413","1400","ISO",0.125,0.80039053,"x30","Exp1a"
"414","280","GEOM",1.125,1.39754249,"x30","Exp1a"
"415","1400","GEOM",3.5,0.93541435,"x30","Exp1a"
"416","280","ISO",0.625,0.71807033,"x30","Exp1a"
"417","1400","ISO",0,0.55901699,"x30","Exp1a"
"418","1400","GEOM",2.25,1.41421356,"x30","Exp1a"
"419","280","GEOM",3.625,1.41972709,"x30","Exp1a"
"420","280","ISO",-1.75,0.70710678,"x30","Exp1a"
"421","280","GEOM",1.75,1.14564392,"x30","Exp1a"
"422","1400","ISO",-0.875,0.375,"x30","Exp1a"
"423","1400","GEOM",4.75,0.96824584,"x30","Exp1a"
"424","280","GEOM",0.5,0.8291562,"x32","Exp1a"
"425","1400","ISO",6.875,1.17924764,"x32","Exp1a"
"426","1400","GEOM",9.75,1.5411035,"x32","Exp1a"
"427","280","ISO",-4,0.8291562,"x32","Exp1a"
"428","1400","GEOM",13.5,0.8291562,"x32","Exp1a"
"429","1400","ISO",8.5,1.22474487,"x32","Exp1a"
"430","280","GEOM",1.125,0.80039053,"x32","Exp1a"
"431","280","ISO",-2.25,0.93541435,"x32","Exp1a"
"432","1400","ISO",10.375,0.71807033,"x32","Exp1a"
"433","1400","GEOM",9.125,1.00778222,"x32","Exp1a"
"434","280","GEOM",1.5,1.11803399,"x32","Exp1a"
"435","280","ISO",-5,0.96824584,"x32","Exp1a"
"436","1400","GEOM",12.125,1.00778222,"x32","Exp1a"
"437","280","GEOM",1.625,0.5153882,"x32","Exp1a"
"438","1400","ISO",5.125,1.28086885,"x32","Exp1a"
"439","280","ISO",-3.125,0.375,"x32","Exp1a"
"440","280","ISO",-3,0.55901699,"x32","Exp1a"
"441","1400","ISO",11.75,1.03077641,"x32","Exp1a"
"442","1400","GEOM",7.5,1.11803399,"x32","Exp1a"
"443","280","GEOM",8.625,2.09538183,"x32","Exp1a"
"444","1400","ISO",8.125,0.80039053,"x32","Exp1a"
"445","280","ISO",-5.125,0.6731456,"x32","Exp1a"
"446","280","GEOM",2.875,1.66301684,"x32","Exp1a"
"447","1400","GEOM",13.375,0.9437293,"x32","Exp1a"
"448","1400","ISO",7.25,1.6583124,"x32","Exp1a"
"449","280","GEOM",0.375,0.80039053,"x32","Exp1a"
"450","280","ISO",-3.25,0.55901699,"x32","Exp1a"
"451","1400","GEOM",4.625,0.80039053,"x32","Exp1a"
"452","280","ISO",5.125,1.28086885,"x35","Exp1a"
"453","1400","ISO",12.625,1.46308749,"x35","Exp1a"
"454","280","GEOM",3.75,1.11803399,"x35","Exp1a"
"455","1400","GEOM",12.125,0.9437293,"x35","Exp1a"
"456","280","ISO",5.125,0.71807033,"x35","Exp1a"
"457","1400","ISO",7.625,0.5153882,"x35","Exp1a"
"459","280","GEOM",1.125,1.39754249,"x35","Exp1a"
"460","1400","ISO",8.625,1.39754249,"x35","Exp1a"
"461","280","GEOM",11.625,0.80039053,"x35","Exp1a"
"462","1400","GEOM",5.25,0.55901699,"x35","Exp1a"
"463","280","ISO",8.125,1.54616461,"x35","Exp1a"
"464","280","ISO",-0.875,1.48429276,"x35","Exp1a"
"465","1400","GEOM",12.25,1.43614066,"x35","Exp1a"
"466","280","GEOM",13,0.61237244,"x35","Exp1a"
"467","1400","ISO",9.5,1.43614066,"x35","Exp1a"
"468","1400","ISO",7.25,0.55901699,"x35","Exp1a"
"469","1400","GEOM",12.125,1.28086885,"x35","Exp1a"
"470","280","ISO",-3.875,1.71846589,"x35","Exp1a"
"471","280","GEOM",11.75,0.70710678,"x35","Exp1a"
"472","1400","GEOM",11.625,1.39754249,"x35","Exp1a"
"473","1400","ISO",2.5,1.43614066,"x35","Exp1a"
"474","280","GEOM",0.875,2.00390244,"x35","Exp1a"
"475","280","ISO",6.875,3.39346799,"x35","Exp1a"
"476","1400","GEOM",12,0.93541435,"x35","Exp1a"
"477","280","GEOM",12.25,0.70710678,"x35","Exp1a"
"478","1400","ISO",7.625,0.80039053,"x35","Exp1a"
"479","280","ISO",9.25,0.61237244,"x35","Exp1a"
"480","280","ISO",-9,1.03077641,"x37","Exp1a"
"481","1400","ISO",11.75,1.22474487,"x37","Exp1a"
"482","280","GEOM",-3.125,1.97246673,"x37","Exp1a"
"484","280","ISO",-5.625,0.5153882,"x37","Exp1a"
"485","280","GEOM",11.125,0.375,"x37","Exp1a"
"486","1400","GEOM",12.91666667,1.51152976,"x37","Exp1a"
"487","1400","ISO",11.375,1.125,"x37","Exp1a"
"488","280","ISO",-4.125,0.91001374,"x37","Exp1a"
"489","1400","ISO",10.875,0.80039053,"x37","Exp1a"
"490","280","GEOM",12,1.03077641,"x37","Exp1a"
"491","1400","GEOM",13.875,0.5153882,"x37","Exp1a"
"492","280","ISO",-4.375,0.5153882,"x37","Exp1a"
"494","1400","ISO",11.5,1.60078106,"x37","Exp1a"
"495","280","GEOM",5.875,3.2040014,"x37","Exp1a"
"496","280","GEOM",0.125,0.6731456,"x37","Exp1a"
"497","280","ISO",-6,1.76776695,"x37","Exp1a"
"498","1400","ISO",11.5,0.93541435,"x37","Exp1a"
"500","1400","ISO",8.375,0.5153882,"x37","Exp1a"
"501","280","GEOM",1.25,0.55901699,"x37","Exp1a"
"502","280","ISO",-3.625,0.80039053,"x37","Exp1a"
"503","1400","GEOM",14.16666667,0.42491829,"x37","Exp1a"
"504","280","GEOM",-0.375,0.80039053,"x37","Exp1a"
"505","1400","ISO",11,0.75,"x37","Exp1a"
"506","280","ISO",-5.125,1.17924764,"x37","Exp1a"
"507","1400","GEOM",13.875,0.5153882,"x37","Exp1a"
"508","1400","ISO",9.625,0.71807033,"x38","Exp1a"
"509","1400","GEOM",11,1.71391365,"x38","Exp1a"
"510","280","ISO",-3.875,1.125,"x38","Exp1a"
"511","280","GEOM",0,1.47901995,"x38","Exp1a"
"512","280","GEOM",-0.375,0.91001374,"x38","Exp1a"
"513","1400","GEOM",8.125,0.375,"x38","Exp1a"
"514","1400","ISO",9,1.3462912,"x38","Exp1a"
"515","280","ISO",-6.25,0.70710678,"x38","Exp1a"
"516","280","ISO",-7,0.8291562,"x38","Exp1a"
"517","280","GEOM",0.375,1.70018381,"x38","Exp1a"
"518","1400","GEOM",10,1.62018517,"x38","Exp1a"
"519","1400","ISO",10.75,0.61237244,"x38","Exp1a"
"520","1400","GEOM",11.25,0.8291562,"x38","Exp1a"
"521","280","ISO",-5.375,0.71807033,"x38","Exp1a"
"522","280","GEOM",0.125,0.5153882,"x38","Exp1a"
"523","1400","ISO",8,0.55901699,"x38","Exp1a"
"524","1400","ISO",10.5,1.19895788,"x38","Exp1a"
"525","1400","GEOM",6,1.11803399,"x38","Exp1a"
"526","280","ISO",-5,0.96824584,"x38","Exp1a"
"527","280","GEOM",-0.25,1.3462912,"x38","Exp1a"
"528","1400","ISO",10,1.43614066,"x38","Exp1a"
"529","280","ISO",-4.125,0.80039053,"x38","Exp1a"
"530","280","GEOM",-0.875,1.28086885,"x38","Exp1a"
"531","1400","GEOM",9.875,2.09538183,"x38","Exp1a"
"532","280","ISO",-4.25,1.29903811,"x38","Exp1a"
"533","280","GEOM",-4,1.60078106,"x38","Exp1a"
"534","1400","ISO",4.75,3.15238005,"x38","Exp1a"
"535","1400","GEOM",12.125,0.80039053,"x38","Exp1a"
"536","1400","ISO",6.625,1.66301684,"x39","Exp1a"
"537","280","ISO",-2.375,0.375,"x39","Exp1a"
"538","1400","GEOM",8.875,1.125,"x39","Exp1a"
"539","280","GEOM",2.75,0.70710678,"x39","Exp1a"
"540","280","ISO",-2.375,1.28086885,"x39","Exp1a"
"541","1400","GEOM",8.875,0.375,"x39","Exp1a"
"542","280","GEOM",3.375,0.5153882,"x39","Exp1a"
"543","1400","ISO",8.375,0.6731456,"x39","Exp1a"
"544","1400","GEOM",11.25,1.03077641,"x39","Exp1a"
"545","1400","ISO",9.375,1.00778222,"x39","Exp1a"
"546","280","GEOM",1.875,0.6731456,"x39","Exp1a"
"547","280","ISO",-2.875,1.17924764,"x39","Exp1a"
"548","1400","GEOM",6.375,0.5153882,"x39","Exp1a"
"549","1400","ISO",9,1.19895788,"x39","Exp1a"
"550","280","GEOM",2.875,0.9437293,"x39","Exp1a"
"551","280","ISO",-2.625,1.00778222,"x39","Exp1a"
"552","1400","ISO",4.375,1.28086885,"x39","Exp1a"
"553","280","GEOM",1.625,0.80039053,"x39","Exp1a"
"554","280","ISO",-3.75,1.11803399,"x39","Exp1a"
"555","1400","GEOM",3.25,0.8660254,"x39","Exp1a"
"556","280","GEOM",3.125,1.00778222,"x39","Exp1a"
"557","1400","GEOM",8.5,0.61237244,"x39","Exp1a"
"558","280","ISO",-2.375,1.28086885,"x39","Exp1a"
"559","1400","ISO",9.625,1.58607219,"x39","Exp1a"
"560","1400","GEOM",4.125,1.17924764,"x39","Exp1a"
"561","280","ISO",0,0.70710678,"x39","Exp1a"
"562","1400","ISO",4.125,1.32876823,"x39","Exp1a"
"563","280","GEOM",1.875,1.09687055,"x39","Exp1a"
"570","1400","GEOM",-0.375,0.80039053,"z99","Exp1a"
"571","280","GEOM",0,0.93541435,"z99","Exp1a"
"572","1400","ISO",-2.125,0.6731456,"z99","Exp1a"
"573","280","ISO",-5.75,0.61237244,"z99","Exp1a"
"574","1400","GEOM",10.375,0.375,"z99","Exp1a"
"575","1400","ISO",-5.5,1.76776695,"z99","Exp1a"
"576","280","ISO",-8.125,1.25623445,"z99","Exp1a"
"577","280","GEOM",-1.375,2.34853678,"z99","Exp1a"
"578","1400","ISO",-4.125,1.46308749,"z99","Exp1a"
"579","1400","GEOM",-0.75,1.27475488,"z99","Exp1a"
"580","280","ISO",-6.375,1.17924764,"z99","Exp1a"
"581","1400","ISO",-4.375,0.5153882,"z99","Exp1a"
"4","1400","GEOM",14.33333333,0.42491829,"x04","Exp1b"
"5","1400","ISO",4.875,2.42706098,"x04","Exp1b"
"6","280","ISO",7.375,3.14493641,"x04","Exp1b"
"7","280","GEOM",2.625,1.46308749,"x04","Exp1b"
"9","280","ISO",4.875,2.91815438,"x04","Exp1b"
"10","1400","GEOM",10.75,2.23606798,"x04","Exp1b"
"11","1400","ISO",5.375,2.91815438,"x04","Exp1b"
"12","280","GEOM",11.5,0.75,"x04","Exp1b"
"13","1400","GEOM",13.125,0.80039053,"x04","Exp1b"
"14","280","ISO",8.375,1.32876823,"x04","Exp1b"
