"","F0","interval","threshold","sd","subj"
"4","280","2.5",3.5,0.95742711,"x04"
"5","1400","1.5",16.16666667,1.77169097,"x04"
"6","1400","2.5",14,1.52752523,"x04"
"7","280","1.5",10.66666667,1.88561808,"x04"
"8","280","2.5",12.5,3.59397644,"x04"
"9","280","1.5",15.66666667,0.74535599,"x04"
"10","1400","1.5",18.83333333,0.89752747,"x04"
"11","1400","2.5",15.16666667,0.89752747,"x04"
"12","280","1.5",6,1.29099445,"x04"
"13","280","2.5",11.5,0.95742711,"x04"
"14","1400","1.5",15.33333333,0.74535599,"x04"
"15","1400","2.5",10.66666667,1.24721913,"x04"
"16","1400","1.5",12.83333333,1.46249406,"x04"
"17","1400","2.5",12.33333333,1.37436854,"x04"
"18","280","2.5",6.5,1.70782513,"x04"
"19","280","1.5",9.33333333,0.74535599,"x04"
"20","280","2.5",5.66666667,3.24893145,"x04"
"21","1400","2.5",12.66666667,2.3570226,"x04"
"22","1400","1.5",10,0.81649658,"x04"
"23","280","1.5",8.33333333,0.74535599,"x04"
"24","280","2.5",5.33333333,1.1055416,"x04"
"25","1400","1.5",10.16666667,0.68718427,"x04"
"26","280","1.5",8.83333333,2.26691175,"x04"
"27","1400","2.5",14,1.73205081,"x04"
"28","280","1.5",7.16666667,1.67497927,"x04"
"29","1400","1.5",12.83333333,1.46249406,"x04"
"30","280","2.5",12.33333333,1.88561808,"x04"
"31","1400","2.5",16.16666667,1.06718737,"x04"
"32","280","2.5",7.5,0.95742711,"x27"
"33","1400","2.5",7.33333333,1.24721913,"x27"
"34","280","1.5",13.16666667,1.06718737,"x27"
"35","1400","1.5",11.83333333,2.40947205,"x27"
"36","1400","2.5",9.66666667,1.37436854,"x27"
"37","280","1.5",7.66666667,1.97202659,"x27"
"38","1400","1.5",11.83333333,0.68718427,"x27"
"39","280","2.5",4,0.81649658,"x27"
"40","280","1.5",7,1.41421356,"x27"
"41","280","2.5",6.33333333,1.1055416,"x27"
"42","1400","1.5",8.66666667,1.24721913,"x27"
"43","1400","2.5",8.33333333,0.74535599,"x27"
"44","1400","2.5",10,1.41421356,"x27"
"45","1400","1.5",10.66666667,1.49071198,"x27"
"46","280","1.5",7,1.29099445,"x27"
"47","280","2.5",5.16666667,1.34370962,"x27"
"48","280","1.5",5.16666667,1.57233019,"x27"
"49","1400","1.5",5.33333333,2.13437475,"x27"
"50","1400","2.5",5.66666667,0.94280904,"x27"
"51","280","2.5",4,0.81649658,"x27"
"52","280","1.5",4,0.81649658,"x27"
"53","1400","1.5",12.33333333,0.74535599,"x27"
"54","280","2.5",4.66666667,2.4267033,"x27"
"55","1400","2.5",9.66666667,1.88561808,"x27"
"56","280","1.5",6.16666667,1.21335165,"x27"
"57","280","2.5",4.33333333,1.24721913,"x27"
"58","1400","1.5",7.66666667,0.74535599,"x27"
"59","1400","2.5",7.66666667,2.13437475,"x27"
"60","280","1.5",17.33333333,1.97202659,"x30"
"61","1400","2.5",9.66666667,2.80871659,"x30"
"62","280","2.5",16.5,0.95742711,"x30"
"63","1400","1.5",10.5,0.5,"x30"
"64","1400","2.5",9.33333333,0.74535599,"x30"
"65","1400","1.5",8.66666667,0.74535599,"x30"
"66","280","2.5",13.5,2.21735578,"x30"
"67","280","1.5",13.33333333,1.1055416,"x30"
"68","1400","2.5",8.83333333,1.57233019,"x30"
"69","280","2.5",13.5,0.95742711,"x30"
"70","1400","1.5",9.33333333,2.4267033,"x30"
"71","280","1.5",16,1.73205081,"x30"
"72","1400","2.5",9.5,0.95742711,"x30"
"73","280","1.5",12.16666667,3.13138237,"x30"
"74","1400","1.5",11,1.73205081,"x30"
"75","280","2.5",10.83333333,1.46249406,"x30"
"76","1400","1.5",13,1.73205081,"x30"
"77","280","1.5",15.16666667,1.34370962,"x30"
"78","280","2.5",11,0.81649658,"x30"
"79","1400","2.5",11.66666667,1.1055416,"x30"
"80","280","2.5",15,0.81649658,"x30"
"81","1400","2.5",9.16666667,0.89752747,"x30"
"82","280","1.5",16.66666667,1.49071198,"x30"
"83","1400","1.5",12.33333333,1.59861051,"x30"
"84","280","1.5",9.33333333,2.13437475,"x30"
"85","280","2.5",16.33333333,0.94280904,"x30"
"86","1400","2.5",8.83333333,1.95078332,"x30"
"87","1400","1.5",6.66666667,2.86744176,"x30"
"88","280","2.5",6.66666667,1.24721913,"x40"
"89","280","1.5",12,1.15470054,"x40"
"90","1400","1.5",12.33333333,0.74535599,"x40"
"91","1400","2.5",18.16666667,1.06718737,"x40"
"92","280","1.5",7.16666667,1.06718737,"x40"
"93","1400","1.5",14.16666667,2.26691175,"x40"
"94","1400","2.5",12.33333333,1.97202659,"x40"
"95","280","2.5",7.83333333,1.06718737,"x40"
"96","280","1.5",15.66666667,1.1055416,"x40"
"97","1400","1.5",11.16666667,2.11476292,"x40"
"98","1400","2.5",18.83333333,1.46249406,"x40"
"99","280","2.5",8.16666667,1.57233019,"x40"
"100","1400","1.5",14.33333333,1.69967317,"x40"
"101","280","2.5",2.5,0.5,"x40"
"102","1400","2.5",15.5,2.06155281,"x40"
"103","280","1.5",11.16666667,1.77169097,"x40"
"104","1400","1.5",13.83333333,1.46249406,"x40"
"105","280","1.5",6.33333333,1.69967317,"x40"
"106","1400","2.5",13.33333333,0.74535599,"x40"
"107","280","2.5",0.83333333,3.28718049,"x40"
