,API,cf_high,cf_low,decoding_type,delta_theta,dur,dur_ramp,freq,fs,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,result,roving_type
0,"[[0.         0.        ]
 [0.         0.02777778]]",2120.0166774534496,706.6722258178165,AI,[0.001 0.001],0.1,0.01,1413.344451635633,500000.0,[35.3306723],Heinz2001,Heinz2001,40.0,40.0,20.0,0.03506459156957754,level
1,"[[0.         0.        ]
 [0.         0.02777778]]",2120.0166774534496,706.6722258178165,AI,[0.001 0.001],0.1,0.01,1413.344451635633,500000.0,[42.23769165],Heinz2001,Heinz2001,40.0,40.0,30.0,0.024699268209078563,level
2,"[[0.         0.        ]
 [0.         0.02777778]]",2120.0166774534496,706.6722258178165,AI,[0.001 0.001],0.1,0.01,1413.344451635633,500000.0,[51.96225077],Heinz2001,Heinz2001,40.0,40.0,40.0,0.020229899342026583,level
3,"[[0.         0.        ]
 [0.         0.02777778]]",2343.0025207532694,781.0008402510898,AI,[0.001 0.001],0.1,0.01,1562.0016805021796,500000.0,[31.29186443],Heinz2001,Heinz2001,40.0,40.0,20.0,0.03765841661265713,level
4,"[[0.         0.        ]
 [0.         0.02777778]]",2343.0025207532694,781.0008402510898,AI,[0.001 0.001],0.1,0.01,1562.0016805021796,500000.0,[40.74992111],Heinz2001,Heinz2001,40.0,40.0,30.0,0.026468181083279918,level
5,"[[0.         0.        ]
 [0.         0.02777778]]",2343.0025207532694,781.0008402510898,AI,[0.001 0.001],0.1,0.01,1562.0016805021796,500000.0,[52.91103619],Heinz2001,Heinz2001,40.0,40.0,40.0,0.020770956297579597,level
6,"[[0.         0.        ]
 [0.         0.02777778]]",2589.4422768646923,863.1474256215641,AI,[0.001 0.001],0.1,0.01,1726.2948512431283,500000.0,[31.02934763],Heinz2001,Heinz2001,40.0,40.0,20.0,0.040391101382668736,level
7,"[[0.         0.        ]
 [0.         0.02777778]]",2589.4422768646923,863.1474256215641,AI,[0.001 0.001],0.1,0.01,1726.2948512431283,500000.0,[42.55697155],Heinz2001,Heinz2001,40.0,40.0,30.0,0.02737874816237324,level
8,"[[0.         0.        ]
 [0.         0.02777778]]",2589.4422768646923,863.1474256215641,AI,[0.001 0.001],0.1,0.01,1726.2948512431283,500000.0,[55.5604657],Heinz2001,Heinz2001,40.0,40.0,40.0,0.02176721754111103,level
9,"[[0.         0.        ]
 [0.         0.02777778]]",2861.8028558750702,953.9342852916901,AI,[0.001 0.001],0.1,0.01,1907.8685705833802,500000.0,[32.58475199],Heinz2001,Heinz2001,40.0,40.0,20.0,0.03885045330765674,level
10,"[[0.         0.        ]
 [0.         0.02777778]]",2861.8028558750702,953.9342852916901,AI,[0.001 0.001],0.1,0.01,1907.8685705833802,500000.0,[45.12225748],Heinz2001,Heinz2001,40.0,40.0,30.0,0.028630316961155425,level
11,"[[0.         0.        ]
 [0.         0.02777778]]",2861.8028558750702,953.9342852916901,AI,[0.001 0.001],0.1,0.01,1907.8685705833802,500000.0,[55.92882848],Heinz2001,Heinz2001,40.0,40.0,40.0,0.023400809435767857,level
12,"[[0.         0.        ]
 [0.         0.02777778]]",3162.8106403712163,1054.270213457072,AI,[0.001 0.001],0.1,0.01,2108.540426914144,500000.0,[35.22503949],Heinz2001,Heinz2001,40.0,40.0,20.0,0.04320884005453876,level
13,"[[0.         0.        ]
 [0.         0.02777778]]",3162.8106403712163,1054.270213457072,AI,[0.001 0.001],0.1,0.01,2108.540426914144,500000.0,[42.60898074],Heinz2001,Heinz2001,40.0,40.0,30.0,0.030762797557770342,level
14,"[[0.         0.        ]
 [0.         0.02777778]]",3162.8106403712163,1054.270213457072,AI,[0.001 0.001],0.1,0.01,2108.540426914144,500000.0,[54.88679712],Heinz2001,Heinz2001,40.0,40.0,40.0,0.024732292826436297,level
15,"[[0.         0.        ]
 [0.         0.02777778]]",3495.478777061525,1165.1595923538416,AI,[0.001 0.001],0.1,0.01,2330.3191847076832,500000.0,[33.00216121],Heinz2001,Heinz2001,40.0,40.0,20.0,0.046720837293984296,level
16,"[[0.         0.        ]
 [0.         0.02777778]]",3495.478777061525,1165.1595923538416,AI,[0.001 0.001],0.1,0.01,2330.3191847076832,500000.0,[42.97392192],Heinz2001,Heinz2001,40.0,40.0,30.0,0.03268778944141557,level
17,"[[0.         0.        ]
 [0.         0.02777778]]",3495.478777061525,1165.1595923538416,AI,[0.001 0.001],0.1,0.01,2330.3191847076832,500000.0,[55.66147291],Heinz2001,Heinz2001,40.0,40.0,40.0,0.026593558282113766,level
18,"[[0.         0.        ]
 [0.         0.02777778]]",3863.137338963008,1287.7124463210027,AI,[0.001 0.001],0.1,0.01,2575.4248926420055,500000.0,[34.13319536],Heinz2001,Heinz2001,40.0,40.0,20.0,0.049984109152370684,level
