,API,cf_high,cf_low,decoding_type,delta_theta,dur,dur_ramp,freq,fs,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,result,roving_type
0,"[[0.         0.        ]
 [0.         0.02777778]]",2120.0166774534496,706.6722258178165,RP,[0.001 0.001],0.1,0.01,1413.344451635633,500000.0,[33.6379677],Heinz2001,Heinz2001,40.0,40.0,20.0,3.6095705520993815,level
1,"[[0.         0.        ]
 [0.         0.02777778]]",2120.0166774534496,706.6722258178165,RP,[0.001 0.001],0.1,0.01,1413.344451635633,500000.0,[44.51794875],Heinz2001,Heinz2001,40.0,40.0,30.0,3.091710440758239,level
2,"[[0.         0.        ]
 [0.         0.02777778]]",2120.0166774534496,706.6722258178165,RP,[0.001 0.001],0.1,0.01,1413.344451635633,500000.0,[55.68647857],Heinz2001,Heinz2001,40.0,40.0,40.0,3.2652308129020966,level
3,"[[0.         0.        ]
 [0.         0.02777778]]",2343.0025207532694,781.0008402510898,RP,[0.001 0.001],0.1,0.01,1562.0016805021796,500000.0,[35.00229372],Heinz2001,Heinz2001,40.0,40.0,20.0,3.823192020022811,level
4,"[[0.         0.        ]
 [0.         0.02777778]]",2343.0025207532694,781.0008402510898,RP,[0.001 0.001],0.1,0.01,1562.0016805021796,500000.0,[43.65727208],Heinz2001,Heinz2001,40.0,40.0,30.0,3.397455973227867,level
5,"[[0.         0.        ]
 [0.         0.02777778]]",2343.0025207532694,781.0008402510898,RP,[0.001 0.001],0.1,0.01,1562.0016805021796,500000.0,[51.21735485],Heinz2001,Heinz2001,40.0,40.0,40.0,3.5558563889466086,level
6,"[[0.         0.        ]
 [0.         0.02777778]]",2589.4422768646923,863.1474256215641,RP,[0.001 0.001],0.1,0.01,1726.2948512431283,500000.0,[36.07555932],Heinz2001,Heinz2001,40.0,40.0,20.0,4.0621192421577375,level
7,"[[0.         0.        ]
 [0.         0.02777778]]",2589.4422768646923,863.1474256215641,RP,[0.001 0.001],0.1,0.01,1726.2948512431283,500000.0,[46.14538376],Heinz2001,Heinz2001,40.0,40.0,30.0,3.7309947126799043,level
8,"[[0.         0.        ]
 [0.         0.02777778]]",2589.4422768646923,863.1474256215641,RP,[0.001 0.001],0.1,0.01,1726.2948512431283,500000.0,[53.67901349],Heinz2001,Heinz2001,40.0,40.0,40.0,3.9676357029895604,level
9,"[[0.         0.        ]
 [0.         0.02777778]]",2861.8028558750702,953.9342852916901,RP,[0.001 0.001],0.1,0.01,1907.8685705833802,500000.0,[32.71333211],Heinz2001,Heinz2001,40.0,40.0,20.0,4.70987895251845,level
10,"[[0.         0.        ]
 [0.         0.02777778]]",2861.8028558750702,953.9342852916901,RP,[0.001 0.001],0.1,0.01,1907.8685705833802,500000.0,[46.24912652],Heinz2001,Heinz2001,40.0,40.0,30.0,4.092570637527382,level
11,"[[0.         0.        ]
 [0.         0.02777778]]",2861.8028558750702,953.9342852916901,RP,[0.001 0.001],0.1,0.01,1907.8685705833802,500000.0,[56.3706854],Heinz2001,Heinz2001,40.0,40.0,40.0,4.390559550183743,level
12,"[[0.         0.        ]
 [0.         0.02777778]]",3162.8106403712163,1054.270213457072,RP,[0.001 0.001],0.1,0.01,2108.540426914144,500000.0,[35.13584699],Heinz2001,Heinz2001,40.0,40.0,20.0,4.962851948421225,level
13,"[[0.         0.        ]
 [0.         0.02777778]]",3162.8106403712163,1054.270213457072,RP,[0.001 0.001],0.1,0.01,2108.540426914144,500000.0,[43.42632221],Heinz2001,Heinz2001,40.0,40.0,30.0,4.488524607744586,level
14,"[[0.         0.        ]
 [0.         0.02777778]]",3162.8106403712163,1054.270213457072,RP,[0.001 0.001],0.1,0.01,2108.540426914144,500000.0,[56.28900836],Heinz2001,Heinz2001,40.0,40.0,40.0,4.84582642373061,level
15,"[[0.         0.        ]
 [0.         0.02777778]]",3495.478777061525,1165.1595923538416,RP,[0.001 0.001],0.1,0.01,2330.3191847076832,500000.0,[34.78122233],Heinz2001,Heinz2001,40.0,40.0,20.0,5.479697940898534,level
16,"[[0.         0.        ]
 [0.         0.02777778]]",3495.478777061525,1165.1595923538416,RP,[0.001 0.001],0.1,0.01,2330.3191847076832,500000.0,[47.10491687],Heinz2001,Heinz2001,40.0,40.0,30.0,4.9519201232197485,level
17,"[[0.         0.        ]
 [0.         0.02777778]]",3495.478777061525,1165.1595923538416,RP,[0.001 0.001],0.1,0.01,2330.3191847076832,500000.0,[55.08547867],Heinz2001,Heinz2001,40.0,40.0,40.0,5.296353915204726,level
18,"[[0.         0.        ]
 [0.         0.02777778]]",3863.137338963008,1287.7124463210027,RP,[0.001 0.001],0.1,0.01,2575.4248926420055,500000.0,[38.37420351],Heinz2001,Heinz2001,40.0,40.0,20.0,6.041246724346285,level
19,"[[0.         0.        ]
 [0.         0.02777778]]",3863.137338963008,1287.7124463210027,RP,[0.001 0.001],0.1,0.01,2575.4248926420055,500000.0,[43.27619044],Heinz2001,Heinz2001,40.0,40.0,30.0,5.419248095178911,level
20,"[[0.         0.        ]
 [0.         0.02777778]]",3863.137338963008,1287.7124463210027,RP,[0.001 0.001],0.1,0.01,2575.4248926420055,500000.0,[53.24619754],Heinz2001,Heinz2001,40.0,40.0,40.0,5.8512337339614735,level
21,"[[0.         0.        ]
 [0.         0.02777778]]",4269.466660082513,1423.1555533608378,RP,[0.001 0.001],0.1,0.01,2846.3111067216755,500000.0,[35.2786049],Heinz2001,Heinz2001,40.0,40.0,20.0,6.402593247571997,level
22,"[[0.         0.        ]
 [0.         0.02777778]]",4269.466660082513,1423.1555533608378,RP,[0.001 0.001],0.1,0.01,2846.3111067216755,500000.0,[45.66788326],Heinz2001,Heinz2001,40.0,40.0,30.0,5.9446048125310025,level
23,"[[0.         0.        ]
 [0.         0.02777778]]",4269.466660082513,1423.1555533608378,RP,[0.001 0.001],0.1,0.01,2846.3111067216755,500000.0,[56.92366302],Heinz2001,Heinz2001,40.0,40.0,40.0,6.418783692679731,level
24,"[[0.         0.        ]
 [0.         0.02777778]]",4718.534176278918,1572.8447254263058,RP,[0.001 0.001],0.1,0.01,3145.6894508526116,500000.0,[36.32252847],Heinz2001,Heinz2001,40.0,40.0,20.0,7.066506823746542,level
25,"[[0.         0.        ]
 [0.         0.02777778]]",4718.534176278918,1572.8447254263058,RP,[0.001 0.001],0.1,0.01,3145.6894508526116,500000.0,[48.08607246],Heinz2001,Heinz2001,40.0,40.0,30.0,6.499773852919208,level
26,"[[0.         0.        ]
 [0.         0.02777778]]",4718.534176278918,1572.8447254263058,RP,[0.001 0.001],0.1,0.01,3145.6894508526116,500000.0,[58.75494778],Heinz2001,Heinz2001,40.0,40.0,40.0,6.966856006048649,level
