,API,cf_high,cf_low,decoding_type,delta_theta,dur,dur_ramp,freq,fs,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,phase,result,roving_type
0,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",2120.0166774534496,706.6722258178165,AI,[0.001 0.001],0.1,0.01,1413.344451635633,500000.0,33.31510066171346,Heinz2001,Heinz2001,40.0,40.0,20.0,[358.74108049],0.07483749458739981,phase
1,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",2120.0166774534496,706.6722258178165,AI,[0.001 0.001],0.1,0.01,1413.344451635633,500000.0,43.31510066171346,Heinz2001,Heinz2001,40.0,40.0,30.0,[205.71988739],0.04937409626876663,phase
2,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",2120.0166774534496,706.6722258178165,AI,[0.001 0.001],0.1,0.01,1413.344451635633,500000.0,53.31510066171346,Heinz2001,Heinz2001,40.0,40.0,40.0,[91.85554189],0.03817601903577432,phase
3,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",2343.0025207532694,781.0008402510898,AI,[0.001 0.001],0.1,0.01,1562.0016805021796,500000.0,33.61671705526375,Heinz2001,Heinz2001,40.0,40.0,20.0,[241.33576626],0.0773777586686454,phase
4,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",2343.0025207532694,781.0008402510898,AI,[0.001 0.001],0.1,0.01,1562.0016805021796,500000.0,43.61671705526375,Heinz2001,Heinz2001,40.0,40.0,30.0,[23.47040379],0.05145990994705612,phase
5,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",2343.0025207532694,781.0008402510898,AI,[0.001 0.001],0.1,0.01,1562.0016805021796,500000.0,53.61671705526375,Heinz2001,Heinz2001,40.0,40.0,40.0,[281.84073604],0.039941867179445124,phase
6,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",2589.4422768646923,863.1474256215641,AI,[0.001 0.001],0.1,0.01,1726.2948512431283,500000.0,34.014401565273985,Heinz2001,Heinz2001,40.0,40.0,20.0,[267.71078924],0.08016674189566733,phase
7,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",2589.4422768646923,863.1474256215641,AI,[0.001 0.001],0.1,0.01,1726.2948512431283,500000.0,44.014401565273985,Heinz2001,Heinz2001,40.0,40.0,30.0,[50.14596143],0.053806297193562995,phase
8,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",2589.4422768646923,863.1474256215641,AI,[0.001 0.001],0.1,0.01,1726.2948512431283,500000.0,54.014401565273985,Heinz2001,Heinz2001,40.0,40.0,40.0,[109.31191624],0.04191419442117565,phase
9,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",2861.8028558750702,953.9342852916901,AI,[0.001 0.001],0.1,0.01,1907.8685705833802,500000.0,34.4939876158342,Heinz2001,Heinz2001,40.0,40.0,20.0,[285.40367466],0.0834657690500999,phase
10,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",2861.8028558750702,953.9342852916901,AI,[0.001 0.001],0.1,0.01,1907.8685705833802,500000.0,44.4939876158342,Heinz2001,Heinz2001,40.0,40.0,30.0,[45.85993834],0.05657001495885577,phase
11,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",2861.8028558750702,953.9342852916901,AI,[0.001 0.001],0.1,0.01,1907.8685705833802,500000.0,54.4939876158342,Heinz2001,Heinz2001,40.0,40.0,40.0,[92.15540029],0.044220982956994725,phase
12,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",3162.8106403712163,1054.270213457072,AI,[0.001 0.001],0.1,0.01,2108.540426914144,500000.0,34.972581766637475,Heinz2001,Heinz2001,40.0,40.0,20.0,[247.30836737],0.08796476541109742,phase
13,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",3162.8106403712163,1054.270213457072,AI,[0.001 0.001],0.1,0.01,2108.540426914144,500000.0,44.972581766637475,Heinz2001,Heinz2001,40.0,40.0,30.0,[344.20685112],0.06015158013824543,phase
14,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",3162.8106403712163,1054.270213457072,AI,[0.001 0.001],0.1,0.01,2108.540426914144,500000.0,54.972581766637475,Heinz2001,Heinz2001,40.0,40.0,40.0,[237.65041671],0.047161611849961926,phase
15,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",3495.478777061525,1165.1595923538416,AI,[0.001 0.001],0.1,0.01,2330.3191847076832,500000.0,35.43464390139043,Heinz2001,Heinz2001,40.0,40.0,20.0,[21.60021187],0.09431655446314331,phase
16,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",3495.478777061525,1165.1595923538416,AI,[0.001 0.001],0.1,0.01,2330.3191847076832,500000.0,45.43464390139043,Heinz2001,Heinz2001,40.0,40.0,30.0,[3.11984796],0.06513359578689884,phase
17,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",3495.478777061525,1165.1595923538416,AI,[0.001 0.001],0.1,0.01,2330.3191847076832,500000.0,55.43464390139043,Heinz2001,Heinz2001,40.0,40.0,40.0,[95.36228448],0.05127050826070099,phase
18,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",3863.137338963008,1287.7124463210027,AI,[0.001 0.001],0.1,0.01,2575.4248926420055,500000.0,35.926474117245625,Heinz2001,Heinz2001,40.0,40.0,20.0,[80.30353673],0.10332128843970333,phase
19,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",3863.137338963008,1287.7124463210027,AI,[0.001 0.001],0.1,0.01,2575.4248926420055,500000.0,45.926474117245625,Heinz2001,Heinz2001,40.0,40.0,30.0,[260.91867302],0.07263628349742197,phase
20,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",3863.137338963008,1287.7124463210027,AI,[0.001 0.001],0.1,0.01,2575.4248926420055,500000.0,55.926474117245625,Heinz2001,Heinz2001,40.0,40.0,40.0,[148.28529044],0.057695152684154385,phase
