,API,cf_high,cf_low,decoding_type,delta_theta,dur,dur_ramp,freq,fs,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,phase,result,roving_type
0,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",2120.0166774534496,706.6722258178165,RP,[0.001 0.001],0.1,0.01,1413.344451635633,500000.0,33.31510066171346,Heinz2001,Heinz2001,40.0,40.0,20.0,[196.38298694],3.538589936425413,phase
1,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",2120.0166774534496,706.6722258178165,RP,[0.001 0.001],0.1,0.01,1413.344451635633,500000.0,43.31510066171346,Heinz2001,Heinz2001,40.0,40.0,30.0,[122.24815069],3.0796519263206874,phase
2,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",2120.0166774534496,706.6722258178165,RP,[0.001 0.001],0.1,0.01,1413.344451635633,500000.0,53.31510066171346,Heinz2001,Heinz2001,40.0,40.0,40.0,[270.74428939],3.2518482929609833,phase
3,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",2343.0025207532694,781.0008402510898,RP,[0.001 0.001],0.1,0.01,1562.0016805021796,500000.0,33.61671705526375,Heinz2001,Heinz2001,40.0,40.0,20.0,[49.77169247],3.860415977277235,phase
4,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",2343.0025207532694,781.0008402510898,RP,[0.001 0.001],0.1,0.01,1562.0016805021796,500000.0,43.61671705526375,Heinz2001,Heinz2001,40.0,40.0,30.0,[268.26813263],3.3824451567726586,phase
5,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",2343.0025207532694,781.0008402510898,RP,[0.001 0.001],0.1,0.01,1562.0016805021796,500000.0,53.61671705526375,Heinz2001,Heinz2001,40.0,40.0,40.0,[155.57393235],3.5819940040242284,phase
6,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",2589.4422768646923,863.1474256215641,RP,[0.001 0.001],0.1,0.01,1726.2948512431283,500000.0,34.014401565273985,Heinz2001,Heinz2001,40.0,40.0,20.0,[350.9390391],4.200741071792348,phase
7,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",2589.4422768646923,863.1474256215641,RP,[0.001 0.001],0.1,0.01,1726.2948512431283,500000.0,44.014401565273985,Heinz2001,Heinz2001,40.0,40.0,30.0,[297.29424347],3.7154319330018253,phase
8,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",2589.4422768646923,863.1474256215641,RP,[0.001 0.001],0.1,0.01,1726.2948512431283,500000.0,54.014401565273985,Heinz2001,Heinz2001,40.0,40.0,40.0,[133.87193882],3.9405776562625516,phase
9,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",2861.8028558750702,953.9342852916901,RP,[0.001 0.001],0.1,0.01,1907.8685705833802,500000.0,34.4939876158342,Heinz2001,Heinz2001,40.0,40.0,20.0,[221.06578633],4.5612188658605,phase
10,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",2861.8028558750702,953.9342852916901,RP,[0.001 0.001],0.1,0.01,1907.8685705833802,500000.0,44.4939876158342,Heinz2001,Heinz2001,40.0,40.0,30.0,[21.98518188],4.085713804954917,phase
11,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",2861.8028558750702,953.9342852916901,RP,[0.001 0.001],0.1,0.01,1907.8685705833802,500000.0,54.4939876158342,Heinz2001,Heinz2001,40.0,40.0,40.0,[244.09628789],4.340155120892757,phase
12,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",3162.8106403712163,1054.270213457072,RP,[0.001 0.001],0.1,0.01,2108.540426914144,500000.0,34.972581766637475,Heinz2001,Heinz2001,40.0,40.0,20.0,[273.86562828],4.962474022813105,phase
13,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",3162.8106403712163,1054.270213457072,RP,[0.001 0.001],0.1,0.01,2108.540426914144,500000.0,44.972581766637475,Heinz2001,Heinz2001,40.0,40.0,30.0,[144.70869963],4.485960511145979,phase
14,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",3162.8106403712163,1054.270213457072,RP,[0.001 0.001],0.1,0.01,2108.540426914144,500000.0,54.972581766637475,Heinz2001,Heinz2001,40.0,40.0,40.0,[290.78388589],4.7893666035198725,phase
15,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",3495.478777061525,1165.1595923538416,RP,[0.001 0.001],0.1,0.01,2330.3191847076832,500000.0,35.43464390139043,Heinz2001,Heinz2001,40.0,40.0,20.0,[202.84995972],5.406789393653717,phase
16,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",3495.478777061525,1165.1595923538416,RP,[0.001 0.001],0.1,0.01,2330.3191847076832,500000.0,45.43464390139043,Heinz2001,Heinz2001,40.0,40.0,30.0,[35.37436373],4.930186500515573,phase
17,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",3495.478777061525,1165.1595923538416,RP,[0.001 0.001],0.1,0.01,2330.3191847076832,500000.0,55.43464390139043,Heinz2001,Heinz2001,40.0,40.0,40.0,[279.53728266],5.264205396902405,phase
18,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",3863.137338963008,1287.7124463210027,RP,[0.001 0.001],0.1,0.01,2575.4248926420055,500000.0,35.926474117245625,Heinz2001,Heinz2001,40.0,40.0,20.0,[66.43206964],5.876599023993558,phase
19,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",3863.137338963008,1287.7124463210027,RP,[0.001 0.001],0.1,0.01,2575.4248926420055,500000.0,45.926474117245625,Heinz2001,Heinz2001,40.0,40.0,30.0,[80.85096245],5.409599028961851,phase
20,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",3863.137338963008,1287.7124463210027,RP,[0.001 0.001],0.1,0.01,2575.4248926420055,500000.0,55.926474117245625,Heinz2001,Heinz2001,40.0,40.0,40.0,[324.33241655],5.798914304299312,phase
21,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",4269.466660082513,1423.1555533608378,RP,[0.001 0.001],0.1,0.01,2846.3111067216755,500000.0,36.433654302771586,Heinz2001,Heinz2001,40.0,40.0,20.0,[28.66758311],6.381801394870719,phase
