,API,cf_high,cf_low,decoding_type,delta_theta,dur,dur_ramp,freq,fs,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,result,roving_type
0,[0.],2120.0166774534496,706.6722258178165,AI,[0.001],0.1,0.01,1413.344451635633,1000000.0,33.31510066171346,Heinz2001,Heinz2001,40.0,40.0,20.0,0.03635732945717153,none
1,[0.],2120.0166774534496,706.6722258178165,AI,[0.001],0.1,0.01,1413.344451635633,1000000.0,43.31510066171346,Heinz2001,Heinz2001,40.0,40.0,30.0,0.02529675235392017,none
2,[0.],2120.0166774534496,706.6722258178165,AI,[0.001],0.1,0.01,1413.344451635633,1000000.0,53.31510066171346,Heinz2001,Heinz2001,40.0,40.0,40.0,0.02009061273168332,none
3,[0.],2343.0025207532694,781.0008402510898,AI,[0.001],0.1,0.01,1562.0016805021796,1000000.0,33.61671705526375,Heinz2001,Heinz2001,40.0,40.0,20.0,0.0375958146705142,none
4,[0.],2343.0025207532694,781.0008402510898,AI,[0.001],0.1,0.01,1562.0016805021796,1000000.0,43.61671705526375,Heinz2001,Heinz2001,40.0,40.0,30.0,0.026353907355618607,none
5,[0.],2343.0025207532694,781.0008402510898,AI,[0.001],0.1,0.01,1562.0016805021796,1000000.0,53.61671705526375,Heinz2001,Heinz2001,40.0,40.0,40.0,0.021001529693265058,none
6,[0.],2589.4422768646923,863.1474256215641,AI,[0.001],0.1,0.01,1726.2948512431283,1000000.0,34.014401565273985,Heinz2001,Heinz2001,40.0,40.0,20.0,0.038978967389863055,none
7,[0.],2589.4422768646923,863.1474256215641,AI,[0.001],0.1,0.01,1726.2948512431283,1000000.0,44.014401565273985,Heinz2001,Heinz2001,40.0,40.0,30.0,0.02754786790514122,none
8,[0.],2589.4422768646923,863.1474256215641,AI,[0.001],0.1,0.01,1726.2948512431283,1000000.0,54.014401565273985,Heinz2001,Heinz2001,40.0,40.0,40.0,0.022021757883095832,none
9,[0.],2861.8028558750702,953.9342852916901,AI,[0.001],0.1,0.01,1907.8685705833802,1000000.0,34.4939876158342,Heinz2001,Heinz2001,40.0,40.0,20.0,0.04063574398383129,none
10,[0.],2861.8028558750702,953.9342852916901,AI,[0.001],0.1,0.01,1907.8685705833802,1000000.0,44.4939876158342,Heinz2001,Heinz2001,40.0,40.0,30.0,0.028965136017673733,none
11,[0.],2861.8028558750702,953.9342852916901,AI,[0.001],0.1,0.01,1907.8685705833802,1000000.0,54.4939876158342,Heinz2001,Heinz2001,40.0,40.0,40.0,0.023219807555973335,none
12,[0.],3162.8106403712163,1054.270213457072,AI,[0.001],0.1,0.01,2108.540426914144,1000000.0,34.972581766637475,Heinz2001,Heinz2001,40.0,40.0,20.0,0.042873770149343564,none
13,[0.],3162.8106403712163,1054.270213457072,AI,[0.001],0.1,0.01,2108.540426914144,1000000.0,44.972581766637475,Heinz2001,Heinz2001,40.0,40.0,30.0,0.030796294902105472,none
14,[0.],3162.8106403712163,1054.270213457072,AI,[0.001],0.1,0.01,2108.540426914144,1000000.0,54.972581766637475,Heinz2001,Heinz2001,40.0,40.0,40.0,0.024746003171283695,none
15,[0.],3495.478777061525,1165.1595923538416,AI,[0.001],0.1,0.01,2330.3191847076832,1000000.0,35.43464390139043,Heinz2001,Heinz2001,40.0,40.0,20.0,0.04600542595534991,none
16,[0.],3495.478777061525,1165.1595923538416,AI,[0.001],0.1,0.01,2330.3191847076832,1000000.0,45.43464390139043,Heinz2001,Heinz2001,40.0,40.0,30.0,0.03334338686763645,none
17,[0.],3495.478777061525,1165.1595923538416,AI,[0.001],0.1,0.01,2330.3191847076832,1000000.0,55.43464390139043,Heinz2001,Heinz2001,40.0,40.0,40.0,0.02688356454370833,none
18,[0.],3863.137338963008,1287.7124463210027,AI,[0.001],0.1,0.01,2575.4248926420055,1000000.0,35.926474117245625,Heinz2001,Heinz2001,40.0,40.0,20.0,0.05046744147070398,none
19,[0.],3863.137338963008,1287.7124463210027,AI,[0.001],0.1,0.01,2575.4248926420055,1000000.0,45.926474117245625,Heinz2001,Heinz2001,40.0,40.0,30.0,0.037213230127282795,none
20,[0.],3863.137338963008,1287.7124463210027,AI,[0.001],0.1,0.01,2575.4248926420055,1000000.0,55.926474117245625,Heinz2001,Heinz2001,40.0,40.0,40.0,0.03025870513968193,none
21,[0.],4269.466660082513,1423.1555533608378,AI,[0.001],0.1,0.01,2846.3111067216755,1000000.0,36.433654302771586,Heinz2001,Heinz2001,40.0,40.0,20.0,0.05721149183403005,none
22,[0.],4269.466660082513,1423.1555533608378,AI,[0.001],0.1,0.01,2846.3111067216755,1000000.0,46.433654302771586,Heinz2001,Heinz2001,40.0,40.0,30.0,0.043456926816333626,none
23,[0.],4269.466660082513,1423.1555533608378,AI,[0.001],0.1,0.01,2846.3111067216755,1000000.0,56.433654302771586,Heinz2001,Heinz2001,40.0,40.0,40.0,0.03583079713694771,none
24,[0.],4718.534176278918,1572.8447254263058,AI,[0.001],0.1,0.01,3145.6894508526116,1000000.0,36.896005181474834,Heinz2001,Heinz2001,40.0,40.0,20.0,0.06776681595490432,none
25,[0.],4718.534176278918,1572.8447254263058,AI,[0.001],0.1,0.01,3145.6894508526116,1000000.0,46.896005181474834,Heinz2001,Heinz2001,40.0,40.0,30.0,0.05304834087590175,none
26,[0.],4718.534176278918,1572.8447254263058,AI,[0.001],0.1,0.01,3145.6894508526116,1000000.0,56.896005181474834,Heinz2001,Heinz2001,40.0,40.0,40.0,0.044192941476059976,none
27,[0.],5214.835141090398,1738.2783803634659,AI,[0.001],0.1,0.01,3476.5567607269318,1000000.0,37.270005918784854,Heinz2001,Heinz2001,40.0,40.0,20.0,0.08398037524664728,none
28,[0.],5214.835141090398,1738.2783803634659,AI,[0.001],0.1,0.01,3476.5567607269318,1000000.0,47.270005918784854,Heinz2001,Heinz2001,40.0,40.0,30.0,0.06701952855771735,none
