,API,cf_high,cf_low,decoding_type,delta_theta,dur,dur_ramp,freq,fs,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,result,roving_type
0,[0.],2120.0166774534496,706.6722258178165,AI,[0.001],0.1,0.01,1413.344451635633,300000.0,38.45437904135416,Verhulst2018,Verhulst2018,40.0,72.0,20.0,0.03396012409297434,none
1,[0.],2120.0166774534496,706.6722258178165,AI,[0.001],0.1,0.01,1413.344451635633,300000.0,48.45437904135416,Verhulst2018,Verhulst2018,40.0,72.0,30.0,0.023538417019750964,none
2,[0.],2120.0166774534496,706.6722258178165,AI,[0.001],0.1,0.01,1413.344451635633,300000.0,58.45437904135416,Verhulst2018,Verhulst2018,40.0,72.0,40.0,0.019539628817659957,none
3,[0.],2343.0025207532694,781.0008402510898,AI,[0.001],0.1,0.01,1562.0016805021796,300000.0,39.549414333485345,Verhulst2018,Verhulst2018,40.0,72.0,20.0,0.037192902582026545,none
4,[0.],2343.0025207532694,781.0008402510898,AI,[0.001],0.1,0.01,1562.0016805021796,300000.0,49.549414333485345,Verhulst2018,Verhulst2018,40.0,72.0,30.0,0.02604604831075215,none
5,[0.],2343.0025207532694,781.0008402510898,AI,[0.001],0.1,0.01,1562.0016805021796,300000.0,59.549414333485345,Verhulst2018,Verhulst2018,40.0,72.0,40.0,0.02197504537561306,none
6,[0.],2589.4422768646923,863.1474256215641,AI,[0.001],0.1,0.01,1726.2948512431283,300000.0,40.30829854438498,Verhulst2018,Verhulst2018,40.0,72.0,20.0,0.041719993863058115,none
7,[0.],2589.4422768646923,863.1474256215641,AI,[0.001],0.1,0.01,1726.2948512431283,300000.0,50.30829854438498,Verhulst2018,Verhulst2018,40.0,72.0,30.0,0.029371474215793187,none
8,[0.],2589.4422768646923,863.1474256215641,AI,[0.001],0.1,0.01,1726.2948512431283,300000.0,60.30829854438498,Verhulst2018,Verhulst2018,40.0,72.0,40.0,0.02500546818826374,none
9,[0.],2861.8028558750702,953.9342852916901,AI,[0.001],0.1,0.01,1907.8685705833802,300000.0,40.64805952851363,Verhulst2018,Verhulst2018,40.0,72.0,20.0,0.04775945527011736,none
10,[0.],2861.8028558750702,953.9342852916901,AI,[0.001],0.1,0.01,1907.8685705833802,300000.0,50.64805952851363,Verhulst2018,Verhulst2018,40.0,72.0,30.0,0.0338980762598082,none
11,[0.],2861.8028558750702,953.9342852916901,AI,[0.001],0.1,0.01,1907.8685705833802,300000.0,60.64805952851363,Verhulst2018,Verhulst2018,40.0,72.0,40.0,0.02862657489400501,none
12,[0.],3162.8106403712163,1054.270213457072,AI,[0.001],0.1,0.01,2108.540426914144,300000.0,41.29392092651331,Verhulst2018,Verhulst2018,40.0,72.0,20.0,0.055026800497644364,none
13,[0.],3162.8106403712163,1054.270213457072,AI,[0.001],0.1,0.01,2108.540426914144,300000.0,51.29392092651331,Verhulst2018,Verhulst2018,40.0,72.0,30.0,0.03881776757838156,none
14,[0.],3162.8106403712163,1054.270213457072,AI,[0.001],0.1,0.01,2108.540426914144,300000.0,61.29392092651331,Verhulst2018,Verhulst2018,40.0,72.0,40.0,0.032918454216638866,none
15,[0.],3495.478777061525,1165.1595923538416,AI,[0.001],0.1,0.01,2330.3191847076832,300000.0,42.29588910490317,Verhulst2018,Verhulst2018,40.0,72.0,20.0,0.06230783724093338,none
16,[0.],3495.478777061525,1165.1595923538416,AI,[0.001],0.1,0.01,2330.3191847076832,300000.0,52.29588910490317,Verhulst2018,Verhulst2018,40.0,72.0,30.0,0.044250356037634664,none
17,[0.],3495.478777061525,1165.1595923538416,AI,[0.001],0.1,0.01,2330.3191847076832,300000.0,62.29588910490317,Verhulst2018,Verhulst2018,40.0,72.0,40.0,0.03800945029401909,none
18,[0.],3863.137338963008,1287.7124463210027,AI,[0.001],0.1,0.01,2575.4248926420055,300000.0,43.07653642986928,Verhulst2018,Verhulst2018,40.0,72.0,20.0,0.07220967048237971,none
19,[0.],3863.137338963008,1287.7124463210027,AI,[0.001],0.1,0.01,2575.4248926420055,300000.0,53.07653642986928,Verhulst2018,Verhulst2018,40.0,72.0,30.0,0.05113158576450789,none
20,[0.],3863.137338963008,1287.7124463210027,AI,[0.001],0.1,0.01,2575.4248926420055,300000.0,63.07653642986928,Verhulst2018,Verhulst2018,40.0,72.0,40.0,0.044156066726186084,none
21,[0.],4269.466660082513,1423.1555533608378,AI,[0.001],0.1,0.01,2846.3111067216755,300000.0,43.64714625750077,Verhulst2018,Verhulst2018,40.0,72.0,20.0,0.08610708083467271,none
22,[0.],4269.466660082513,1423.1555533608378,AI,[0.001],0.1,0.01,2846.3111067216755,300000.0,53.64714625750077,Verhulst2018,Verhulst2018,40.0,72.0,30.0,0.0605491454587898,none
23,[0.],4269.466660082513,1423.1555533608378,AI,[0.001],0.1,0.01,2846.3111067216755,300000.0,63.64714625750077,Verhulst2018,Verhulst2018,40.0,72.0,40.0,0.05224819663144974,none
24,[0.],4718.534176278918,1572.8447254263058,AI,[0.001],0.1,0.01,3145.6894508526116,300000.0,44.43235206689291,Verhulst2018,Verhulst2018,40.0,72.0,20.0,0.1035927426713039,none
25,[0.],4718.534176278918,1572.8447254263058,AI,[0.001],0.1,0.01,3145.6894508526116,300000.0,54.43235206689291,Verhulst2018,Verhulst2018,40.0,72.0,30.0,0.07303133152043334,none
26,[0.],4718.534176278918,1572.8447254263058,AI,[0.001],0.1,0.01,3145.6894508526116,300000.0,64.43235206689292,Verhulst2018,Verhulst2018,40.0,72.0,40.0,0.06322469825921344,none
27,[0.],5214.835141090398,1738.2783803634659,AI,[0.001],0.1,0.01,3476.5567607269318,300000.0,45.36372321112161,Verhulst2018,Verhulst2018,40.0,72.0,20.0,0.12473786474638131,none
28,[0.],5214.835141090398,1738.2783803634659,AI,[0.001],0.1,0.01,3476.5567607269318,300000.0,55.36372321112161,Verhulst2018,Verhulst2018,40.0,72.0,30.0,0.08983946683362044,none
29,[0.],5214.835141090398,1738.2783803634659,AI,[0.001],0.1,0.01,3476.5567607269318,300000.0,65.36372321112161,Verhulst2018,Verhulst2018,40.0,72.0,40.0,0.07852383689799565,none
30,[0.],5763.337624100281,1921.11254136676,AI,[0.001],0.1,0.01,3842.22508273352,300000.0,46.11873829754835,Verhulst2018,Verhulst2018,40.0,72.0,20.0,0.15475802088928398,none
31,[0.],5763.337624100281,1921.11254136676,AI,[0.001],0.1,0.01,3842.22508273352,300000.0,56.11873829754835,Verhulst2018,Verhulst2018,40.0,72.0,30.0,0.11151996258856846,none
32,[0.],5763.337624100281,1921.11254136676,AI,[0.001],0.1,0.01,3842.22508273352,300000.0,66.11873829754835,Verhulst2018,Verhulst2018,40.0,72.0,40.0,0.09788766565037695,none
33,[0.],6369.5322422838035,2123.1774140946013,AI,[0.001],0.1,0.01,4246.354828189203,300000.0,46.77914891738223,Verhulst2018,Verhulst2018,40.0,72.0,20.0,0.18567054557226373,none
34,[0.],6369.5322422838035,2123.1774140946013,AI,[0.001],0.1,0.01,4246.354828189203,300000.0,56.77914891738223,Verhulst2018,Verhulst2018,40.0,72.0,30.0,0.13809247587468815,none
35,[0.],6369.5322422838035,2123.1774140946013,AI,[0.001],0.1,0.01,4246.354828189203,300000.0,66.77914891738223,Verhulst2018,Verhulst2018,40.0,72.0,40.0,0.12155825193390665,none
36,[0.],7039.487122156315,2346.4957073854384,AI,[0.001],0.1,0.01,4692.991414770877,300000.0,47.55804500901283,Verhulst2018,Verhulst2018,40.0,72.0,20.0,0.2443876276734266,none
37,[0.],7039.487122156315,2346.4957073854384,AI,[0.001],0.1,0.01,4692.991414770877,300000.0,57.55804500901283,Verhulst2018,Verhulst2018,40.0,72.0,30.0,0.17416764851040215,none
38,[0.],7039.487122156315,2346.4957073854384,AI,[0.001],0.1,0.01,4692.991414770877,300000.0,67.55804500901283,Verhulst2018,Verhulst2018,40.0,72.0,40.0,0.15451118938726635,none
39,[0.],7779.908642904815,2593.3028809682714,AI,[0.001],0.1,0.01,5186.605761936543,300000.0,48.25627343959105,Verhulst2018,Verhulst2018,40.0,72.0,20.0,0.31723915725772267,none
40,[0.],7779.908642904815,2593.3028809682714,AI,[0.001],0.1,0.01,5186.605761936543,300000.0,58.25627343959105,Verhulst2018,Verhulst2018,40.0,72.0,30.0,0.22664767656325724,none
41,[0.],7779.908642904815,2593.3028809682714,AI,[0.001],0.1,0.01,5186.605761936543,300000.0,68.25627343959104,Verhulst2018,Verhulst2018,40.0,72.0,40.0,0.20042544106530424,none
42,[0.],8598.208568553291,2866.069522851097,AI,[0.001],0.1,0.01,5732.139045702194,300000.0,48.667045845469886,Verhulst2018,Verhulst2018,40.0,72.0,20.0,0.4106057483759754,none
43,[0.],8598.208568553291,2866.069522851097,AI,[0.001],0.1,0.01,5732.139045702194,300000.0,58.667045845469886,Verhulst2018,Verhulst2018,40.0,72.0,30.0,0.29355137160984884,none
44,[0.],8598.208568553291,2866.069522851097,AI,[0.001],0.1,0.01,5732.139045702194,300000.0,68.66704584546989,Verhulst2018,Verhulst2018,40.0,72.0,40.0,0.25971332616609427,none
45,[0.],9502.578241168148,3167.526080389383,AI,[0.001],0.1,0.01,6335.052160778766,300000.0,49.31932774182534,Verhulst2018,Verhulst2018,40.0,72.0,20.0,0.5312820368459444,none
46,[0.],9502.578241168148,3167.526080389383,AI,[0.001],0.1,0.01,6335.052160778766,300000.0,59.31932774182534,Verhulst2018,Verhulst2018,40.0,72.0,30.0,0.38044120444412294,none
47,[0.],9502.578241168148,3167.526080389383,AI,[0.001],0.1,0.01,6335.052160778766,300000.0,69.31932774182533,Verhulst2018,Verhulst2018,40.0,72.0,40.0,0.33701638047365257,none
48,[0.],10502.070577791961,3500.69019259732,AI,[0.001],0.1,0.01,7001.38038519464,300000.0,50.687440961951,Verhulst2018,Verhulst2018,40.0,72.0,20.0,0.6808925012504744,none
49,[0.],10502.070577791961,3500.69019259732,AI,[0.001],0.1,0.01,7001.38038519464,300000.0,60.687440961951,Verhulst2018,Verhulst2018,40.0,72.0,30.0,0.49597597050231945,none
50,[0.],10502.070577791961,3500.69019259732,AI,[0.001],0.1,0.01,7001.38038519464,300000.0,70.687440961951,Verhulst2018,Verhulst2018,40.0,72.0,40.0,0.4514748825931121,none
51,[0.],11606.690691911128,3868.8968973037095,AI,[0.001],0.1,0.01,7737.793794607419,300000.0,52.18802448483687,Verhulst2018,Verhulst2018,40.0,72.0,20.0,0.8662424516523541,none
52,[0.],11606.690691911128,3868.8968973037095,AI,[0.001],0.1,0.01,7737.793794607419,300000.0,62.18802448483687,Verhulst2018,Verhulst2018,40.0,72.0,30.0,0.6366806056704707,none
53,[0.],11606.690691911128,3868.8968973037095,AI,[0.001],0.1,0.01,7737.793794607419,300000.0,72.18802448483687,Verhulst2018,Verhulst2018,40.0,72.0,40.0,0.5962802925604179,none
54,[0.],12827.49604659581,4275.832015531937,AI,[0.001],0.1,0.01,8551.664031063874,300000.0,53.181125269514965,Verhulst2018,Verhulst2018,40.0,72.0,20.0,1.1356557478269367,none
55,[0.],12827.49604659581,4275.832015531937,AI,[0.001],0.1,0.01,8551.664031063874,300000.0,63.181125269514965,Verhulst2018,Verhulst2018,40.0,72.0,30.0,0.8372850989223997,none
56,[0.],12827.49604659581,4275.832015531937,AI,[0.001],0.1,0.01,8551.664031063874,300000.0,73.18112526951496,Verhulst2018,Verhulst2018,40.0,72.0,40.0,0.7928820360480946,none
57,[0.],14176.707141864697,4725.5690472882325,AI,[0.001],0.1,0.01,9451.138094576465,300000.0,53.6104198359353,Verhulst2018,Verhulst2018,40.0,72.0,20.0,1.4997708304520252,none
58,[0.],14176.707141864697,4725.5690472882325,AI,[0.001],0.1,0.01,9451.138094576465,300000.0,63.6104198359353,Verhulst2018,Verhulst2018,40.0,72.0,30.0,1.1117510493127885,none
59,[0.],14176.707141864697,4725.5690472882325,AI,[0.001],0.1,0.01,9451.138094576465,300000.0,73.6104198359353,Verhulst2018,Verhulst2018,40.0,72.0,40.0,1.0473650189315646,none
60,[0.],15667.829844276894,5222.609948092298,AI,[0.001],0.1,0.01,10445.219896184595,300000.0,53.692792632176406,Verhulst2018,Verhulst2018,40.0,72.0,20.0,2.0585727004407466,none
61,[0.],15667.829844276894,5222.609948092298,AI,[0.001],0.1,0.01,10445.219896184595,300000.0,63.692792632176406,Verhulst2018,Verhulst2018,40.0,72.0,30.0,1.4572602196563618,none
62,[0.],15667.829844276894,5222.609948092298,AI,[0.001],0.1,0.01,10445.219896184595,300000.0,73.6927926321764,Verhulst2018,Verhulst2018,40.0,72.0,40.0,1.3888345092054508,none
63,[0.],17315.79058329371,5771.930194431237,AI,[0.001],0.1,0.01,11543.860388862475,300000.0,54.032724254390494,Verhulst2018,Verhulst2018,40.0,72.0,20.0,2.396083430962026,none
64,[0.],17315.79058329371,5771.930194431237,AI,[0.001],0.1,0.01,11543.860388862475,300000.0,64.0327242543905,Verhulst2018,Verhulst2018,40.0,72.0,30.0,1.7063728407714287,none
65,[0.],17315.79058329371,5771.930194431237,AI,[0.001],0.1,0.01,11543.860388862475,300000.0,74.0327242543905,Verhulst2018,Verhulst2018,40.0,72.0,40.0,1.6914595520461722,none
66,[0.],19137.085767752775,6379.0285892509255,AI,[0.001],0.1,0.01,12758.057178501851,300000.0,55.071893675866626,Verhulst2018,Verhulst2018,40.0,72.0,20.0,2.7988714431204866,none
67,[0.],19137.085767752775,6379.0285892509255,AI,[0.001],0.1,0.01,12758.057178501851,300000.0,65.07189367586662,Verhulst2018,Verhulst2018,40.0,72.0,30.0,2.5466149812259786,none
68,[0.],19137.085767752775,6379.0285892509255,AI,[0.001],0.1,0.01,12758.057178501851,300000.0,75.07189367586662,Verhulst2018,Verhulst2018,40.0,72.0,40.0,2.2456997714992255,none
69,[0.],21149.94691814202,7049.98230604734,AI,[0.001],0.1,0.01,14099.96461209468,300000.0,56.832666925541794,Verhulst2018,Verhulst2018,40.0,72.0,20.0,4.1529828778190305,none
