,API,cf_high,cf_low,decoding_type,delta_theta,dur,dur_ramp,freq,fs,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,result,roving_type
0,"[[0.         0.        ]
 [0.         0.02777778]]",2120.0166774534496,706.6722258178165,AI,[0.001 0.001],0.1,0.01,1413.344451635633,200000.0,[28.53571915],Zilany2014,Zilany2014,40.0,40.0,20.0,0.018509613364706256,level
1,"[[0.         0.        ]
 [0.         0.02777778]]",2120.0166774534496,706.6722258178165,AI,[0.001 0.001],0.1,0.01,1413.344451635633,200000.0,[38.14132389],Zilany2014,Zilany2014,40.0,40.0,30.0,0.01312468356104347,level
2,"[[0.         0.        ]
 [0.         0.02777778]]",2120.0166774534496,706.6722258178165,AI,[0.001 0.001],0.1,0.01,1413.344451635633,200000.0,[49.39645425],Zilany2014,Zilany2014,40.0,40.0,40.0,0.009479798705459645,level
3,"[[0.         0.        ]
 [0.         0.02777778]]",2343.0025207532694,781.0008402510898,AI,[0.001 0.001],0.1,0.01,1562.0016805021796,200000.0,[25.25104707],Zilany2014,Zilany2014,40.0,40.0,20.0,0.01908164600555308,level
4,"[[0.         0.        ]
 [0.         0.02777778]]",2343.0025207532694,781.0008402510898,AI,[0.001 0.001],0.1,0.01,1562.0016805021796,200000.0,[35.49961295],Zilany2014,Zilany2014,40.0,40.0,30.0,0.013539515179577539,level
5,"[[0.         0.        ]
 [0.         0.02777778]]",2343.0025207532694,781.0008402510898,AI,[0.001 0.001],0.1,0.01,1562.0016805021796,200000.0,[46.96663478],Zilany2014,Zilany2014,40.0,40.0,40.0,0.010375390860399288,level
6,"[[0.         0.        ]
 [0.         0.02777778]]",2589.4422768646923,863.1474256215641,AI,[0.001 0.001],0.1,0.01,1726.2948512431283,200000.0,[26.6797008],Zilany2014,Zilany2014,40.0,40.0,20.0,0.02034179814767732,level
7,"[[0.         0.        ]
 [0.         0.02777778]]",2589.4422768646923,863.1474256215641,AI,[0.001 0.001],0.1,0.01,1726.2948512431283,200000.0,[39.88581527],Zilany2014,Zilany2014,40.0,40.0,30.0,0.014222618542973636,level
8,"[[0.         0.        ]
 [0.         0.02777778]]",2589.4422768646923,863.1474256215641,AI,[0.001 0.001],0.1,0.01,1726.2948512431283,200000.0,[47.83865292],Zilany2014,Zilany2014,40.0,40.0,40.0,0.011227948248270768,level
9,"[[0.         0.        ]
 [0.         0.02777778]]",2861.8028558750702,953.9342852916901,AI,[0.001 0.001],0.1,0.01,1907.8685705833802,200000.0,[29.25100943],Zilany2014,Zilany2014,40.0,40.0,20.0,0.02148634603243288,level
10,"[[0.         0.        ]
 [0.         0.02777778]]",2861.8028558750702,953.9342852916901,AI,[0.001 0.001],0.1,0.01,1907.8685705833802,200000.0,[41.58261772],Zilany2014,Zilany2014,40.0,40.0,30.0,0.0156641860434325,level
11,"[[0.         0.        ]
 [0.         0.02777778]]",2861.8028558750702,953.9342852916901,AI,[0.001 0.001],0.1,0.01,1907.8685705833802,200000.0,[49.10905182],Zilany2014,Zilany2014,40.0,40.0,40.0,0.011742414254044119,level
12,"[[0.         0.        ]
 [0.         0.02777778]]",3162.8106403712163,1054.270213457072,AI,[0.001 0.001],0.1,0.01,2108.540426914144,200000.0,[33.53689251],Zilany2014,Zilany2014,40.0,40.0,20.0,0.025570008063756307,level
13,"[[0.         0.        ]
 [0.         0.02777778]]",3162.8106403712163,1054.270213457072,AI,[0.001 0.001],0.1,0.01,2108.540426914144,200000.0,[41.95746301],Zilany2014,Zilany2014,40.0,40.0,30.0,0.01754368462951013,level
14,"[[0.         0.        ]
 [0.         0.02777778]]",3162.8106403712163,1054.270213457072,AI,[0.001 0.001],0.1,0.01,2108.540426914144,200000.0,[48.61274404],Zilany2014,Zilany2014,40.0,40.0,40.0,0.013900279935664714,level
15,"[[0.         0.        ]
 [0.         0.02777778]]",3495.478777061525,1165.1595923538416,AI,[0.001 0.001],0.1,0.01,2330.3191847076832,200000.0,[31.80235862],Zilany2014,Zilany2014,40.0,40.0,20.0,0.02993400325253713,level
16,"[[0.         0.        ]
 [0.         0.02777778]]",3495.478777061525,1165.1595923538416,AI,[0.001 0.001],0.1,0.01,2330.3191847076832,200000.0,[43.07831913],Zilany2014,Zilany2014,40.0,40.0,30.0,0.02086656547710115,level
