,API,cf_high,cf_low,decoding_type,delta_theta,dur,dur_ramp,freq,fs,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,result,roving_type
0,"[[0.         0.        ]
 [0.         0.02777778]]",2120.0166774534496,706.6722258178165,RP,[0.001 0.001],0.1,0.01,1413.344451635633,200000.0,[27.77996057],Zilany2014,Zilany2014,40.0,40.0,20.0,3.5998383837936583,level
1,"[[0.         0.        ]
 [0.         0.02777778]]",2120.0166774534496,706.6722258178165,RP,[0.001 0.001],0.1,0.01,1413.344451635633,200000.0,[36.00181107],Zilany2014,Zilany2014,40.0,40.0,30.0,2.8502559961556604,level
2,"[[0.         0.        ]
 [0.         0.02777778]]",2120.0166774534496,706.6722258178165,RP,[0.001 0.001],0.1,0.01,1413.344451635633,200000.0,[47.98483343],Zilany2014,Zilany2014,40.0,40.0,40.0,2.711839151724003,level
3,"[[0.         0.        ]
 [0.         0.02777778]]",2343.0025207532694,781.0008402510898,RP,[0.001 0.001],0.1,0.01,1562.0016805021796,200000.0,[27.74370552],Zilany2014,Zilany2014,40.0,40.0,20.0,3.18616771250174,level
4,"[[0.         0.        ]
 [0.         0.02777778]]",2343.0025207532694,781.0008402510898,RP,[0.001 0.001],0.1,0.01,1562.0016805021796,200000.0,[37.63738939],Zilany2014,Zilany2014,40.0,40.0,30.0,2.492645010749356,level
5,"[[0.         0.        ]
 [0.         0.02777778]]",2343.0025207532694,781.0008402510898,RP,[0.001 0.001],0.1,0.01,1562.0016805021796,200000.0,[48.86023873],Zilany2014,Zilany2014,40.0,40.0,40.0,1.9089605089803001,level
6,"[[0.         0.        ]
 [0.         0.02777778]]",2589.4422768646923,863.1474256215641,RP,[0.001 0.001],0.1,0.01,1726.2948512431283,200000.0,[26.5009429],Zilany2014,Zilany2014,40.0,40.0,20.0,4.022764391249058,level
7,"[[0.         0.        ]
 [0.         0.02777778]]",2589.4422768646923,863.1474256215641,RP,[0.001 0.001],0.1,0.01,1726.2948512431283,200000.0,[38.51410801],Zilany2014,Zilany2014,40.0,40.0,30.0,3.576028135342761,level
8,"[[0.         0.        ]
 [0.         0.02777778]]",2589.4422768646923,863.1474256215641,RP,[0.001 0.001],0.1,0.01,1726.2948512431283,200000.0,[49.73968111],Zilany2014,Zilany2014,40.0,40.0,40.0,3.3989114589699807,level
9,"[[0.         0.        ]
 [0.         0.02777778]]",2861.8028558750702,953.9342852916901,RP,[0.001 0.001],0.1,0.01,1907.8685705833802,200000.0,[30.29665086],Zilany2014,Zilany2014,40.0,40.0,20.0,3.9224654899663665,level
10,"[[0.         0.        ]
 [0.         0.02777778]]",2861.8028558750702,953.9342852916901,RP,[0.001 0.001],0.1,0.01,1907.8685705833802,200000.0,[39.83956952],Zilany2014,Zilany2014,40.0,40.0,30.0,4.363699005746416,level
11,"[[0.         0.        ]
 [0.         0.02777778]]",2861.8028558750702,953.9342852916901,RP,[0.001 0.001],0.1,0.01,1907.8685705833802,200000.0,[48.66382709],Zilany2014,Zilany2014,40.0,40.0,40.0,4.118392849834601,level
12,"[[0.         0.        ]
 [0.         0.02777778]]",3162.8106403712163,1054.270213457072,RP,[0.001 0.001],0.1,0.01,2108.540426914144,200000.0,[30.06317586],Zilany2014,Zilany2014,40.0,40.0,20.0,4.505199572702179,level
13,"[[0.         0.        ]
 [0.         0.02777778]]",3162.8106403712163,1054.270213457072,RP,[0.001 0.001],0.1,0.01,2108.540426914144,200000.0,[43.09250923],Zilany2014,Zilany2014,40.0,40.0,30.0,4.367998538197704,level
14,"[[0.         0.        ]
 [0.         0.02777778]]",3162.8106403712163,1054.270213457072,RP,[0.001 0.001],0.1,0.01,2108.540426914144,200000.0,[51.16977078],Zilany2014,Zilany2014,40.0,40.0,40.0,4.5192961223012835,level
15,"[[0.         0.        ]
 [0.         0.02777778]]",3495.478777061525,1165.1595923538416,RP,[0.001 0.001],0.1,0.01,2330.3191847076832,200000.0,[31.53258081],Zilany2014,Zilany2014,40.0,40.0,20.0,4.552404042066856,level
16,"[[0.         0.        ]
 [0.         0.02777778]]",3495.478777061525,1165.1595923538416,RP,[0.001 0.001],0.1,0.01,2330.3191847076832,200000.0,[43.70488568],Zilany2014,Zilany2014,40.0,40.0,30.0,4.973748967339348,level
