,API,cf_high,cf_low,decoding_type,delta_theta,dur,dur_ramp,freq,fs,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,phase,result,roving_type
0,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",2120.0166774534496,706.6722258178165,RP,[0.001 0.001],0.1,0.01,1413.344451635633,200000.0,27.72442468791052,Zilany2014,Zilany2014,40.0,40.0,20.0,[193.51460296],3.2736546094873944,phase
1,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",2120.0166774534496,706.6722258178165,RP,[0.001 0.001],0.1,0.01,1413.344451635633,200000.0,37.72442468791052,Zilany2014,Zilany2014,40.0,40.0,30.0,[170.08932292],2.9137631629169265,phase
2,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",2120.0166774534496,706.6722258178165,RP,[0.001 0.001],0.1,0.01,1413.344451635633,200000.0,47.72442468791052,Zilany2014,Zilany2014,40.0,40.0,40.0,[16.43637277],2.6557962528128956,phase
3,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",2343.0025207532694,781.0008402510898,RP,[0.001 0.001],0.1,0.01,1562.0016805021796,200000.0,27.929405972484574,Zilany2014,Zilany2014,40.0,40.0,20.0,[326.91187844],3.489476606992507,phase
4,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",2343.0025207532694,781.0008402510898,RP,[0.001 0.001],0.1,0.01,1562.0016805021796,200000.0,37.929405972484574,Zilany2014,Zilany2014,40.0,40.0,30.0,[356.43412579],3.1522944246220206,phase
5,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",2343.0025207532694,781.0008402510898,RP,[0.001 0.001],0.1,0.01,1562.0016805021796,200000.0,47.929405972484574,Zilany2014,Zilany2014,40.0,40.0,40.0,[42.09290638],3.321300530498751,phase
6,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",2589.4422768646923,863.1474256215641,RP,[0.001 0.001],0.1,0.01,1726.2948512431283,200000.0,28.846680961006932,Zilany2014,Zilany2014,40.0,40.0,20.0,[23.23012488],3.7468370427609323,phase
7,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",2589.4422768646923,863.1474256215641,RP,[0.001 0.001],0.1,0.01,1726.2948512431283,200000.0,38.84668096100693,Zilany2014,Zilany2014,40.0,40.0,30.0,[155.30642648],3.795514759929851,phase
8,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",2589.4422768646923,863.1474256215641,RP,[0.001 0.001],0.1,0.01,1726.2948512431283,200000.0,48.84668096100693,Zilany2014,Zilany2014,40.0,40.0,40.0,[143.273006],3.9541816722319685,phase
9,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",2861.8028558750702,953.9342852916901,RP,[0.001 0.001],0.1,0.01,1907.8685705833802,200000.0,30.256471991629873,Zilany2014,Zilany2014,40.0,40.0,20.0,[139.6463014],4.030261499557814,phase
10,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",2861.8028558750702,953.9342852916901,RP,[0.001 0.001],0.1,0.01,1907.8685705833802,200000.0,40.25647199162987,Zilany2014,Zilany2014,40.0,40.0,30.0,[149.98428485],4.101631126894399,phase
11,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",2861.8028558750702,953.9342852916901,RP,[0.001 0.001],0.1,0.01,1907.8685705833802,200000.0,50.25647199162987,Zilany2014,Zilany2014,40.0,40.0,40.0,[309.01971472],4.485049633115941,phase
12,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",3162.8106403712163,1054.270213457072,RP,[0.001 0.001],0.1,0.01,2108.540426914144,200000.0,31.117958542971323,Zilany2014,Zilany2014,40.0,40.0,20.0,[269.06855818],4.339027467722753,phase
13,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",3162.8106403712163,1054.270213457072,RP,[0.001 0.001],0.1,0.01,2108.540426914144,200000.0,41.11795854297132,Zilany2014,Zilany2014,40.0,40.0,30.0,[196.92753715],4.323045838369171,phase
14,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",3162.8106403712163,1054.270213457072,RP,[0.001 0.001],0.1,0.01,2108.540426914144,200000.0,51.11795854297132,Zilany2014,Zilany2014,40.0,40.0,40.0,[307.0617956],4.754116778617254,phase
15,"[[0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06]]",3495.478777061525,1165.1595923538416,RP,[0.001 0.001],0.1,0.01,2330.3191847076832,200000.0,30.998772224359527,Zilany2014,Zilany2014,40.0,40.0,20.0,[273.39562346],4.435292823608003,phase
