,API,F0,cf_high,cf_low,decoding_type,delta_theta,dur,dur_ramp,fs,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,result,roving_type
0,"[[0.         0.         0.         0.         0.         0.        ]
 [0.         0.02777778 0.         0.         0.         0.        ]
 [0.         0.         0.02777778 0.         0.         0.        ]
 [0.         0.         0.         0.02777778 0.         0.        ]
 [0.         0.         0.         0.         0.02777778 0.        ]
 [0.         0.         0.         0.         0.         0.02777778]]",176.66805645445413,1943.3486209989956,883.3402822722707,AI,"[0.001, 0.001, 0.001, 0.001, 0.001, 0.001]",0.1,0.01,500000.0,[34.80348346 36.1550894  30.73423114 34.29570198 34.68793208],Heinz2001,Heinz2001,40.0,40.0,20.0,0.002060510679169951,level
1,"[[0.         0.         0.         0.         0.         0.        ]
 [0.         0.02777778 0.         0.         0.         0.        ]
 [0.         0.         0.02777778 0.         0.         0.        ]
 [0.         0.         0.         0.02777778 0.         0.        ]
 [0.         0.         0.         0.         0.02777778 0.        ]
 [0.         0.         0.         0.         0.         0.02777778]]",176.66805645445413,1943.3486209989956,883.3402822722707,AI,"[0.001, 0.001, 0.001, 0.001, 0.001, 0.001]",0.1,0.01,500000.0,[46.06363601 42.5417761  45.94696914 44.84510503 45.94330723],Heinz2001,Heinz2001,40.0,40.0,30.0,0.0017480098972139496,level
2,"[[0.         0.         0.         0.         0.         0.        ]
 [0.         0.02777778 0.         0.         0.         0.        ]
 [0.         0.         0.02777778 0.         0.         0.        ]
 [0.         0.         0.         0.02777778 0.         0.        ]
 [0.         0.         0.         0.         0.02777778 0.        ]
 [0.         0.         0.         0.         0.         0.02777778]]",176.66805645445413,1943.3486209989956,883.3402822722707,AI,"[0.001, 0.001, 0.001, 0.001, 0.001, 0.001]",0.1,0.01,500000.0,[54.9305642  55.86449311 56.2485165  51.32207623 53.56702723],Heinz2001,Heinz2001,40.0,40.0,40.0,0.0016622371645836507,level
3,"[[0.         0.         0.         0.         0.         0.        ]
 [0.         0.02777778 0.         0.         0.         0.        ]
 [0.         0.         0.02777778 0.         0.         0.        ]
 [0.         0.         0.         0.02777778 0.         0.        ]
 [0.         0.         0.         0.         0.02777778 0.        ]
 [0.         0.         0.         0.         0.         0.02777778]]",195.25021006277245,2147.752310690497,976.2510503138623,AI,"[0.001, 0.001, 0.001, 0.001, 0.001, 0.001]",0.1,0.01,500000.0,[35.10509986 36.45670579 31.03584753 34.59731838 34.98954847],Heinz2001,Heinz2001,40.0,40.0,20.0,0.002134608788010883,level
4,"[[0.         0.         0.         0.         0.         0.        ]
 [0.         0.02777778 0.         0.         0.         0.        ]
 [0.         0.         0.02777778 0.         0.         0.        ]
 [0.         0.         0.         0.02777778 0.         0.        ]
 [0.         0.         0.         0.         0.02777778 0.        ]
 [0.         0.         0.         0.         0.         0.02777778]]",195.25021006277245,2147.752310690497,976.2510503138623,AI,"[0.001, 0.001, 0.001, 0.001, 0.001, 0.001]",0.1,0.01,500000.0,[46.3652524  42.84339249 46.24858554 45.14672143 46.24492363],Heinz2001,Heinz2001,40.0,40.0,30.0,0.0018319357312941119,level
5,"[[0.         0.         0.         0.         0.         0.        ]
 [0.         0.02777778 0.         0.         0.         0.        ]
 [0.         0.         0.02777778 0.         0.         0.        ]
 [0.         0.         0.         0.02777778 0.         0.        ]
 [0.         0.         0.         0.         0.02777778 0.        ]
 [0.         0.         0.         0.         0.         0.02777778]]",195.25021006277245,2147.752310690497,976.2510503138623,AI,"[0.001, 0.001, 0.001, 0.001, 0.001, 0.001]",0.1,0.01,500000.0,[55.2321806  56.1661095  56.5501329  51.62369263 53.86864363],Heinz2001,Heinz2001,40.0,40.0,40.0,0.001743401115558338,level
6,"[[0.         0.         0.         0.         0.         0.        ]
 [0.         0.02777778 0.         0.         0.         0.        ]
 [0.         0.         0.02777778 0.         0.         0.        ]
 [0.         0.         0.         0.02777778 0.         0.        ]
 [0.         0.         0.         0.         0.02777778 0.        ]
 [0.         0.         0.         0.         0.         0.02777778]]",215.78685640539103,2373.6554204593012,1078.934282026955,AI,"[0.001, 0.001, 0.001, 0.001, 0.001, 0.001]",0.1,0.01,500000.0,[35.50278437 36.8543903  31.43353204 34.99500289 35.38723298],Heinz2001,Heinz2001,40.0,40.0,20.0,0.0022225453245130907,level
7,"[[0.         0.         0.         0.         0.         0.        ]
 [0.         0.02777778 0.         0.         0.         0.        ]
 [0.         0.         0.02777778 0.         0.         0.        ]
 [0.         0.         0.         0.02777778 0.         0.        ]
 [0.         0.         0.         0.         0.02777778 0.        ]
 [0.         0.         0.         0.         0.         0.02777778]]",215.78685640539103,2373.6554204593012,1078.934282026955,AI,"[0.001, 0.001, 0.001, 0.001, 0.001, 0.001]",0.1,0.01,500000.0,[46.76293691 43.241077   46.64627005 45.54440594 46.64260814],Heinz2001,Heinz2001,40.0,40.0,30.0,0.001921807783738072,level
8,"[[0.         0.         0.         0.         0.         0.        ]
 [0.         0.02777778 0.         0.         0.         0.        ]
 [0.         0.         0.02777778 0.         0.         0.        ]
 [0.         0.         0.         0.02777778 0.         0.        ]
 [0.         0.         0.         0.         0.02777778 0.        ]
 [0.         0.         0.         0.         0.         0.02777778]]",215.78685640539103,2373.6554204593012,1078.934282026955,AI,"[0.001, 0.001, 0.001, 0.001, 0.001, 0.001]",0.1,0.01,500000.0,[55.62986511 56.56379401 56.94781741 52.02137714 54.26632814],Heinz2001,Heinz2001,40.0,40.0,40.0,0.0018362227650288389,level
9,"[[0.         0.         0.         0.         0.         0.        ]
 [0.         0.02777778 0.         0.         0.         0.        ]
 [0.         0.         0.02777778 0.         0.         0.        ]
 [0.         0.         0.         0.02777778 0.         0.        ]
 [0.         0.         0.         0.         0.02777778 0.        ]
 [0.         0.         0.         0.         0.         0.02777778]]",238.48357132292253,2623.319284552148,1192.4178566146127,AI,"[0.001, 0.001, 0.001, 0.001, 0.001, 0.001]",0.1,0.01,500000.0,[35.98237042 37.33397635 31.91311809 35.47458894 35.86681903],Heinz2001,Heinz2001,40.0,40.0,20.0,0.0023319469128140037,level
