,API,F0,cf_high,cf_low,decoding_type,delta_theta,dur,dur_ramp,fs,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,result,roving_type
0,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,AI,[0.001],0.1,0.01,1000000.0,33.31510066171346,Heinz2001,Heinz2001,40.0,51.0,20.0,0.001879418413809677,none
1,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,AI,[0.001],0.1,0.01,1000000.0,43.31510066171346,Heinz2001,Heinz2001,40.0,51.0,30.0,0.0015712970508062218,none
2,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,AI,[0.001],0.1,0.01,1000000.0,53.31510066171346,Heinz2001,Heinz2001,40.0,51.0,40.0,0.0014706219575641808,none
3,[0.],195.25021006277245,2147.752310690497,976.2510503138623,AI,[0.001],0.1,0.01,1000000.0,33.61671705526375,Heinz2001,Heinz2001,40.0,51.0,20.0,0.0019445608429814203,none
4,[0.],195.25021006277245,2147.752310690497,976.2510503138623,AI,[0.001],0.1,0.01,1000000.0,43.61671705526375,Heinz2001,Heinz2001,40.0,51.0,30.0,0.0016470459396647121,none
5,[0.],195.25021006277245,2147.752310690497,976.2510503138623,AI,[0.001],0.1,0.01,1000000.0,53.61671705526375,Heinz2001,Heinz2001,40.0,51.0,40.0,0.00154272917371324,none
6,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,AI,[0.001],0.1,0.01,1000000.0,34.014401565273985,Heinz2001,Heinz2001,40.0,51.0,20.0,0.0020221995426939207,none
7,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,AI,[0.001],0.1,0.01,1000000.0,44.014401565273985,Heinz2001,Heinz2001,40.0,51.0,30.0,0.0017269922450783722,none
8,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,AI,[0.001],0.1,0.01,1000000.0,54.014401565273985,Heinz2001,Heinz2001,40.0,51.0,40.0,0.001625311399652304,none
9,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,AI,[0.001],0.1,0.01,1000000.0,34.4939876158342,Heinz2001,Heinz2001,40.0,51.0,20.0,0.00211845423728917,none
10,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,AI,[0.001],0.1,0.01,1000000.0,44.4939876158342,Heinz2001,Heinz2001,40.0,51.0,30.0,0.001823383687501789,none
11,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,AI,[0.001],0.1,0.01,1000000.0,54.4939876158342,Heinz2001,Heinz2001,40.0,51.0,40.0,0.001730615751930075,none
12,[0.],263.567553364268,2899.243087006948,1317.83776682134,AI,[0.001],0.1,0.01,1000000.0,34.972581766637475,Heinz2001,Heinz2001,40.0,51.0,20.0,0.0022482008707037275,none
