,API,F0,cf_high,cf_low,decoding_type,delta_theta,dur,dur_ramp,fs,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,result,roving_type
0,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,AI,[0.001],0.1,0.01,200000.0,38.45437904135416,Verhulst2018,Verhulst2018,40.0,51.0,20.0,0.0024163273985319217,none
1,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,AI,[0.001],0.1,0.01,200000.0,48.45437904135416,Verhulst2018,Verhulst2018,40.0,51.0,30.0,0.002150398096622289,none
2,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,AI,[0.001],0.1,0.01,200000.0,58.45437904135416,Verhulst2018,Verhulst2018,40.0,51.0,40.0,0.001996823977266296,none
3,[0.],195.25021006277245,2147.752310690497,976.2510503138623,AI,[0.001],0.1,0.01,200000.0,39.549414333485345,Verhulst2018,Verhulst2018,40.0,51.0,20.0,0.002662316961781878,none
4,[0.],195.25021006277245,2147.752310690497,976.2510503138623,AI,[0.001],0.1,0.01,200000.0,49.549414333485345,Verhulst2018,Verhulst2018,40.0,51.0,30.0,0.0023831660857735497,none
5,[0.],195.25021006277245,2147.752310690497,976.2510503138623,AI,[0.001],0.1,0.01,200000.0,59.549414333485345,Verhulst2018,Verhulst2018,40.0,51.0,40.0,0.002183300696219535,none
6,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,AI,[0.001],0.1,0.01,200000.0,40.30829854438498,Verhulst2018,Verhulst2018,40.0,51.0,20.0,0.002969775684402104,none
7,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,AI,[0.001],0.1,0.01,200000.0,50.30829854438498,Verhulst2018,Verhulst2018,40.0,51.0,30.0,0.002645818932606534,none
8,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,AI,[0.001],0.1,0.01,200000.0,60.30829854438498,Verhulst2018,Verhulst2018,40.0,51.0,40.0,0.0024264737847520513,none
9,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,AI,[0.001],0.1,0.01,200000.0,40.64805952851363,Verhulst2018,Verhulst2018,40.0,51.0,20.0,0.003359287962068247,none
10,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,AI,[0.001],0.1,0.01,200000.0,50.64805952851363,Verhulst2018,Verhulst2018,40.0,51.0,30.0,0.002965000646713152,none
11,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,AI,[0.001],0.1,0.01,200000.0,60.64805952851363,Verhulst2018,Verhulst2018,40.0,51.0,40.0,0.0027403081189956305,none
12,[0.],263.567553364268,2899.243087006948,1317.83776682134,AI,[0.001],0.1,0.01,200000.0,41.29392092651331,Verhulst2018,Verhulst2018,40.0,51.0,20.0,0.003807684585430452,none
13,[0.],263.567553364268,2899.243087006948,1317.83776682134,AI,[0.001],0.1,0.01,200000.0,51.29392092651331,Verhulst2018,Verhulst2018,40.0,51.0,30.0,0.003397362697191091,none
14,[0.],263.567553364268,2899.243087006948,1317.83776682134,AI,[0.001],0.1,0.01,200000.0,61.29392092651331,Verhulst2018,Verhulst2018,40.0,51.0,40.0,0.0031111538151913165,none
15,[0.],291.2898980884604,3204.1888789730647,1456.449490442302,AI,[0.001],0.1,0.01,200000.0,42.29588910490317,Verhulst2018,Verhulst2018,40.0,51.0,20.0,0.004349247634962944,none
16,[0.],291.2898980884604,3204.1888789730647,1456.449490442302,AI,[0.001],0.1,0.01,200000.0,52.29588910490317,Verhulst2018,Verhulst2018,40.0,51.0,30.0,0.00384222202547327,none
17,[0.],291.2898980884604,3204.1888789730647,1456.449490442302,AI,[0.001],0.1,0.01,200000.0,62.29588910490317,Verhulst2018,Verhulst2018,40.0,51.0,40.0,0.00355683457179902,none
18,[0.],321.9281115802507,3541.2092273827575,1609.6405579012535,AI,[0.001],0.1,0.01,200000.0,43.07653642986928,Verhulst2018,Verhulst2018,40.0,51.0,20.0,0.005023857792559817,none
19,[0.],321.9281115802507,3541.2092273827575,1609.6405579012535,AI,[0.001],0.1,0.01,200000.0,53.07653642986928,Verhulst2018,Verhulst2018,40.0,51.0,30.0,0.0044171202665195305,none
20,[0.],321.9281115802507,3541.2092273827575,1609.6405579012535,AI,[0.001],0.1,0.01,200000.0,63.07653642986928,Verhulst2018,Verhulst2018,40.0,51.0,40.0,0.004086957606139474,none
21,[0.],355.78888834020944,3913.677771742304,1778.9444417010473,AI,[0.001],0.1,0.01,200000.0,43.64714625750077,Verhulst2018,Verhulst2018,40.0,51.0,20.0,0.005833343394950334,none
22,[0.],355.78888834020944,3913.677771742304,1778.9444417010473,AI,[0.001],0.1,0.01,200000.0,53.64714625750077,Verhulst2018,Verhulst2018,40.0,51.0,30.0,0.005119992254432806,none
23,[0.],355.78888834020944,3913.677771742304,1778.9444417010473,AI,[0.001],0.1,0.01,200000.0,63.64714625750077,Verhulst2018,Verhulst2018,40.0,51.0,40.0,0.004710073939733063,none
24,[0.],393.21118135657645,4325.3229949223405,1966.0559067828822,AI,[0.001],0.1,0.01,200000.0,44.43235206689291,Verhulst2018,Verhulst2018,40.0,51.0,20.0,0.006852063813336107,none
25,[0.],393.21118135657645,4325.3229949223405,1966.0559067828822,AI,[0.001],0.1,0.01,200000.0,54.43235206689291,Verhulst2018,Verhulst2018,40.0,51.0,30.0,0.005960514098043546,none
26,[0.],393.21118135657645,4325.3229949223405,1966.0559067828822,AI,[0.001],0.1,0.01,200000.0,64.43235206689292,Verhulst2018,Verhulst2018,40.0,51.0,40.0,0.005495477967911621,none
27,[0.],434.56959509086647,4780.265545999531,2172.8479754543323,AI,[0.001],0.1,0.01,200000.0,45.36372321112161,Verhulst2018,Verhulst2018,40.0,51.0,20.0,0.008025497446738571,none
28,[0.],434.56959509086647,4780.265545999531,2172.8479754543323,AI,[0.001],0.1,0.01,200000.0,55.36372321112161,Verhulst2018,Verhulst2018,40.0,51.0,30.0,0.0069760069056287516,none
29,[0.],434.56959509086647,4780.265545999531,2172.8479754543323,AI,[0.001],0.1,0.01,200000.0,65.36372321112161,Verhulst2018,Verhulst2018,40.0,51.0,40.0,0.006437210212637284,none
30,[0.],480.27813534169,5283.05948875859,2401.39067670845,AI,[0.001],0.1,0.01,200000.0,46.11873829754835,Verhulst2018,Verhulst2018,40.0,51.0,20.0,0.00961086540154685,none
31,[0.],480.27813534169,5283.05948875859,2401.39067670845,AI,[0.001],0.1,0.01,200000.0,56.11873829754835,Verhulst2018,Verhulst2018,40.0,51.0,30.0,0.008307493185455943,none
32,[0.],480.27813534169,5283.05948875859,2401.39067670845,AI,[0.001],0.1,0.01,200000.0,66.11873829754835,Verhulst2018,Verhulst2018,40.0,51.0,40.0,0.007629658607953416,none
33,[0.],530.7943535236503,5838.7378887601535,2653.9717676182518,AI,[0.001],0.1,0.01,200000.0,46.77914891738223,Verhulst2018,Verhulst2018,40.0,51.0,20.0,0.011567469969357673,none
34,[0.],530.7943535236503,5838.7378887601535,2653.9717676182518,AI,[0.001],0.1,0.01,200000.0,56.77914891738223,Verhulst2018,Verhulst2018,40.0,51.0,30.0,0.009919583888837692,none
35,[0.],530.7943535236503,5838.7378887601535,2653.9717676182518,AI,[0.001],0.1,0.01,200000.0,66.77914891738223,Verhulst2018,Verhulst2018,40.0,51.0,40.0,0.009141723356622028,none
36,[0.],586.6239268463596,6452.863195309956,2933.119634231798,AI,[0.001],0.1,0.01,200000.0,47.55804500901283,Verhulst2018,Verhulst2018,40.0,51.0,20.0,0.01395587321931011,none
37,[0.],586.6239268463596,6452.863195309956,2933.119634231798,AI,[0.001],0.1,0.01,200000.0,57.55804500901283,Verhulst2018,Verhulst2018,40.0,51.0,30.0,0.011888239940852101,none
38,[0.],586.6239268463596,6452.863195309956,2933.119634231798,AI,[0.001],0.1,0.01,200000.0,67.55804500901283,Verhulst2018,Verhulst2018,40.0,51.0,40.0,0.011012273804264599,none
