,API,F0,cf_high,cf_low,decoding_type,delta_theta,dur,dur_ramp,fs,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,result,roving_type
0,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,RP,[0.001],0.1,0.01,200000.0,38.45437904135416,Verhulst2018,Verhulst2018,40.0,51.0,20.0,0.19248164914422475,none
1,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,RP,[0.001],0.1,0.01,200000.0,48.45437904135416,Verhulst2018,Verhulst2018,40.0,51.0,30.0,0.22245754760194705,none
2,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,RP,[0.001],0.1,0.01,200000.0,58.45437904135416,Verhulst2018,Verhulst2018,40.0,51.0,40.0,0.4382594249418952,none
3,[0.],195.25021006277245,2147.752310690497,976.2510503138623,RP,[0.001],0.1,0.01,200000.0,39.549414333485345,Verhulst2018,Verhulst2018,40.0,51.0,20.0,0.21036671742403262,none
4,[0.],195.25021006277245,2147.752310690497,976.2510503138623,RP,[0.001],0.1,0.01,200000.0,49.549414333485345,Verhulst2018,Verhulst2018,40.0,51.0,30.0,0.221726031301601,none
5,[0.],195.25021006277245,2147.752310690497,976.2510503138623,RP,[0.001],0.1,0.01,200000.0,59.549414333485345,Verhulst2018,Verhulst2018,40.0,51.0,40.0,0.5492355906100761,none
6,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,RP,[0.001],0.1,0.01,200000.0,40.30829854438498,Verhulst2018,Verhulst2018,40.0,51.0,20.0,0.20293119375155919,none
7,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,RP,[0.001],0.1,0.01,200000.0,50.30829854438498,Verhulst2018,Verhulst2018,40.0,51.0,30.0,0.24899346590418095,none
8,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,RP,[0.001],0.1,0.01,200000.0,60.30829854438498,Verhulst2018,Verhulst2018,40.0,51.0,40.0,0.5954767255005126,none
9,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,RP,[0.001],0.1,0.01,200000.0,40.64805952851363,Verhulst2018,Verhulst2018,40.0,51.0,20.0,0.2567390574721819,none
10,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,RP,[0.001],0.1,0.01,200000.0,50.64805952851363,Verhulst2018,Verhulst2018,40.0,51.0,30.0,0.25136330187625877,none
11,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,RP,[0.001],0.1,0.01,200000.0,60.64805952851363,Verhulst2018,Verhulst2018,40.0,51.0,40.0,0.5986992382619523,none
12,[0.],263.567553364268,2899.243087006948,1317.83776682134,RP,[0.001],0.1,0.01,200000.0,41.29392092651331,Verhulst2018,Verhulst2018,40.0,51.0,20.0,0.2939143517825064,none
13,[0.],263.567553364268,2899.243087006948,1317.83776682134,RP,[0.001],0.1,0.01,200000.0,51.29392092651331,Verhulst2018,Verhulst2018,40.0,51.0,30.0,0.2836426559476766,none
14,[0.],263.567553364268,2899.243087006948,1317.83776682134,RP,[0.001],0.1,0.01,200000.0,61.29392092651331,Verhulst2018,Verhulst2018,40.0,51.0,40.0,0.6708333363355121,none
15,[0.],291.2898980884604,3204.1888789730647,1456.449490442302,RP,[0.001],0.1,0.01,200000.0,42.29588910490317,Verhulst2018,Verhulst2018,40.0,51.0,20.0,0.33580017547261476,none
16,[0.],291.2898980884604,3204.1888789730647,1456.449490442302,RP,[0.001],0.1,0.01,200000.0,52.29588910490317,Verhulst2018,Verhulst2018,40.0,51.0,30.0,0.313376895643391,none
17,[0.],291.2898980884604,3204.1888789730647,1456.449490442302,RP,[0.001],0.1,0.01,200000.0,62.29588910490317,Verhulst2018,Verhulst2018,40.0,51.0,40.0,0.7089595998346174,none
18,[0.],321.9281115802507,3541.2092273827575,1609.6405579012535,RP,[0.001],0.1,0.01,200000.0,43.07653642986928,Verhulst2018,Verhulst2018,40.0,51.0,20.0,0.3718106057919348,none
19,[0.],321.9281115802507,3541.2092273827575,1609.6405579012535,RP,[0.001],0.1,0.01,200000.0,53.07653642986928,Verhulst2018,Verhulst2018,40.0,51.0,30.0,0.3409532816646865,none
20,[0.],321.9281115802507,3541.2092273827575,1609.6405579012535,RP,[0.001],0.1,0.01,200000.0,63.07653642986928,Verhulst2018,Verhulst2018,40.0,51.0,40.0,0.7804554881059774,none
21,[0.],355.78888834020944,3913.677771742304,1778.9444417010473,RP,[0.001],0.1,0.01,200000.0,43.64714625750077,Verhulst2018,Verhulst2018,40.0,51.0,20.0,0.4045367558396061,none
22,[0.],355.78888834020944,3913.677771742304,1778.9444417010473,RP,[0.001],0.1,0.01,200000.0,53.64714625750077,Verhulst2018,Verhulst2018,40.0,51.0,30.0,0.3701462473716455,none
23,[0.],355.78888834020944,3913.677771742304,1778.9444417010473,RP,[0.001],0.1,0.01,200000.0,63.64714625750077,Verhulst2018,Verhulst2018,40.0,51.0,40.0,0.8809990328588413,none
24,[0.],393.21118135657645,4325.3229949223405,1966.0559067828822,RP,[0.001],0.1,0.01,200000.0,44.43235206689291,Verhulst2018,Verhulst2018,40.0,51.0,20.0,0.4738834440132217,none
25,[0.],393.21118135657645,4325.3229949223405,1966.0559067828822,RP,[0.001],0.1,0.01,200000.0,54.43235206689291,Verhulst2018,Verhulst2018,40.0,51.0,30.0,0.4272626915824422,none
26,[0.],393.21118135657645,4325.3229949223405,1966.0559067828822,RP,[0.001],0.1,0.01,200000.0,64.43235206689292,Verhulst2018,Verhulst2018,40.0,51.0,40.0,1.0290567302650853,none
27,[0.],434.56959509086647,4780.265545999531,2172.8479754543323,RP,[0.001],0.1,0.01,200000.0,45.36372321112161,Verhulst2018,Verhulst2018,40.0,51.0,20.0,0.46644542131277744,none
28,[0.],434.56959509086647,4780.265545999531,2172.8479754543323,RP,[0.001],0.1,0.01,200000.0,55.36372321112161,Verhulst2018,Verhulst2018,40.0,51.0,30.0,0.4426986021523461,none
