,API,F0,cf_high,cf_low,decoding_type,delta_theta,dur,dur_ramp,fs,level,model,n_cf,n_fiber_per_chan,nominal_level,result,roving_type
0,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,AI,[0.001],0.1,0.01,200000.0,27.72442468791052,Zilany2014,40.0,40.0,20.0,0.0010556015916265322,none
1,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,AI,[0.001],0.1,0.01,200000.0,37.72442468791052,Zilany2014,40.0,40.0,30.0,0.0008811095891678177,none
2,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,AI,[0.001],0.1,0.01,200000.0,47.72442468791052,Zilany2014,40.0,40.0,40.0,0.0007594785338411473,none
3,[0.],195.25021006277245,2147.752310690497,976.2510503138623,AI,[0.001],0.1,0.01,200000.0,27.929405972484574,Zilany2014,40.0,40.0,20.0,0.0012103741960873024,none
4,[0.],195.25021006277245,2147.752310690497,976.2510503138623,AI,[0.001],0.1,0.01,200000.0,37.929405972484574,Zilany2014,40.0,40.0,30.0,0.0009685497246329086,none
5,[0.],195.25021006277245,2147.752310690497,976.2510503138623,AI,[0.001],0.1,0.01,200000.0,47.929405972484574,Zilany2014,40.0,40.0,40.0,0.0008322238574167456,none
6,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,AI,[0.001],0.1,0.01,200000.0,28.846680961006932,Zilany2014,40.0,40.0,20.0,0.0011668095419811438,none
7,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,AI,[0.001],0.1,0.01,200000.0,38.84668096100693,Zilany2014,40.0,40.0,30.0,0.0009693648367799754,none
8,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,AI,[0.001],0.1,0.01,200000.0,48.84668096100693,Zilany2014,40.0,40.0,40.0,0.0008369949694892968,none
9,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,AI,[0.001],0.1,0.01,200000.0,30.256471991629873,Zilany2014,40.0,40.0,20.0,0.0012927432807568126,none
10,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,AI,[0.001],0.1,0.01,200000.0,40.25647199162987,Zilany2014,40.0,40.0,30.0,0.0010564473464340824,none
11,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,AI,[0.001],0.1,0.01,200000.0,50.25647199162987,Zilany2014,40.0,40.0,40.0,0.0010406039815828608,none
12,[0.],263.567553364268,2899.243087006948,1317.83776682134,AI,[0.001],0.1,0.01,200000.0,31.117958542971323,Zilany2014,40.0,40.0,20.0,0.0014165692833846674,none
13,[0.],263.567553364268,2899.243087006948,1317.83776682134,AI,[0.001],0.1,0.01,200000.0,41.11795854297132,Zilany2014,40.0,40.0,30.0,0.0012741995122203867,none
14,[0.],263.567553364268,2899.243087006948,1317.83776682134,AI,[0.001],0.1,0.01,200000.0,51.11795854297132,Zilany2014,40.0,40.0,40.0,0.0011617167292364546,none
15,[0.],291.2898980884604,3204.1888789730647,1456.449490442302,AI,[0.001],0.1,0.01,200000.0,30.998772224359527,Zilany2014,40.0,40.0,20.0,0.001730749405233282,none
16,[0.],291.2898980884604,3204.1888789730647,1456.449490442302,AI,[0.001],0.1,0.01,200000.0,40.99877222435953,Zilany2014,40.0,40.0,30.0,0.001548039428179132,none
17,[0.],291.2898980884604,3204.1888789730647,1456.449490442302,AI,[0.001],0.1,0.01,200000.0,50.99877222435953,Zilany2014,40.0,40.0,40.0,0.001442915558579221,none
18,[0.],321.9281115802507,3541.2092273827575,1609.6405579012535,AI,[0.001],0.1,0.01,200000.0,30.083532269431913,Zilany2014,40.0,40.0,20.0,0.002225337488563813,none
19,[0.],321.9281115802507,3541.2092273827575,1609.6405579012535,AI,[0.001],0.1,0.01,200000.0,40.08353226943191,Zilany2014,40.0,40.0,30.0,0.001881651897036021,none
20,[0.],321.9281115802507,3541.2092273827575,1609.6405579012535,AI,[0.001],0.1,0.01,200000.0,50.08353226943191,Zilany2014,40.0,40.0,40.0,0.001752871016809954,none
21,[0.],355.78888834020944,3913.677771742304,1778.9444417010473,AI,[0.001],0.1,0.01,200000.0,28.700873207735263,Zilany2014,40.0,40.0,20.0,0.0029772256598443727,none
22,[0.],355.78888834020944,3913.677771742304,1778.9444417010473,AI,[0.001],0.1,0.01,200000.0,38.70087320773526,Zilany2014,40.0,40.0,30.0,0.0024913019799807615,none
23,[0.],355.78888834020944,3913.677771742304,1778.9444417010473,AI,[0.001],0.1,0.01,200000.0,48.70087320773526,Zilany2014,40.0,40.0,40.0,0.002280880264688358,none
24,[0.],393.21118135657645,4325.3229949223405,1966.0559067828822,AI,[0.001],0.1,0.01,200000.0,27.243707257190316,Zilany2014,40.0,40.0,20.0,0.0040273136631953,none
25,[0.],393.21118135657645,4325.3229949223405,1966.0559067828822,AI,[0.001],0.1,0.01,200000.0,37.243707257190316,Zilany2014,40.0,40.0,30.0,0.003513616103737807,none
26,[0.],393.21118135657645,4325.3229949223405,1966.0559067828822,AI,[0.001],0.1,0.01,200000.0,47.243707257190316,Zilany2014,40.0,40.0,40.0,0.0031254513082734263,none
27,[0.],434.56959509086647,4780.265545999531,2172.8479754543323,AI,[0.001],0.1,0.01,200000.0,25.825346609990415,Zilany2014,40.0,40.0,20.0,0.005836405479271786,none
