,API,F0,cf_high,cf_low,decoding_type,delta_theta,dur,dur_ramp,fs,level,model,n_cf,n_fiber_per_chan,nominal_level,result,roving_type
0,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,RP,[0.001],0.1,0.01,200000.0,27.72442468791052,Zilany2014,40.0,40.0,20.0,0.212929710771837,none
1,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,RP,[0.001],0.1,0.01,200000.0,37.72442468791052,Zilany2014,40.0,40.0,30.0,0.1958782626635077,none
2,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,RP,[0.001],0.1,0.01,200000.0,47.72442468791052,Zilany2014,40.0,40.0,40.0,0.20178624497113587,none
3,[0.],195.25021006277245,2147.752310690497,976.2510503138623,RP,[0.001],0.1,0.01,200000.0,27.929405972484574,Zilany2014,40.0,40.0,20.0,0.19080846522678904,none
4,[0.],195.25021006277245,2147.752310690497,976.2510503138623,RP,[0.001],0.1,0.01,200000.0,37.929405972484574,Zilany2014,40.0,40.0,30.0,0.2075707881514404,none
5,[0.],195.25021006277245,2147.752310690497,976.2510503138623,RP,[0.001],0.1,0.01,200000.0,47.929405972484574,Zilany2014,40.0,40.0,40.0,0.21180612452232125,none
6,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,RP,[0.001],0.1,0.01,200000.0,28.846680961006932,Zilany2014,40.0,40.0,20.0,0.15354937531991172,none
7,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,RP,[0.001],0.1,0.01,200000.0,38.84668096100693,Zilany2014,40.0,40.0,30.0,0.1502699922144939,none
8,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,RP,[0.001],0.1,0.01,200000.0,48.84668096100693,Zilany2014,40.0,40.0,40.0,0.16520389592745696,none
9,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,RP,[0.001],0.1,0.01,200000.0,30.256471991629873,Zilany2014,40.0,40.0,20.0,0.1844134572487471,none
10,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,RP,[0.001],0.1,0.01,200000.0,40.25647199162987,Zilany2014,40.0,40.0,30.0,0.16406992856221356,none
11,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,RP,[0.001],0.1,0.01,200000.0,50.25647199162987,Zilany2014,40.0,40.0,40.0,0.18328161979777144,none
12,[0.],263.567553364268,2899.243087006948,1317.83776682134,RP,[0.001],0.1,0.01,200000.0,31.117958542971323,Zilany2014,40.0,40.0,20.0,0.2311066943181351,none
13,[0.],263.567553364268,2899.243087006948,1317.83776682134,RP,[0.001],0.1,0.01,200000.0,41.11795854297132,Zilany2014,40.0,40.0,30.0,0.2239179505585714,none
14,[0.],263.567553364268,2899.243087006948,1317.83776682134,RP,[0.001],0.1,0.01,200000.0,51.11795854297132,Zilany2014,40.0,40.0,40.0,0.27729509896838866,none
15,[0.],291.2898980884604,3204.1888789730647,1456.449490442302,RP,[0.001],0.1,0.01,200000.0,30.998772224359527,Zilany2014,40.0,40.0,20.0,0.22036065360810128,none
16,[0.],291.2898980884604,3204.1888789730647,1456.449490442302,RP,[0.001],0.1,0.01,200000.0,40.99877222435953,Zilany2014,40.0,40.0,30.0,0.25579733719424774,none
17,[0.],291.2898980884604,3204.1888789730647,1456.449490442302,RP,[0.001],0.1,0.01,200000.0,50.99877222435953,Zilany2014,40.0,40.0,40.0,0.17826668087596947,none
