,API,F0,cf_high,cf_low,decoding_type,delta_theta,dur,dur_ramp,fs,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,result,roving_type
0,"[[0.         0.         0.         0.         0.         0.        ]
 [0.         0.02777778 0.         0.         0.         0.        ]
 [0.         0.         0.02777778 0.         0.         0.        ]
 [0.         0.         0.         0.02777778 0.         0.        ]
 [0.         0.         0.         0.         0.02777778 0.        ]
 [0.         0.         0.         0.         0.         0.02777778]]",176.66805645445413,1943.3486209989956,883.3402822722707,RP,"[0.001, 0.001, 0.001, 0.001, 0.001, 0.001]",0.1,0.01,200000.0,[28.8262177  29.61749472 29.45825021 25.99522739 27.3179848 ],Zilany2014,Zilany2014,40.0,51.0,20.0,0.19974326189020616,level
1,"[[0.         0.         0.         0.         0.         0.        ]
 [0.         0.02777778 0.         0.         0.         0.        ]
 [0.         0.         0.02777778 0.         0.         0.        ]
 [0.         0.         0.         0.02777778 0.         0.        ]
 [0.         0.         0.         0.         0.02777778 0.        ]
 [0.         0.         0.         0.         0.         0.02777778]]",176.66805645445413,1943.3486209989956,883.3402822722707,RP,"[0.001, 0.001, 0.001, 0.001, 0.001, 0.001]",0.1,0.01,200000.0,[36.70464541 36.95556591 39.50006648 40.60156824 37.61257974],Zilany2014,Zilany2014,40.0,51.0,30.0,0.17649843319421926,level
2,"[[0.         0.         0.         0.         0.         0.        ]
 [0.         0.02777778 0.         0.         0.         0.        ]
 [0.         0.         0.02777778 0.         0.         0.        ]
 [0.         0.         0.         0.02777778 0.         0.        ]
 [0.         0.         0.         0.         0.02777778 0.        ]
 [0.         0.         0.         0.         0.         0.02777778]]",176.66805645445413,1943.3486209989956,883.3402822722707,RP,"[0.001, 0.001, 0.001, 0.001, 0.001, 0.001]",0.1,0.01,200000.0,[50.36939411 49.98312132 48.62024874 46.95251499 48.42249708],Zilany2014,Zilany2014,40.0,51.0,40.0,0.16156612457943556,level
3,"[[0.         0.         0.         0.         0.         0.        ]
 [0.         0.02777778 0.         0.         0.         0.        ]
 [0.         0.         0.02777778 0.         0.         0.        ]
 [0.         0.         0.         0.02777778 0.         0.        ]
 [0.         0.         0.         0.         0.02777778 0.        ]
 [0.         0.         0.         0.         0.         0.02777778]]",195.25021006277245,2147.752310690497,976.2510503138623,RP,"[0.001, 0.001, 0.001, 0.001, 0.001, 0.001]",0.1,0.01,200000.0,[29.68638368 30.35606385 26.06606368 29.00987949 29.45161059],Zilany2014,Zilany2014,40.0,51.0,20.0,0.2543080666781301,level
4,"[[0.         0.         0.         0.         0.         0.        ]
 [0.         0.02777778 0.         0.         0.         0.        ]
 [0.         0.         0.02777778 0.         0.         0.        ]
 [0.         0.         0.         0.02777778 0.         0.        ]
 [0.         0.         0.         0.         0.02777778 0.        ]
 [0.         0.         0.         0.         0.         0.02777778]]",195.25021006277245,2147.752310690497,976.2510503138623,RP,"[0.001, 0.001, 0.001, 0.001, 0.001, 0.001]",0.1,0.01,200000.0,[36.46866698 35.46867491 39.86600548 37.84314438 37.95495992],Zilany2014,Zilany2014,40.0,51.0,30.0,0.33729485934255893,level
5,"[[0.         0.         0.         0.         0.         0.        ]
 [0.         0.02777778 0.         0.         0.         0.        ]
 [0.         0.         0.02777778 0.         0.         0.        ]
 [0.         0.         0.         0.02777778 0.         0.        ]
 [0.         0.         0.         0.         0.02777778 0.        ]
 [0.         0.         0.         0.         0.         0.02777778]]",195.25021006277245,2147.752310690497,976.2510503138623,RP,"[0.001, 0.001, 0.001, 0.001, 0.001, 0.001]",0.1,0.01,200000.0,[46.48187851 46.41519706 49.795591   48.53889121 45.86447822],Zilany2014,Zilany2014,40.0,51.0,40.0,0.39235766313874526,level
6,"[[0.         0.         0.         0.         0.         0.        ]
 [0.         0.02777778 0.         0.         0.         0.        ]
 [0.         0.         0.02777778 0.         0.         0.        ]
 [0.         0.         0.         0.02777778 0.         0.        ]
 [0.         0.         0.         0.         0.02777778 0.        ]
 [0.         0.         0.         0.         0.         0.02777778]]",215.78685640539103,2373.6554204593012,1078.934282026955,RP,"[0.001, 0.001, 0.001, 0.001, 0.001, 0.001]",0.1,0.01,200000.0,[30.18775567 27.77471925 29.1671587  30.99044003 30.94288346],Zilany2014,Zilany2014,40.0,51.0,20.0,0.27725291270897634,level
7,"[[0.         0.         0.         0.         0.         0.        ]
 [0.         0.02777778 0.         0.         0.         0.        ]
 [0.         0.         0.02777778 0.         0.         0.        ]
 [0.         0.         0.         0.02777778 0.         0.        ]
 [0.         0.         0.         0.         0.02777778 0.        ]
 [0.         0.         0.         0.         0.         0.02777778]]",215.78685640539103,2373.6554204593012,1078.934282026955,RP,"[0.001, 0.001, 0.001, 0.001, 0.001, 0.001]",0.1,0.01,200000.0,[36.25907794 39.19792804 37.86311393 40.22909941 41.38951102],Zilany2014,Zilany2014,40.0,51.0,30.0,0.36455606433850657,level
8,"[[0.         0.         0.         0.         0.         0.        ]
 [0.         0.02777778 0.         0.         0.         0.        ]
 [0.         0.         0.02777778 0.         0.         0.        ]
 [0.         0.         0.         0.02777778 0.         0.        ]
 [0.         0.         0.         0.         0.02777778 0.        ]
 [0.         0.         0.         0.         0.         0.02777778]]",215.78685640539103,2373.6554204593012,1078.934282026955,RP,"[0.001, 0.001, 0.001, 0.001, 0.001, 0.001]",0.1,0.01,200000.0,[47.90692128 50.20303889 46.60950094 46.68016612 48.72015576],Zilany2014,Zilany2014,40.0,51.0,40.0,0.47390894971916375,level
9,"[[0.         0.         0.         0.         0.         0.        ]
 [0.         0.02777778 0.         0.         0.         0.        ]
 [0.         0.         0.02777778 0.         0.         0.        ]
 [0.         0.         0.         0.02777778 0.         0.        ]
 [0.         0.         0.         0.         0.02777778 0.        ]
 [0.         0.         0.         0.         0.         0.02777778]]",238.48357132292253,2623.319284552148,1192.4178566146127,RP,"[0.001, 0.001, 0.001, 0.001, 0.001, 0.001]",0.1,0.01,200000.0,[31.69355135 28.89800676 29.59654619 29.89070905 31.68484614],Zilany2014,Zilany2014,40.0,51.0,20.0,0.28783695663458536,level
