,API,F0,cf_high,cf_low,decoding_type,delta_theta,dur,dur_ramp,fs,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,phase,result,roving_type
0,"[[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 7.71604938e-06 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 7.71604938e-06
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  7.71604938e-06 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 7.71604938e-06]]",176.66805645445413,1943.3486209989956,883.3402822722707,AI,"[0.001, 0.001, 0.001, 0.001, 0.001, 0.001]",0.1,0.01,200000.0,27.72442468791052,Zilany2014,Zilany2014,40.0,51.0,20.0,[143.92090545 269.49668091 182.90981413  61.44295756 354.23429211],0.0015303879813392371,phase
1,"[[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 7.71604938e-06 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 7.71604938e-06
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  7.71604938e-06 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 7.71604938e-06]]",176.66805645445413,1943.3486209989956,883.3402822722707,AI,"[0.001, 0.001, 0.001, 0.001, 0.001, 0.001]",0.1,0.01,200000.0,37.72442468791052,Zilany2014,Zilany2014,40.0,51.0,30.0,[212.59624788 227.47165393 289.31462649  91.16281589 215.02805111],0.0011444315765785967,phase
2,"[[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 7.71604938e-06 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 7.71604938e-06
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  7.71604938e-06 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 7.71604938e-06]]",176.66805645445413,1943.3486209989956,883.3402822722707,AI,"[0.001, 0.001, 0.001, 0.001, 0.001, 0.001]",0.1,0.01,200000.0,47.72442468791052,Zilany2014,Zilany2014,40.0,51.0,40.0,[157.28034327  85.28443128 194.95236243 115.09197992 141.40818111],0.000993762217932297,phase
3,"[[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 7.71604938e-06 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 7.71604938e-06
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  7.71604938e-06 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 7.71604938e-06]]",195.25021006277245,2147.752310690497,976.2510503138623,AI,"[0.001, 0.001, 0.001, 0.001, 0.001, 0.001]",0.1,0.01,200000.0,27.929405972484574,Zilany2014,Zilany2014,40.0,51.0,20.0,[207.58221001 319.26726215 356.25179342 156.49768441 258.15709513],0.0016083356659376117,phase
4,"[[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 7.71604938e-06 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 7.71604938e-06
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  7.71604938e-06 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 7.71604938e-06]]",195.25021006277245,2147.752310690497,976.2510503138623,AI,"[0.001, 0.001, 0.001, 0.001, 0.001, 0.001]",0.1,0.01,200000.0,37.929405972484574,Zilany2014,Zilany2014,40.0,51.0,30.0,[298.32443217 212.36211718 199.3937985  183.68448207  89.99084761],0.00124399753944703,phase
5,"[[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 7.71604938e-06 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 7.71604938e-06
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  7.71604938e-06 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 7.71604938e-06]]",195.25021006277245,2147.752310690497,976.2510503138623,AI,"[0.001, 0.001, 0.001, 0.001, 0.001, 0.001]",0.1,0.01,200000.0,47.929405972484574,Zilany2014,Zilany2014,40.0,51.0,40.0,[324.79637231 126.11157885 323.88028215 118.67688837 249.63332749],0.0010532425500655378,phase
6,"[[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 7.71604938e-06 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 7.71604938e-06
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  7.71604938e-06 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 7.71604938e-06]]",215.78685640539103,2373.6554204593012,1078.934282026955,AI,"[0.001, 0.001, 0.001, 0.001, 0.001, 0.001]",0.1,0.01,200000.0,28.846680961006932,Zilany2014,Zilany2014,40.0,51.0,20.0,[ 95.45504755 112.6246415  195.20512349 344.67863764 119.25562059],0.0017292051647493346,phase
7,"[[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 7.71604938e-06 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 7.71604938e-06
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  7.71604938e-06 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 7.71604938e-06]]",215.78685640539103,2373.6554204593012,1078.934282026955,AI,"[0.001, 0.001, 0.001, 0.001, 0.001, 0.001]",0.1,0.01,200000.0,38.84668096100693,Zilany2014,Zilany2014,40.0,51.0,30.0,[116.22439775 258.85748516  49.44703303   2.42000192  95.11036974],0.0013356781125545352,phase
8,"[[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 7.71604938e-06 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 7.71604938e-06
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  7.71604938e-06 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 7.71604938e-06]]",215.78685640539103,2373.6554204593012,1078.934282026955,AI,"[0.001, 0.001, 0.001, 0.001, 0.001, 0.001]",0.1,0.01,200000.0,48.84668096100693,Zilany2014,Zilany2014,40.0,51.0,40.0,[195.79829436 325.12256716  16.544633   111.39373526 116.99275199],0.0011464492085180766,phase
9,"[[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 7.71604938e-06 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 7.71604938e-06
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  7.71604938e-06 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 7.71604938e-06]]",238.48357132292253,2623.319284552148,1192.4178566146127,AI,"[0.001, 0.001, 0.001, 0.001, 0.001, 0.001]",0.1,0.01,200000.0,30.256471991629873,Zilany2014,Zilany2014,40.0,51.0,20.0,[222.65799502 203.65069331 326.88436046  35.06396278  25.65726982],0.0018381487155704418,phase
