,API,F0,cf_high,cf_low,comps,decoding_type,delta_theta,dur,dur_ramp,fs,harmonicity,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,result,roving_type
0,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,[ 6.4  7.4  8.4  9.4 10.4],AI,[0.001],0.1,0.01,200000.0,0.4,47.72442468791052,Zilany2014,Zilany2014,40.0,51.0,40.0,0.0005809936449508445,none
1,[0.],195.25021006277245,2147.752310690497,976.2510503138623,[ 6.4  7.4  8.4  9.4 10.4],AI,[0.001],0.1,0.01,200000.0,0.4,47.929405972484574,Zilany2014,Zilany2014,40.0,51.0,40.0,0.000652064207281784,none
2,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,[ 6.4  7.4  8.4  9.4 10.4],AI,[0.001],0.1,0.01,200000.0,0.4,48.84668096100693,Zilany2014,Zilany2014,40.0,51.0,40.0,0.0006922734493751839,none
3,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,[ 6.4  7.4  8.4  9.4 10.4],AI,[0.001],0.1,0.01,200000.0,0.4,50.25647199162987,Zilany2014,Zilany2014,40.0,51.0,40.0,0.0007632961735766228,none
4,[0.],263.567553364268,2899.243087006948,1317.83776682134,[ 6.4  7.4  8.4  9.4 10.4],AI,[0.001],0.1,0.01,200000.0,0.4,51.11795854297132,Zilany2014,Zilany2014,40.0,51.0,40.0,0.0008893238367873342,none
5,[0.],291.2898980884604,3204.1888789730647,1456.449490442302,[ 6.4  7.4  8.4  9.4 10.4],AI,[0.001],0.1,0.01,200000.0,0.4,50.99877222435953,Zilany2014,Zilany2014,40.0,51.0,40.0,0.001055181780770949,none
6,[0.],321.9281115802507,3541.2092273827575,1609.6405579012535,[ 6.4  7.4  8.4  9.4 10.4],AI,[0.001],0.1,0.01,200000.0,0.4,50.08353226943191,Zilany2014,Zilany2014,40.0,51.0,40.0,0.0012992554760431984,none
7,[0.],355.78888834020944,3913.677771742304,1778.9444417010473,[ 6.4  7.4  8.4  9.4 10.4],AI,[0.001],0.1,0.01,200000.0,0.4,48.70087320773526,Zilany2014,Zilany2014,40.0,51.0,40.0,0.0016900664514640118,none
8,[0.],393.21118135657645,4325.3229949223405,1966.0559067828822,[ 6.4  7.4  8.4  9.4 10.4],AI,[0.001],0.1,0.01,200000.0,0.4,47.243707257190316,Zilany2014,Zilany2014,40.0,51.0,40.0,0.0022678977526405047,none
9,[0.],434.56959509086647,4780.265545999531,2172.8479754543323,[ 6.4  7.4  8.4  9.4 10.4],AI,[0.001],0.1,0.01,200000.0,0.4,45.82534660999041,Zilany2014,Zilany2014,40.0,51.0,40.0,0.003296969961857378,none
10,[0.],480.27813534169,5283.05948875859,2401.39067670845,[ 6.4  7.4  8.4  9.4 10.4],AI,[0.001],0.1,0.01,200000.0,0.4,44.39657955119893,Zilany2014,Zilany2014,40.0,51.0,40.0,0.005035679113371221,none
11,[0.],530.7943535236503,5838.7378887601535,2653.9717676182518,[ 6.4  7.4  8.4  9.4 10.4],AI,[0.001],0.1,0.01,200000.0,0.4,42.96831848683961,Zilany2014,Zilany2014,40.0,51.0,40.0,0.007399688220189012,none
12,[0.],586.6239268463596,6452.863195309956,2933.119634231798,[ 6.4  7.4  8.4  9.4 10.4],AI,[0.001],0.1,0.01,200000.0,0.4,41.60399309617546,Zilany2014,Zilany2014,40.0,51.0,40.0,0.010361491427021119,none
13,[0.],648.3257202420679,7131.582922662747,3241.628601210339,[ 6.4  7.4  8.4  9.4 10.4],AI,[0.001],0.1,0.01,200000.0,0.4,40.50614153400249,Zilany2014,Zilany2014,40.0,51.0,40.0,0.014124308167245452,none
14,[0.],716.5173807127743,7881.691187840517,3582.5869035638716,[ 6.4  7.4  8.4  9.4 10.4],AI,[0.001],0.1,0.01,200000.0,0.4,39.87458796405344,Zilany2014,Zilany2014,40.0,51.0,40.0,0.01879829867251774,none
15,[0.],791.8815200973457,8710.696721070803,3959.407600486729,[ 6.4  7.4  8.4  9.4 10.4],AI,[0.001],0.1,0.01,200000.0,0.4,39.63635223683202,Zilany2014,Zilany2014,40.0,51.0,40.0,0.023293740464770694,none
16,[0.],875.17254814933,9626.89802964263,4375.86274074665,[ 6.4  7.4  8.4  9.4 10.4],AI,[0.001],0.1,0.01,200000.0,0.4,39.7611214338582,Zilany2014,Zilany2014,40.0,51.0,40.0,0.026009939035710618,none
17,[0.],967.2242243259274,10639.466467585202,4836.121121629637,[ 6.4  7.4  8.4  9.4 10.4],AI,[0.001],0.1,0.01,200000.0,0.4,40.69583774187444,Zilany2014,Zilany2014,40.0,51.0,40.0,0.03049737029983929,none
18,[0.],1068.9580038829843,11758.538042712828,5344.7900194149215,[ 6.4  7.4  8.4  9.4 10.4],AI,[0.001],0.1,0.01,200000.0,0.4,42.67751829487255,Zilany2014,Zilany2014,40.0,51.0,40.0,0.03750478023796535,none
19,[0.],1181.3922618220581,12995.314880042639,5906.961309110291,[ 6.4  7.4  8.4  9.4 10.4],AI,[0.001],0.1,0.01,200000.0,0.4,44.97720817264995,Zilany2014,Zilany2014,40.0,51.0,40.0,0.04155711576801075,none
20,[0.],1305.6524870230744,14362.177357253819,6528.262435115372,[ 6.4  7.4  8.4  9.4 10.4],AI,[0.001],0.1,0.01,200000.0,0.4,46.99566586349379,Zilany2014,Zilany2014,40.0,51.0,40.0,0.04335693587082422,none
21,[0.],1442.9825486078093,15872.808034685902,7214.912743039047,[ 6.4  7.4  8.4  9.4 10.4],AI,[0.001],0.1,0.01,200000.0,0.4,48.865164487789535,Zilany2014,Zilany2014,40.0,51.0,40.0,0.04777161344974047,none
22,[0.],1594.7571473127314,17542.328620440047,7973.785736563657,[ 6.4  7.4  8.4  9.4 10.4],AI,[0.001],0.1,0.01,200000.0,0.4,50.73619056988742,Zilany2014,Zilany2014,40.0,51.0,40.0,0.05001468385103728,none
23,[0.],1762.495576511835,19387.451341630185,8812.477882559175,[ 6.4  7.4  8.4  9.4 10.4],AI,[0.001],0.1,0.01,200000.0,0.4,52.594091411120644,Zilany2014,Zilany2014,40.0,51.0,40.0,0.05422176391463457,none
