,API,F0,cf_high,cf_low,comps,decoding_type,delta_theta,dur,dur_ramp,fs,fs_synapse,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,parity,result,roving_type
0,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,[7 9],AI,[0.001],0.1,0.01,200000.0,50000.0,27.72442468791052,Zilany2014,Zilany2014,40.0,51.0,20.0,odd,0.0010959808707670577,none
1,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,[7 9],AI,[0.001],0.1,0.01,200000.0,50000.0,47.72442468791052,Zilany2014,Zilany2014,40.0,51.0,40.0,odd,0.0006601756186267082,none
2,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,[7 9],AI,[0.001],0.1,0.01,200000.0,50000.0,67.72442468791051,Zilany2014,Zilany2014,40.0,51.0,60.0,odd,0.0005419889260463737,none
3,[0.],195.25021006277245,2147.752310690497,976.2510503138623,[7 9],AI,[0.001],0.1,0.01,200000.0,50000.0,27.929405972484574,Zilany2014,Zilany2014,40.0,51.0,20.0,odd,0.00116393192750215,none
4,[0.],195.25021006277245,2147.752310690497,976.2510503138623,[7 9],AI,[0.001],0.1,0.01,200000.0,50000.0,47.929405972484574,Zilany2014,Zilany2014,40.0,51.0,40.0,odd,0.0006952646103483079,none
5,[0.],195.25021006277245,2147.752310690497,976.2510503138623,[7 9],AI,[0.001],0.1,0.01,200000.0,50000.0,67.92940597248457,Zilany2014,Zilany2014,40.0,51.0,60.0,odd,0.0005736372782705083,none
6,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,[7 9],AI,[0.001],0.1,0.01,200000.0,50000.0,28.846680961006932,Zilany2014,Zilany2014,40.0,51.0,20.0,odd,0.0012273726610537924,none
7,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,[7 9],AI,[0.001],0.1,0.01,200000.0,50000.0,48.84668096100693,Zilany2014,Zilany2014,40.0,51.0,40.0,odd,0.0007672436334324089,none
8,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,[7 9],AI,[0.001],0.1,0.01,200000.0,50000.0,68.84668096100694,Zilany2014,Zilany2014,40.0,51.0,60.0,odd,0.0006218683830983207,none
9,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,[7 9],AI,[0.001],0.1,0.01,200000.0,50000.0,30.256471991629873,Zilany2014,Zilany2014,40.0,51.0,20.0,odd,0.001300877251504032,none
