,API,F0,cf_high,cf_low,decoding_type,delta_theta,dur,dur_ramp,fs,h_low,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,result,roving_type
0,[[0.]],280.0000000000001,1960.000000000001,280.0000000000001,AI,[0.001],0.1,0.01,500000.0,2.0,45.25088514701544,Heinz2001,Heinz2001,40.0,51.0,30.0,0.003435053639548208,none
1,[[0.]],280.0000000000001,3080.0000000000014,1400.0000000000005,AI,[0.001],0.1,0.01,500000.0,6.0,45.25088514701544,Heinz2001,Heinz2001,40.0,51.0,30.0,0.002074032340089335,none
2,[[0.]],280.0000000000001,4200.000000000002,2520.000000000001,AI,[0.001],0.1,0.01,500000.0,10.0,45.25088514701544,Heinz2001,Heinz2001,40.0,51.0,30.0,0.0025041356747644425,none
3,[[0.]],478.7932650694752,3351.5528554863263,478.7932650694752,AI,[0.001],0.1,0.01,500000.0,2.0,47.52235872728501,Heinz2001,Heinz2001,40.0,51.0,30.0,0.004615267428132592,none
4,[[0.]],478.7932650694752,5266.7259157642275,2393.966325347376,AI,[0.001],0.1,0.01,500000.0,6.0,47.52235872728501,Heinz2001,Heinz2001,40.0,51.0,30.0,0.004940594309566356,none
5,[[0.]],478.7932650694752,7181.898976042128,4309.139385625276,AI,[0.001],0.1,0.01,500000.0,10.0,47.52235872728501,Heinz2001,Heinz2001,40.0,51.0,30.0,0.012107722100568529,none
6,[[0.]],818.7249666996031,5731.074766897222,818.7249666996031,AI,[0.001],0.1,0.01,500000.0,2.0,47.92540476456307,Heinz2001,Heinz2001,40.0,51.0,30.0,0.008690030245220927,none
7,[[0.]],818.7249666996031,9005.974633695634,4093.6248334980155,AI,[0.001],0.1,0.01,500000.0,6.0,47.92540476456307,Heinz2001,Heinz2001,40.0,51.0,30.0,0.024846102572427534,none
8,[[0.]],818.7249666996031,12280.874500494047,7368.524700296428,AI,[0.001],0.1,0.01,500000.0,10.0,47.92540476456307,Heinz2001,Heinz2001,40.0,51.0,30.0,0.04974542369408585,none
9,[[0.]],1400.0000000000005,9800.000000000004,1400.0000000000005,AI,[0.001],0.1,0.01,500000.0,2.0,47.935819526844284,Heinz2001,Heinz2001,40.0,51.0,30.0,0.021086433886862432,none
10,[[0.]],1400.0000000000005,15400.000000000005,7000.000000000002,AI,[0.001],0.1,0.01,500000.0,6.0,47.935819526844284,Heinz2001,Heinz2001,40.0,51.0,30.0,0.11939850599510017,none
11,[[0.]],1400.0000000000005,21000.000000000007,12600.000000000004,AI,[0.001],0.1,0.01,500000.0,10.0,47.935819526844284,Heinz2001,Heinz2001,40.0,51.0,30.0,0.0316441194723544,none
