,API,F0,cf_high,cf_low,decoding_type,delta_theta,dur,dur_ramp,fs,h_low,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,result,roving_type
0,[[0.]],280.0000000000001,1960.000000000001,280.0000000000001,RP,[0.001],0.1,0.01,500000.0,2.0,45.25088514701544,Heinz2001,Heinz2001,40.0,51.0,30.0,0.7488601133256909,none
1,[[0.]],280.0000000000001,3080.0000000000014,1400.0000000000005,RP,[0.001],0.1,0.01,500000.0,6.0,45.25088514701544,Heinz2001,Heinz2001,40.0,51.0,30.0,0.6520857917688665,none
2,[[0.]],280.0000000000001,4200.000000000002,2520.000000000001,RP,[0.001],0.1,0.01,500000.0,10.0,45.25088514701544,Heinz2001,Heinz2001,40.0,51.0,30.0,1.1383964760590004,none
3,[[0.]],478.7932650694752,3351.5528554863263,478.7932650694752,RP,[0.001],0.1,0.01,500000.0,2.0,47.52235872728501,Heinz2001,Heinz2001,40.0,51.0,30.0,1.1641775034364201,none
4,[[0.]],478.7932650694752,5266.7259157642275,2393.966325347376,RP,[0.001],0.1,0.01,500000.0,6.0,47.52235872728501,Heinz2001,Heinz2001,40.0,51.0,30.0,1.0256652005167546,none
5,[[0.]],478.7932650694752,7181.898976042128,4309.139385625276,RP,[0.001],0.1,0.01,500000.0,10.0,47.52235872728501,Heinz2001,Heinz2001,40.0,51.0,30.0,2.227258930402963,none
6,[[0.]],818.7249666996031,5731.074766897222,818.7249666996031,RP,[0.001],0.1,0.01,500000.0,2.0,47.92540476456307,Heinz2001,Heinz2001,40.0,51.0,30.0,1.7731424199188117,none
7,[[0.]],818.7249666996031,9005.974633695634,4093.6248334980155,RP,[0.001],0.1,0.01,500000.0,6.0,47.92540476456307,Heinz2001,Heinz2001,40.0,51.0,30.0,1.6752738665322422,none
8,[[0.]],818.7249666996031,12280.874500494047,7368.524700296428,RP,[0.001],0.1,0.01,500000.0,10.0,47.92540476456307,Heinz2001,Heinz2001,40.0,51.0,30.0,3.770837831725872,none
9,[[0.]],1400.0000000000005,9800.000000000004,1400.0000000000005,RP,[0.001],0.1,0.01,500000.0,2.0,47.935819526844284,Heinz2001,Heinz2001,40.0,51.0,30.0,2.7567021974891723,none
10,[[0.]],1400.0000000000005,15400.000000000005,7000.000000000002,RP,[0.001],0.1,0.01,500000.0,6.0,47.935819526844284,Heinz2001,Heinz2001,40.0,51.0,30.0,2.9604958293652865,none
11,[[0.]],1400.0000000000005,21000.000000000007,12600.000000000004,RP,[0.001],0.1,0.01,500000.0,10.0,47.935819526844284,Heinz2001,Heinz2001,40.0,51.0,30.0,5.799494926622662,none
