,API,F0,cf_high,cf_low,decoding_type,delta_theta,dur,dur_ramp,fs,h_low,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,phase,result,roving_type
0,"[[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 7.71604938e-06 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 7.71604938e-06
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  7.71604938e-06 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 7.71604938e-06]]",280.0000000000001,1960.000000000001,280.0000000000001,AI,"[0.001, 0.001, 0.001, 0.001, 0.001, 0.001]",0.1,0.01,200000.0,2.0,41.153102312178724,Zilany2014,Zilany2014,40.0,51.0,30.0,[358.60567344 318.36116886  19.46263095 265.41322357  15.02667842],0.0027336809012116136,phase
1,"[[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 7.71604938e-06 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 7.71604938e-06
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  7.71604938e-06 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 7.71604938e-06]]",280.0000000000001,3080.0000000000014,1400.0000000000005,AI,"[0.001, 0.001, 0.001, 0.001, 0.001, 0.001]",0.1,0.01,200000.0,6.0,41.153102312178724,Zilany2014,Zilany2014,40.0,51.0,30.0,[323.61015    183.90435769  91.27240924  13.443541   342.23339385],0.00185877327512871,phase
2,"[[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 7.71604938e-06 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 7.71604938e-06
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  7.71604938e-06 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 7.71604938e-06]]",280.0000000000001,4200.000000000002,2520.000000000001,AI,"[0.001, 0.001, 0.001, 0.001, 0.001, 0.001]",0.1,0.01,200000.0,10.0,41.153102312178724,Zilany2014,Zilany2014,40.0,51.0,30.0,[190.25478024 332.3238479   91.07976894 330.95134938 354.14723965],0.003964582117148483,phase
3,"[[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 7.71604938e-06 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 7.71604938e-06
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  7.71604938e-06 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 7.71604938e-06]]",478.7932650694752,3351.5528554863263,478.7932650694752,AI,"[0.001, 0.001, 0.001, 0.001, 0.001, 0.001]",0.1,0.01,200000.0,2.0,34.441019306147396,Zilany2014,Zilany2014,40.0,51.0,30.0,[ 87.73182851 153.77276668 240.1202276  213.18068123  10.20740673],0.005184749401817287,phase
4,"[[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 7.71604938e-06 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 7.71604938e-06
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  7.71604938e-06 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 7.71604938e-06]]",478.7932650694752,5266.7259157642275,2393.966325347376,AI,"[0.001, 0.001, 0.001, 0.001, 0.001, 0.001]",0.1,0.01,200000.0,6.0,34.441019306147396,Zilany2014,Zilany2014,40.0,51.0,30.0,[243.17173635  69.22751247 201.80194296  12.45324898 177.89419986],0.00857802425276313,phase
5,"[[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 7.71604938e-06 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 7.71604938e-06
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  7.71604938e-06 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 7.71604938e-06]]",478.7932650694752,7181.898976042128,4309.139385625276,AI,"[0.001, 0.001, 0.001, 0.001, 0.001, 0.001]",0.1,0.01,200000.0,10.0,34.441019306147396,Zilany2014,Zilany2014,40.0,51.0,30.0,[ 22.56829867 155.41442521 169.53126622 216.15987242 288.71848433],0.018311090346650977,phase
6,"[[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 7.71604938e-06 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 7.71604938e-06
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  7.71604938e-06 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 7.71604938e-06]]",818.7249666996031,5731.074766897222,818.7249666996031,AI,"[0.001, 0.001, 0.001, 0.001, 0.001, 0.001]",0.1,0.01,200000.0,2.0,29.622536734377835,Zilany2014,Zilany2014,40.0,51.0,30.0,[275.89439972 183.94918539 320.91443068  80.52232276 273.7763297 ],0.013435013514711519,phase
7,"[[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 7.71604938e-06 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 7.71604938e-06
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  7.71604938e-06 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 7.71604938e-06]]",818.7249666996031,9005.974633695634,4093.6248334980155,AI,"[0.001, 0.001, 0.001, 0.001, 0.001, 0.001]",0.1,0.01,200000.0,6.0,29.622536734377835,Zilany2014,Zilany2014,40.0,51.0,30.0,[171.90264886 319.4834714   89.37505705  35.5815406  177.21542217],0.027595239146143886,phase
8,"[[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 7.71604938e-06 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 7.71604938e-06
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  7.71604938e-06 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 7.71604938e-06]]",818.7249666996031,12280.874500494047,7368.524700296428,AI,"[0.001, 0.001, 0.001, 0.001, 0.001, 0.001]",0.1,0.01,200000.0,10.0,29.622536734377835,Zilany2014,Zilany2014,40.0,51.0,30.0,[119.03863489 211.00416612  18.15263087 236.9697945  177.63191231],0.025322358120369797,phase
9,"[[0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 7.71604938e-06 0.00000000e+00 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 7.71604938e-06 0.00000000e+00
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 7.71604938e-06
  0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  7.71604938e-06 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
  0.00000000e+00 7.71604938e-06]]",1400.0000000000005,9800.000000000004,1400.0000000000005,AI,"[0.001, 0.001, 0.001, 0.001, 0.001, 0.001]",0.1,0.01,200000.0,2.0,38.3018078782174,Zilany2014,Zilany2014,40.0,51.0,30.0,[347.07684902 111.22240281  80.21465045 155.2459133  123.75861493],0.0322582154129385,phase
