,API,F0,cf_high,cf_low,code,decoding_type,delta_theta,dur,dur_ramp,fs,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,result,roving_type
0,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,exp1a,AI,[0.001],0.1,0.01,200000.0,27.72442468791052,Zilany2014,Zilany2014,40.0,51.0,20.0,0.0008106739300500537,none
1,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,exp1a,AI,[0.001],0.1,0.01,200000.0,37.72442468791052,Zilany2014,Zilany2014,40.0,51.0,30.0,0.0006877364630868537,none
2,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,exp1a,AI,[0.001],0.1,0.01,200000.0,47.72442468791052,Zilany2014,Zilany2014,40.0,51.0,40.0,0.000595237121815331,none
3,[0.],195.25021006277245,2147.752310690497,976.2510503138623,exp1a,AI,[0.001],0.1,0.01,200000.0,27.929405972484574,Zilany2014,Zilany2014,40.0,51.0,20.0,0.0008774028188009806,none
4,[0.],195.25021006277245,2147.752310690497,976.2510503138623,exp1a,AI,[0.001],0.1,0.01,200000.0,37.929405972484574,Zilany2014,Zilany2014,40.0,51.0,30.0,0.0007060749751618336,none
5,[0.],195.25021006277245,2147.752310690497,976.2510503138623,exp1a,AI,[0.001],0.1,0.01,200000.0,47.929405972484574,Zilany2014,Zilany2014,40.0,51.0,40.0,0.0006354524575803602,none
6,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,exp1a,AI,[0.001],0.1,0.01,200000.0,28.846680961006932,Zilany2014,Zilany2014,40.0,51.0,20.0,0.000912310046550573,none
7,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,exp1a,AI,[0.001],0.1,0.01,200000.0,38.84668096100693,Zilany2014,Zilany2014,40.0,51.0,30.0,0.0007648892539843762,none
8,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,exp1a,AI,[0.001],0.1,0.01,200000.0,48.84668096100693,Zilany2014,Zilany2014,40.0,51.0,40.0,0.0006611716473586825,none
9,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,exp1a,AI,[0.001],0.1,0.01,200000.0,30.256471991629873,Zilany2014,Zilany2014,40.0,51.0,20.0,0.0009736797492907846,none
10,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,exp1a,AI,[0.001],0.1,0.01,200000.0,40.25647199162987,Zilany2014,Zilany2014,40.0,51.0,30.0,0.0008227648036744459,none
11,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,exp1a,AI,[0.001],0.1,0.01,200000.0,50.25647199162987,Zilany2014,Zilany2014,40.0,51.0,40.0,0.0007466168359798653,none
12,[0.],263.567553364268,2899.243087006948,1317.83776682134,exp1a,AI,[0.001],0.1,0.01,200000.0,31.117958542971323,Zilany2014,Zilany2014,40.0,51.0,20.0,0.0010407319307391316,none
13,[0.],263.567553364268,2899.243087006948,1317.83776682134,exp1a,AI,[0.001],0.1,0.01,200000.0,41.11795854297132,Zilany2014,Zilany2014,40.0,51.0,30.0,0.0009015716790264306,none
14,[0.],263.567553364268,2899.243087006948,1317.83776682134,exp1a,AI,[0.001],0.1,0.01,200000.0,51.11795854297132,Zilany2014,Zilany2014,40.0,51.0,40.0,0.0008382046057315083,none
15,[0.],291.2898980884604,3204.1888789730647,1456.449490442302,exp1a,AI,[0.001],0.1,0.01,200000.0,30.998772224359527,Zilany2014,Zilany2014,40.0,51.0,20.0,0.001205871872200131,none
16,[0.],291.2898980884604,3204.1888789730647,1456.449490442302,exp1a,AI,[0.001],0.1,0.01,200000.0,40.99877222435953,Zilany2014,Zilany2014,40.0,51.0,30.0,0.0010743203386231256,none
17,[0.],291.2898980884604,3204.1888789730647,1456.449490442302,exp1a,AI,[0.001],0.1,0.01,200000.0,50.99877222435953,Zilany2014,Zilany2014,40.0,51.0,40.0,0.0010158293613590729,none
