,API,F0,cf_high,cf_low,code,decoding_type,delta_theta,dur,dur_ramp,fs,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,result,roving_type
0,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,exp1b,AI,[0.001],0.1,0.01,200000.0,27.72442468791052,Zilany2014,Zilany2014,40.0,51.0,20.0,0.0008063422178465369,none
1,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,exp1b,AI,[0.001],0.1,0.01,200000.0,37.72442468791052,Zilany2014,Zilany2014,40.0,51.0,30.0,0.0006621259968529726,none
2,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,exp1b,AI,[0.001],0.1,0.01,200000.0,47.72442468791052,Zilany2014,Zilany2014,40.0,51.0,40.0,0.0005717715284694584,none
3,[0.],195.25021006277245,2147.752310690497,976.2510503138623,exp1b,AI,[0.001],0.1,0.01,200000.0,27.929405972484574,Zilany2014,Zilany2014,40.0,51.0,20.0,0.0008840591220910636,none
4,[0.],195.25021006277245,2147.752310690497,976.2510503138623,exp1b,AI,[0.001],0.1,0.01,200000.0,37.929405972484574,Zilany2014,Zilany2014,40.0,51.0,30.0,0.000706082861326807,none
5,[0.],195.25021006277245,2147.752310690497,976.2510503138623,exp1b,AI,[0.001],0.1,0.01,200000.0,47.929405972484574,Zilany2014,Zilany2014,40.0,51.0,40.0,0.0006257813978325348,none
6,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,exp1b,AI,[0.001],0.1,0.01,200000.0,28.846680961006932,Zilany2014,Zilany2014,40.0,51.0,20.0,0.0009294302568357384,none
7,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,exp1b,AI,[0.001],0.1,0.01,200000.0,38.84668096100693,Zilany2014,Zilany2014,40.0,51.0,30.0,0.0007608505296184022,none
8,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,exp1b,AI,[0.001],0.1,0.01,200000.0,48.84668096100693,Zilany2014,Zilany2014,40.0,51.0,40.0,0.000664201345803201,none
9,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,exp1b,AI,[0.001],0.1,0.01,200000.0,30.256471991629873,Zilany2014,Zilany2014,40.0,51.0,20.0,0.0009688093402329087,none
10,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,exp1b,AI,[0.001],0.1,0.01,200000.0,40.25647199162987,Zilany2014,Zilany2014,40.0,51.0,30.0,0.0008193490640144564,none
11,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,exp1b,AI,[0.001],0.1,0.01,200000.0,50.25647199162987,Zilany2014,Zilany2014,40.0,51.0,40.0,0.0007467763715051209,none
