,API,F0,cf_high,cf_low,code,decoding_type,delta_theta,dur,dur_ramp,fs,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,result,roving_type
0,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,exp1a,RP,[0.001],0.1,0.01,200000.0,27.72442468791052,Zilany2014,Zilany2014,40.0,51.0,20.0,0.17633059107301205,none
1,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,exp1a,RP,[0.001],0.1,0.01,200000.0,37.72442468791052,Zilany2014,Zilany2014,40.0,51.0,30.0,0.1724858092877648,none
2,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,exp1a,RP,[0.001],0.1,0.01,200000.0,47.72442468791052,Zilany2014,Zilany2014,40.0,51.0,40.0,0.14438520380669953,none
3,[0.],195.25021006277245,2147.752310690497,976.2510503138623,exp1a,RP,[0.001],0.1,0.01,200000.0,27.929405972484574,Zilany2014,Zilany2014,40.0,51.0,20.0,0.23173239165184167,none
4,[0.],195.25021006277245,2147.752310690497,976.2510503138623,exp1a,RP,[0.001],0.1,0.01,200000.0,37.929405972484574,Zilany2014,Zilany2014,40.0,51.0,30.0,0.27013179152240047,none
5,[0.],195.25021006277245,2147.752310690497,976.2510503138623,exp1a,RP,[0.001],0.1,0.01,200000.0,47.929405972484574,Zilany2014,Zilany2014,40.0,51.0,40.0,0.3566951343769571,none
6,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,exp1a,RP,[0.001],0.1,0.01,200000.0,28.846680961006932,Zilany2014,Zilany2014,40.0,51.0,20.0,0.25640760370840526,none
7,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,exp1a,RP,[0.001],0.1,0.01,200000.0,38.84668096100693,Zilany2014,Zilany2014,40.0,51.0,30.0,0.32562235222951846,none
8,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,exp1a,RP,[0.001],0.1,0.01,200000.0,48.84668096100693,Zilany2014,Zilany2014,40.0,51.0,40.0,0.41118563984603,none
9,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,exp1a,RP,[0.001],0.1,0.01,200000.0,30.256471991629873,Zilany2014,Zilany2014,40.0,51.0,20.0,0.27163492456341837,none
10,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,exp1a,RP,[0.001],0.1,0.01,200000.0,40.25647199162987,Zilany2014,Zilany2014,40.0,51.0,30.0,0.3418504032470418,none
11,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,exp1a,RP,[0.001],0.1,0.01,200000.0,50.25647199162987,Zilany2014,Zilany2014,40.0,51.0,40.0,0.5194555219940997,none
