,API,F0,cf_high,cf_low,code,decoding_type,delta_theta,dur,dur_ramp,fs,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,result,roving_type
0,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,exp1b,RP,[0.001],0.1,0.01,200000.0,27.72442468791052,Zilany2014,Zilany2014,40.0,51.0,20.0,0.19554376568980075,none
1,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,exp1b,RP,[0.001],0.1,0.01,200000.0,37.72442468791052,Zilany2014,Zilany2014,40.0,51.0,30.0,0.19096654387609166,none
2,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,exp1b,RP,[0.001],0.1,0.01,200000.0,47.72442468791052,Zilany2014,Zilany2014,40.0,51.0,40.0,0.1574794754981083,none
3,[0.],195.25021006277245,2147.752310690497,976.2510503138623,exp1b,RP,[0.001],0.1,0.01,200000.0,27.929405972484574,Zilany2014,Zilany2014,40.0,51.0,20.0,0.23173947338855017,none
4,[0.],195.25021006277245,2147.752310690497,976.2510503138623,exp1b,RP,[0.001],0.1,0.01,200000.0,37.929405972484574,Zilany2014,Zilany2014,40.0,51.0,30.0,0.2719208488230284,none
5,[0.],195.25021006277245,2147.752310690497,976.2510503138623,exp1b,RP,[0.001],0.1,0.01,200000.0,47.929405972484574,Zilany2014,Zilany2014,40.0,51.0,40.0,0.2694003741667626,none
6,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,exp1b,RP,[0.001],0.1,0.01,200000.0,28.846680961006932,Zilany2014,Zilany2014,40.0,51.0,20.0,0.25419561810999336,none
7,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,exp1b,RP,[0.001],0.1,0.01,200000.0,38.84668096100693,Zilany2014,Zilany2014,40.0,51.0,30.0,0.29654584506042997,none
8,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,exp1b,RP,[0.001],0.1,0.01,200000.0,48.84668096100693,Zilany2014,Zilany2014,40.0,51.0,40.0,0.3569716073991268,none
9,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,exp1b,RP,[0.001],0.1,0.01,200000.0,30.256471991629873,Zilany2014,Zilany2014,40.0,51.0,20.0,0.27834689643885846,none
10,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,exp1b,RP,[0.001],0.1,0.01,200000.0,40.25647199162987,Zilany2014,Zilany2014,40.0,51.0,30.0,0.35115805079793727,none
11,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,exp1b,RP,[0.001],0.1,0.01,200000.0,50.25647199162987,Zilany2014,Zilany2014,40.0,51.0,40.0,0.4541898549063561,none
12,[0.],263.567553364268,2899.243087006948,1317.83776682134,exp1b,RP,[0.001],0.1,0.01,200000.0,31.117958542971323,Zilany2014,Zilany2014,40.0,51.0,20.0,0.2780382074766427,none
