,API,cf_high,cf_low,decoding_type,delta_theta,dur,dur_ramp,freq,fs,fs_synapse,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,result,roving_type
0,[0.],2120.0166774534496,848.0066709813798,AI,[0.001],0.1,0.01,1413.344451635633,500000.0,250000.0,47.72442468791052,Zilany2014,Zilany2014,40.0,72.0,40.0,0.005824665575718641,none
1,[0.],2120.0166774534496,848.0066709813798,AI,[0.001],0.1,0.01,1413.344451635633,500000.0,250000.0,57.72442468791052,Zilany2014,Zilany2014,40.0,72.0,50.0,0.004738090541759419,none
2,[0.],2120.0166774534496,848.0066709813798,AI,[0.001],0.1,0.01,1413.344451635633,500000.0,250000.0,67.72442468791051,Zilany2014,Zilany2014,40.0,72.0,60.0,0.004081145469596228,none
3,[0.],2120.0166774534496,848.0066709813798,AI,[0.001],0.1,0.01,1413.344451635633,500000.0,250000.0,77.72442468791051,Zilany2014,Zilany2014,40.0,72.0,70.0,0.0036326970599657297,none
4,[0.],2120.0166774534496,848.0066709813798,AI,[0.001],0.1,0.01,1413.344451635633,500000.0,250000.0,87.72442468791051,Zilany2014,Zilany2014,40.0,72.0,80.0,0.003404030048215289,none
5,[0.],2343.0025207532694,937.2010083013078,AI,[0.001],0.1,0.01,1562.0016805021796,500000.0,250000.0,47.929405972484574,Zilany2014,Zilany2014,40.0,72.0,40.0,0.0062496953514860065,none
6,[0.],2343.0025207532694,937.2010083013078,AI,[0.001],0.1,0.01,1562.0016805021796,500000.0,250000.0,57.929405972484574,Zilany2014,Zilany2014,40.0,72.0,50.0,0.005048024449468913,none
7,[0.],2343.0025207532694,937.2010083013078,AI,[0.001],0.1,0.01,1562.0016805021796,500000.0,250000.0,67.92940597248457,Zilany2014,Zilany2014,40.0,72.0,60.0,0.004372920342900319,none
8,[0.],2343.0025207532694,937.2010083013078,AI,[0.001],0.1,0.01,1562.0016805021796,500000.0,250000.0,77.92940597248457,Zilany2014,Zilany2014,40.0,72.0,70.0,0.0039429449800448295,none
9,[0.],2343.0025207532694,937.2010083013078,AI,[0.001],0.1,0.01,1562.0016805021796,500000.0,250000.0,87.92940597248457,Zilany2014,Zilany2014,40.0,72.0,80.0,0.0036816146056806148,none
10,[0.],2589.4422768646923,1035.7769107458769,AI,[0.001],0.1,0.01,1726.2948512431283,500000.0,250000.0,48.84668096100693,Zilany2014,Zilany2014,40.0,72.0,40.0,0.006531991958610162,none
11,[0.],2589.4422768646923,1035.7769107458769,AI,[0.001],0.1,0.01,1726.2948512431283,500000.0,250000.0,58.84668096100693,Zilany2014,Zilany2014,40.0,72.0,50.0,0.0053618242753208,none
12,[0.],2589.4422768646923,1035.7769107458769,AI,[0.001],0.1,0.01,1726.2948512431283,500000.0,250000.0,68.84668096100694,Zilany2014,Zilany2014,40.0,72.0,60.0,0.00470246788893386,none
13,[0.],2589.4422768646923,1035.7769107458769,AI,[0.001],0.1,0.01,1726.2948512431283,500000.0,250000.0,78.84668096100694,Zilany2014,Zilany2014,40.0,72.0,70.0,0.0042831346521215305,none
14,[0.],2589.4422768646923,1035.7769107458769,AI,[0.001],0.1,0.01,1726.2948512431283,500000.0,250000.0,88.84668096100694,Zilany2014,Zilany2014,40.0,72.0,80.0,0.004012909453431122,none
15,[0.],2861.8028558750702,1144.721142350028,AI,[0.001],0.1,0.01,1907.8685705833802,500000.0,250000.0,50.25647199162987,Zilany2014,Zilany2014,40.0,72.0,40.0,0.007102465779521105,none
16,[0.],2861.8028558750702,1144.721142350028,AI,[0.001],0.1,0.01,1907.8685705833802,500000.0,250000.0,60.25647199162987,Zilany2014,Zilany2014,40.0,72.0,50.0,0.0058544333694970285,none
17,[0.],2861.8028558750702,1144.721142350028,AI,[0.001],0.1,0.01,1907.8685705833802,500000.0,250000.0,70.25647199162987,Zilany2014,Zilany2014,40.0,72.0,60.0,0.005187420250893798,none
18,[0.],2861.8028558750702,1144.721142350028,AI,[0.001],0.1,0.01,1907.8685705833802,500000.0,250000.0,80.25647199162987,Zilany2014,Zilany2014,40.0,72.0,70.0,0.00475064595392781,none
19,[0.],2861.8028558750702,1144.721142350028,AI,[0.001],0.1,0.01,1907.8685705833802,500000.0,250000.0,90.25647199162987,Zilany2014,Zilany2014,40.0,72.0,80.0,0.004511927119307178,none
20,[0.],3162.8106403712163,1265.1242561484864,AI,[0.001],0.1,0.01,2108.540426914144,500000.0,250000.0,51.11795854297132,Zilany2014,Zilany2014,40.0,72.0,40.0,0.008053329931006251,none
21,[0.],3162.8106403712163,1265.1242561484864,AI,[0.001],0.1,0.01,2108.540426914144,500000.0,250000.0,61.11795854297132,Zilany2014,Zilany2014,40.0,72.0,50.0,0.00661578656466825,none
22,[0.],3162.8106403712163,1265.1242561484864,AI,[0.001],0.1,0.01,2108.540426914144,500000.0,250000.0,71.11795854297132,Zilany2014,Zilany2014,40.0,72.0,60.0,0.005971659059677731,none
23,[0.],3162.8106403712163,1265.1242561484864,AI,[0.001],0.1,0.01,2108.540426914144,500000.0,250000.0,81.11795854297132,Zilany2014,Zilany2014,40.0,72.0,70.0,0.005523395155637859,none
