,API,cf_high,cf_low,decoding_type,delta_theta,dur,dur_ramp,freq,fs,fs_synapse,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,result,roving_type
0,[0.],2120.0166774534496,848.0066709813798,RP,[0.001],0.1,0.01,1413.344451635633,500000.0,250000.0,47.72442468791052,Zilany2014,Zilany2014,40.0,72.0,40.0,2.677290344878129,none
1,[0.],2120.0166774534496,848.0066709813798,RP,[0.001],0.1,0.01,1413.344451635633,500000.0,250000.0,57.72442468791052,Zilany2014,Zilany2014,40.0,72.0,50.0,3.1236322518765047,none
2,[0.],2120.0166774534496,848.0066709813798,RP,[0.001],0.1,0.01,1413.344451635633,500000.0,250000.0,67.72442468791051,Zilany2014,Zilany2014,40.0,72.0,60.0,3.7679008121685427,none
3,[0.],2120.0166774534496,848.0066709813798,RP,[0.001],0.1,0.01,1413.344451635633,500000.0,250000.0,77.72442468791051,Zilany2014,Zilany2014,40.0,72.0,70.0,5.869283617424676,none
4,[0.],2120.0166774534496,848.0066709813798,RP,[0.001],0.1,0.01,1413.344451635633,500000.0,250000.0,87.72442468791051,Zilany2014,Zilany2014,40.0,72.0,80.0,11.135300182153728,none
5,[0.],2343.0025207532694,937.2010083013078,RP,[0.001],0.1,0.01,1562.0016805021796,500000.0,250000.0,47.929405972484574,Zilany2014,Zilany2014,40.0,72.0,40.0,2.8439282091754676,none
6,[0.],2343.0025207532694,937.2010083013078,RP,[0.001],0.1,0.01,1562.0016805021796,500000.0,250000.0,57.929405972484574,Zilany2014,Zilany2014,40.0,72.0,50.0,3.2766855165921083,none
7,[0.],2343.0025207532694,937.2010083013078,RP,[0.001],0.1,0.01,1562.0016805021796,500000.0,250000.0,67.92940597248457,Zilany2014,Zilany2014,40.0,72.0,60.0,3.836438306712671,none
8,[0.],2343.0025207532694,937.2010083013078,RP,[0.001],0.1,0.01,1562.0016805021796,500000.0,250000.0,77.92940597248457,Zilany2014,Zilany2014,40.0,72.0,70.0,5.527538480207751,none
9,[0.],2343.0025207532694,937.2010083013078,RP,[0.001],0.1,0.01,1562.0016805021796,500000.0,250000.0,87.92940597248457,Zilany2014,Zilany2014,40.0,72.0,80.0,9.672917992028157,none
10,[0.],2589.4422768646923,1035.7769107458769,RP,[0.001],0.1,0.01,1726.2948512431283,500000.0,250000.0,48.84668096100693,Zilany2014,Zilany2014,40.0,72.0,40.0,3.068264220538067,none
11,[0.],2589.4422768646923,1035.7769107458769,RP,[0.001],0.1,0.01,1726.2948512431283,500000.0,250000.0,58.84668096100693,Zilany2014,Zilany2014,40.0,72.0,50.0,3.507253768393203,none
12,[0.],2589.4422768646923,1035.7769107458769,RP,[0.001],0.1,0.01,1726.2948512431283,500000.0,250000.0,68.84668096100694,Zilany2014,Zilany2014,40.0,72.0,60.0,4.169993160939344,none
13,[0.],2589.4422768646923,1035.7769107458769,RP,[0.001],0.1,0.01,1726.2948512431283,500000.0,250000.0,78.84668096100694,Zilany2014,Zilany2014,40.0,72.0,70.0,5.320499856729271,none
14,[0.],2589.4422768646923,1035.7769107458769,RP,[0.001],0.1,0.01,1726.2948512431283,500000.0,250000.0,88.84668096100694,Zilany2014,Zilany2014,40.0,72.0,80.0,9.07835210468883,none
15,[0.],2861.8028558750702,1144.721142350028,RP,[0.001],0.1,0.01,1907.8685705833802,500000.0,250000.0,50.25647199162987,Zilany2014,Zilany2014,40.0,72.0,40.0,3.263653276021183,none
16,[0.],2861.8028558750702,1144.721142350028,RP,[0.001],0.1,0.01,1907.8685705833802,500000.0,250000.0,60.25647199162987,Zilany2014,Zilany2014,40.0,72.0,50.0,3.703652650830283,none
17,[0.],2861.8028558750702,1144.721142350028,RP,[0.001],0.1,0.01,1907.8685705833802,500000.0,250000.0,70.25647199162987,Zilany2014,Zilany2014,40.0,72.0,60.0,4.2387025132698595,none
18,[0.],2861.8028558750702,1144.721142350028,RP,[0.001],0.1,0.01,1907.8685705833802,500000.0,250000.0,80.25647199162987,Zilany2014,Zilany2014,40.0,72.0,70.0,5.119960436403508,none
19,[0.],2861.8028558750702,1144.721142350028,RP,[0.001],0.1,0.01,1907.8685705833802,500000.0,250000.0,90.25647199162987,Zilany2014,Zilany2014,40.0,72.0,80.0,8.791824230421664,none
20,[0.],3162.8106403712163,1265.1242561484864,RP,[0.001],0.1,0.01,2108.540426914144,500000.0,250000.0,51.11795854297132,Zilany2014,Zilany2014,40.0,72.0,40.0,3.5548776019375357,none
21,[0.],3162.8106403712163,1265.1242561484864,RP,[0.001],0.1,0.01,2108.540426914144,500000.0,250000.0,61.11795854297132,Zilany2014,Zilany2014,40.0,72.0,50.0,4.0885045588248765,none
22,[0.],3162.8106403712163,1265.1242561484864,RP,[0.001],0.1,0.01,2108.540426914144,500000.0,250000.0,71.11795854297132,Zilany2014,Zilany2014,40.0,72.0,60.0,4.910480191360199,none
23,[0.],3162.8106403712163,1265.1242561484864,RP,[0.001],0.1,0.01,2108.540426914144,500000.0,250000.0,81.11795854297132,Zilany2014,Zilany2014,40.0,72.0,70.0,5.75833935039661,none
24,[0.],3162.8106403712163,1265.1242561484864,RP,[0.001],0.1,0.01,2108.540426914144,500000.0,250000.0,91.11795854297132,Zilany2014,Zilany2014,40.0,72.0,80.0,9.540389905010706,none
25,[0.],3495.478777061525,1398.1915108246098,RP,[0.001],0.1,0.01,2330.3191847076832,500000.0,250000.0,50.99877222435953,Zilany2014,Zilany2014,40.0,72.0,40.0,3.723050220455945,none
26,[0.],3495.478777061525,1398.1915108246098,RP,[0.001],0.1,0.01,2330.3191847076832,500000.0,250000.0,60.99877222435953,Zilany2014,Zilany2014,40.0,72.0,50.0,4.371483866501357,none
27,[0.],3495.478777061525,1398.1915108246098,RP,[0.001],0.1,0.01,2330.3191847076832,500000.0,250000.0,70.99877222435953,Zilany2014,Zilany2014,40.0,72.0,60.0,5.856320793337244,none
28,[0.],3495.478777061525,1398.1915108246098,RP,[0.001],0.1,0.01,2330.3191847076832,500000.0,250000.0,80.99877222435953,Zilany2014,Zilany2014,40.0,72.0,70.0,7.268039144581578,none
29,[0.],3495.478777061525,1398.1915108246098,RP,[0.001],0.1,0.01,2330.3191847076832,500000.0,250000.0,90.99877222435953,Zilany2014,Zilany2014,40.0,72.0,80.0,10.568796969761731,none
30,[0.],3863.137338963008,1545.2549355852032,RP,[0.001],0.1,0.01,2575.4248926420055,500000.0,250000.0,50.08353226943191,Zilany2014,Zilany2014,40.0,72.0,40.0,3.774804961635898,none
31,[0.],3863.137338963008,1545.2549355852032,RP,[0.001],0.1,0.01,2575.4248926420055,500000.0,250000.0,60.08353226943191,Zilany2014,Zilany2014,40.0,72.0,50.0,4.403045639731593,none
32,[0.],3863.137338963008,1545.2549355852032,RP,[0.001],0.1,0.01,2575.4248926420055,500000.0,250000.0,70.08353226943191,Zilany2014,Zilany2014,40.0,72.0,60.0,6.021497983604999,none
33,[0.],3863.137338963008,1545.2549355852032,RP,[0.001],0.1,0.01,2575.4248926420055,500000.0,250000.0,80.08353226943191,Zilany2014,Zilany2014,40.0,72.0,70.0,7.789269667127997,none
34,[0.],3863.137338963008,1545.2549355852032,RP,[0.001],0.1,0.01,2575.4248926420055,500000.0,250000.0,90.08353226943191,Zilany2014,Zilany2014,40.0,72.0,80.0,12.292891993900772,none
35,[0.],4269.466660082513,1707.7866640330053,RP,[0.001],0.1,0.01,2846.3111067216755,500000.0,250000.0,48.70087320773526,Zilany2014,Zilany2014,40.0,72.0,40.0,3.7698820865648126,none
36,[0.],4269.466660082513,1707.7866640330053,RP,[0.001],0.1,0.01,2846.3111067216755,500000.0,250000.0,58.70087320773526,Zilany2014,Zilany2014,40.0,72.0,50.0,4.3687228173300765,none
37,[0.],4269.466660082513,1707.7866640330053,RP,[0.001],0.1,0.01,2846.3111067216755,500000.0,250000.0,68.70087320773527,Zilany2014,Zilany2014,40.0,72.0,60.0,5.935049449755554,none
38,[0.],4269.466660082513,1707.7866640330053,RP,[0.001],0.1,0.01,2846.3111067216755,500000.0,250000.0,78.70087320773527,Zilany2014,Zilany2014,40.0,72.0,70.0,8.001145057339341,none
39,[0.],4269.466660082513,1707.7866640330053,RP,[0.001],0.1,0.01,2846.3111067216755,500000.0,250000.0,88.70087320773527,Zilany2014,Zilany2014,40.0,72.0,80.0,12.418141291457962,none
40,[0.],4718.534176278918,1887.4136705115668,RP,[0.001],0.1,0.01,3145.6894508526116,500000.0,250000.0,47.243707257190316,Zilany2014,Zilany2014,40.0,72.0,40.0,3.81245993748951,none
41,[0.],4718.534176278918,1887.4136705115668,RP,[0.001],0.1,0.01,3145.6894508526116,500000.0,250000.0,57.243707257190316,Zilany2014,Zilany2014,40.0,72.0,50.0,4.401183025576723,none
42,[0.],4718.534176278918,1887.4136705115668,RP,[0.001],0.1,0.01,3145.6894508526116,500000.0,250000.0,67.24370725719032,Zilany2014,Zilany2014,40.0,72.0,60.0,6.317077789058578,none
43,[0.],4718.534176278918,1887.4136705115668,RP,[0.001],0.1,0.01,3145.6894508526116,500000.0,250000.0,77.24370725719032,Zilany2014,Zilany2014,40.0,72.0,70.0,8.500316568722447,none
44,[0.],4718.534176278918,1887.4136705115668,RP,[0.001],0.1,0.01,3145.6894508526116,500000.0,250000.0,87.24370725719032,Zilany2014,Zilany2014,40.0,72.0,80.0,12.298782286905215,none
45,[0.],5214.835141090398,2085.934056436159,RP,[0.001],0.1,0.01,3476.5567607269318,500000.0,250000.0,45.82534660999041,Zilany2014,Zilany2014,40.0,72.0,40.0,4.042040549248882,none
46,[0.],5214.835141090398,2085.934056436159,RP,[0.001],0.1,0.01,3476.5567607269318,500000.0,250000.0,55.82534660999041,Zilany2014,Zilany2014,40.0,72.0,50.0,4.562984523605979,none
47,[0.],5214.835141090398,2085.934056436159,RP,[0.001],0.1,0.01,3476.5567607269318,500000.0,250000.0,65.82534660999042,Zilany2014,Zilany2014,40.0,72.0,60.0,6.700054713018467,none
48,[0.],5214.835141090398,2085.934056436159,RP,[0.001],0.1,0.01,3476.5567607269318,500000.0,250000.0,75.82534660999042,Zilany2014,Zilany2014,40.0,72.0,70.0,8.492532872280396,none
49,[0.],5214.835141090398,2085.934056436159,RP,[0.001],0.1,0.01,3476.5567607269318,500000.0,250000.0,85.82534660999042,Zilany2014,Zilany2014,40.0,72.0,80.0,11.460095374631225,none
50,[0.],5763.337624100281,2305.335049640112,RP,[0.001],0.1,0.01,3842.22508273352,500000.0,250000.0,44.39657955119893,Zilany2014,Zilany2014,40.0,72.0,40.0,4.305699197499366,none
51,[0.],5763.337624100281,2305.335049640112,RP,[0.001],0.1,0.01,3842.22508273352,500000.0,250000.0,54.39657955119893,Zilany2014,Zilany2014,40.0,72.0,50.0,4.84530863298725,none
52,[0.],5763.337624100281,2305.335049640112,RP,[0.001],0.1,0.01,3842.22508273352,500000.0,250000.0,64.39657955119893,Zilany2014,Zilany2014,40.0,72.0,60.0,7.1682734618906725,none
53,[0.],5763.337624100281,2305.335049640112,RP,[0.001],0.1,0.01,3842.22508273352,500000.0,250000.0,74.39657955119893,Zilany2014,Zilany2014,40.0,72.0,70.0,8.743843588376045,none
54,[0.],5763.337624100281,2305.335049640112,RP,[0.001],0.1,0.01,3842.22508273352,500000.0,250000.0,84.39657955119893,Zilany2014,Zilany2014,40.0,72.0,80.0,11.250097170510662,none
