,API,F0,cf_high,cf_low,decoding_type,delta_theta,dur,dur_ramp,fs,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,result,roving_type
0,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,AI,[0.001],0.1,0.01,500000.0,53.31510066171346,Heinz2001,Heinz2001,40.0,51.0,40.0,0.001470524399990867,none
1,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,AI,[0.001],0.1,0.01,500000.0,63.31510066171346,Heinz2001,Heinz2001,40.0,51.0,50.0,0.0014224132150693093,none
2,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,AI,[0.001],0.1,0.01,500000.0,73.31510066171346,Heinz2001,Heinz2001,40.0,51.0,60.0,0.0013737188885031074,none
3,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,AI,[0.001],0.1,0.01,500000.0,83.31510066171346,Heinz2001,Heinz2001,40.0,51.0,70.0,0.0011896371860348985,none
4,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,AI,[0.001],0.1,0.01,500000.0,93.31510066171346,Heinz2001,Heinz2001,40.0,51.0,80.0,0.0009162247150745567,none
5,[0.],195.25021006277245,2147.752310690497,976.2510503138623,AI,[0.001],0.1,0.01,500000.0,53.61671705526375,Heinz2001,Heinz2001,40.0,51.0,40.0,0.001542608999945523,none
6,[0.],195.25021006277245,2147.752310690497,976.2510503138623,AI,[0.001],0.1,0.01,500000.0,63.61671705526375,Heinz2001,Heinz2001,40.0,51.0,50.0,0.0014925164279868033,none
7,[0.],195.25021006277245,2147.752310690497,976.2510503138623,AI,[0.001],0.1,0.01,500000.0,73.61671705526375,Heinz2001,Heinz2001,40.0,51.0,60.0,0.0014344993086406513,none
8,[0.],195.25021006277245,2147.752310690497,976.2510503138623,AI,[0.001],0.1,0.01,500000.0,83.61671705526375,Heinz2001,Heinz2001,40.0,51.0,70.0,0.0012057691207637063,none
9,[0.],195.25021006277245,2147.752310690497,976.2510503138623,AI,[0.001],0.1,0.01,500000.0,93.61671705526375,Heinz2001,Heinz2001,40.0,51.0,80.0,0.0009122650346722844,none
10,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,AI,[0.001],0.1,0.01,500000.0,54.014401565273985,Heinz2001,Heinz2001,40.0,51.0,40.0,0.0016251561125384308,none
11,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,AI,[0.001],0.1,0.01,500000.0,64.01440156527399,Heinz2001,Heinz2001,40.0,51.0,50.0,0.0015766271966415183,none
12,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,AI,[0.001],0.1,0.01,500000.0,74.01440156527399,Heinz2001,Heinz2001,40.0,51.0,60.0,0.0014974061398311189,none
13,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,AI,[0.001],0.1,0.01,500000.0,84.01440156527399,Heinz2001,Heinz2001,40.0,51.0,70.0,0.0012084735443654245,none
14,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,AI,[0.001],0.1,0.01,500000.0,94.01440156527399,Heinz2001,Heinz2001,40.0,51.0,80.0,0.0008950912276948132,none
15,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,AI,[0.001],0.1,0.01,500000.0,54.4939876158342,Heinz2001,Heinz2001,40.0,51.0,40.0,0.001730409298968344,none
16,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,AI,[0.001],0.1,0.01,500000.0,64.4939876158342,Heinz2001,Heinz2001,40.0,51.0,50.0,0.0016866509765417603,none
17,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,AI,[0.001],0.1,0.01,500000.0,74.4939876158342,Heinz2001,Heinz2001,40.0,51.0,60.0,0.0015823703526596758,none
18,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,AI,[0.001],0.1,0.01,500000.0,84.4939876158342,Heinz2001,Heinz2001,40.0,51.0,70.0,0.0012111142144454962,none
19,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,AI,[0.001],0.1,0.01,500000.0,94.4939876158342,Heinz2001,Heinz2001,40.0,51.0,80.0,0.0008630409820613515,none
20,[0.],263.567553364268,2899.243087006948,1317.83776682134,AI,[0.001],0.1,0.01,500000.0,54.972581766637475,Heinz2001,Heinz2001,40.0,51.0,40.0,0.00188119146265935,none
21,[0.],263.567553364268,2899.243087006948,1317.83776682134,AI,[0.001],0.1,0.01,500000.0,64.97258176663748,Heinz2001,Heinz2001,40.0,51.0,50.0,0.0018334423028782195,none
22,[0.],263.567553364268,2899.243087006948,1317.83776682134,AI,[0.001],0.1,0.01,500000.0,74.97258176663748,Heinz2001,Heinz2001,40.0,51.0,60.0,0.0016270400158898812,none
23,[0.],263.567553364268,2899.243087006948,1317.83776682134,AI,[0.001],0.1,0.01,500000.0,84.97258176663748,Heinz2001,Heinz2001,40.0,51.0,70.0,0.0011591014985184835,none
24,[0.],263.567553364268,2899.243087006948,1317.83776682134,AI,[0.001],0.1,0.01,500000.0,94.97258176663748,Heinz2001,Heinz2001,40.0,51.0,80.0,0.0008202110041718191,none
25,[0.],291.2898980884604,3204.1888789730647,1456.449490442302,AI,[0.001],0.1,0.01,500000.0,55.43464390139043,Heinz2001,Heinz2001,40.0,51.0,40.0,0.0020802901699083303,none
26,[0.],291.2898980884604,3204.1888789730647,1456.449490442302,AI,[0.001],0.1,0.01,500000.0,65.43464390139043,Heinz2001,Heinz2001,40.0,51.0,50.0,0.0020316760072051797,none
27,[0.],291.2898980884604,3204.1888789730647,1456.449490442302,AI,[0.001],0.1,0.01,500000.0,75.43464390139043,Heinz2001,Heinz2001,40.0,51.0,60.0,0.0017698367256216304,none
28,[0.],291.2898980884604,3204.1888789730647,1456.449490442302,AI,[0.001],0.1,0.01,500000.0,85.43464390139043,Heinz2001,Heinz2001,40.0,51.0,70.0,0.0011839243669913683,none
29,[0.],291.2898980884604,3204.1888789730647,1456.449490442302,AI,[0.001],0.1,0.01,500000.0,95.43464390139043,Heinz2001,Heinz2001,40.0,51.0,80.0,0.0008216402942492355,none
30,[0.],321.9281115802507,3541.2092273827575,1609.6405579012535,AI,[0.001],0.1,0.01,500000.0,55.926474117245625,Heinz2001,Heinz2001,40.0,51.0,40.0,0.002348923671942661,none
31,[0.],321.9281115802507,3541.2092273827575,1609.6405579012535,AI,[0.001],0.1,0.01,500000.0,65.92647411724562,Heinz2001,Heinz2001,40.0,51.0,50.0,0.002286801405514278,none
32,[0.],321.9281115802507,3541.2092273827575,1609.6405579012535,AI,[0.001],0.1,0.01,500000.0,75.92647411724562,Heinz2001,Heinz2001,40.0,51.0,60.0,0.0018723564225959148,none
33,[0.],321.9281115802507,3541.2092273827575,1609.6405579012535,AI,[0.001],0.1,0.01,500000.0,85.92647411724562,Heinz2001,Heinz2001,40.0,51.0,70.0,0.0011953987904041814,none
34,[0.],321.9281115802507,3541.2092273827575,1609.6405579012535,AI,[0.001],0.1,0.01,500000.0,95.92647411724562,Heinz2001,Heinz2001,40.0,51.0,80.0,0.0008246014974530686,none
35,[0.],355.78888834020944,3913.677771742304,1778.9444417010473,AI,[0.001],0.1,0.01,500000.0,56.433654302771586,Heinz2001,Heinz2001,40.0,51.0,40.0,0.0026984473546614045,none
36,[0.],355.78888834020944,3913.677771742304,1778.9444417010473,AI,[0.001],0.1,0.01,500000.0,66.43365430277159,Heinz2001,Heinz2001,40.0,51.0,50.0,0.0025986164562082793,none
37,[0.],355.78888834020944,3913.677771742304,1778.9444417010473,AI,[0.001],0.1,0.01,500000.0,76.43365430277159,Heinz2001,Heinz2001,40.0,51.0,60.0,0.0019762766758708965,none
38,[0.],355.78888834020944,3913.677771742304,1778.9444417010473,AI,[0.001],0.1,0.01,500000.0,86.43365430277159,Heinz2001,Heinz2001,40.0,51.0,70.0,0.0012073953376165742,none
39,[0.],355.78888834020944,3913.677771742304,1778.9444417010473,AI,[0.001],0.1,0.01,500000.0,96.43365430277159,Heinz2001,Heinz2001,40.0,51.0,80.0,0.0008254779580673234,none
40,[0.],393.21118135657645,4325.3229949223405,1966.0559067828822,AI,[0.001],0.1,0.01,500000.0,56.896005181474834,Heinz2001,Heinz2001,40.0,51.0,40.0,0.0031797906180208346,none
41,[0.],393.21118135657645,4325.3229949223405,1966.0559067828822,AI,[0.001],0.1,0.01,500000.0,66.89600518147483,Heinz2001,Heinz2001,40.0,51.0,50.0,0.0030223290593619926,none
