,API,F0,cf_high,cf_low,decoding_type,delta_theta,dur,dur_ramp,fs,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,result,roving_type
0,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,AI,[0.001],0.1,0.01,200000.0,47.72442468791052,Zilany2014,Zilany2014,40.0,51.0,40.0,0.000595237121815331,none
1,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,AI,[0.001],0.1,0.01,200000.0,57.72442468791052,Zilany2014,Zilany2014,40.0,51.0,50.0,0.000551791609251804,none
2,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,AI,[0.001],0.1,0.01,200000.0,67.72442468791051,Zilany2014,Zilany2014,40.0,51.0,60.0,0.0005254653613081411,none
3,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,AI,[0.001],0.1,0.01,200000.0,77.72442468791051,Zilany2014,Zilany2014,40.0,51.0,70.0,0.0004952529092416185,none
4,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,AI,[0.001],0.1,0.01,200000.0,87.72442468791051,Zilany2014,Zilany2014,40.0,51.0,80.0,0.0005096387225495551,none
5,[0.],195.25021006277245,2147.752310690497,976.2510503138623,AI,[0.001],0.1,0.01,200000.0,47.929405972484574,Zilany2014,Zilany2014,40.0,51.0,40.0,0.0006354524575803602,none
6,[0.],195.25021006277245,2147.752310690497,976.2510503138623,AI,[0.001],0.1,0.01,200000.0,57.929405972484574,Zilany2014,Zilany2014,40.0,51.0,50.0,0.0005862862221339946,none
7,[0.],195.25021006277245,2147.752310690497,976.2510503138623,AI,[0.001],0.1,0.01,200000.0,67.92940597248457,Zilany2014,Zilany2014,40.0,51.0,60.0,0.0005579835708410698,none
8,[0.],195.25021006277245,2147.752310690497,976.2510503138623,AI,[0.001],0.1,0.01,200000.0,77.92940597248457,Zilany2014,Zilany2014,40.0,51.0,70.0,0.0005350907028628681,none
9,[0.],195.25021006277245,2147.752310690497,976.2510503138623,AI,[0.001],0.1,0.01,200000.0,87.92940597248457,Zilany2014,Zilany2014,40.0,51.0,80.0,0.0005338578724025718,none
10,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,AI,[0.001],0.1,0.01,200000.0,48.84668096100693,Zilany2014,Zilany2014,40.0,51.0,40.0,0.0006611716473586825,none
11,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,AI,[0.001],0.1,0.01,200000.0,58.84668096100693,Zilany2014,Zilany2014,40.0,51.0,50.0,0.0006305273120712734,none
12,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,AI,[0.001],0.1,0.01,200000.0,68.84668096100694,Zilany2014,Zilany2014,40.0,51.0,60.0,0.0006182335799402439,none
13,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,AI,[0.001],0.1,0.01,200000.0,78.84668096100694,Zilany2014,Zilany2014,40.0,51.0,70.0,0.0006052617893787591,none
14,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,AI,[0.001],0.1,0.01,200000.0,88.84668096100694,Zilany2014,Zilany2014,40.0,51.0,80.0,0.0005933418763911534,none
15,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,AI,[0.001],0.1,0.01,200000.0,50.25647199162987,Zilany2014,Zilany2014,40.0,51.0,40.0,0.0007466168359798653,none
16,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,AI,[0.001],0.1,0.01,200000.0,60.25647199162987,Zilany2014,Zilany2014,40.0,51.0,50.0,0.0006996310396243368,none
17,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,AI,[0.001],0.1,0.01,200000.0,70.25647199162987,Zilany2014,Zilany2014,40.0,51.0,60.0,0.0006655686796805827,none
18,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,AI,[0.001],0.1,0.01,200000.0,80.25647199162987,Zilany2014,Zilany2014,40.0,51.0,70.0,0.0006769634454591859,none
19,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,AI,[0.001],0.1,0.01,200000.0,90.25647199162987,Zilany2014,Zilany2014,40.0,51.0,80.0,0.0007034659445465488,none
20,[0.],263.567553364268,2899.243087006948,1317.83776682134,AI,[0.001],0.1,0.01,200000.0,51.11795854297132,Zilany2014,Zilany2014,40.0,51.0,40.0,0.0008382046057315083,none
21,[0.],263.567553364268,2899.243087006948,1317.83776682134,AI,[0.001],0.1,0.01,200000.0,61.11795854297132,Zilany2014,Zilany2014,40.0,51.0,50.0,0.0007989130529839772,none
22,[0.],263.567553364268,2899.243087006948,1317.83776682134,AI,[0.001],0.1,0.01,200000.0,71.11795854297132,Zilany2014,Zilany2014,40.0,51.0,60.0,0.0007742692577689688,none
23,[0.],263.567553364268,2899.243087006948,1317.83776682134,AI,[0.001],0.1,0.01,200000.0,81.11795854297132,Zilany2014,Zilany2014,40.0,51.0,70.0,0.0007329915972343592,none
24,[0.],263.567553364268,2899.243087006948,1317.83776682134,AI,[0.001],0.1,0.01,200000.0,91.11795854297132,Zilany2014,Zilany2014,40.0,51.0,80.0,0.000791658961218122,none
25,[0.],291.2898980884604,3204.1888789730647,1456.449490442302,AI,[0.001],0.1,0.01,200000.0,50.99877222435953,Zilany2014,Zilany2014,40.0,51.0,40.0,0.0010158293613590729,none
26,[0.],291.2898980884604,3204.1888789730647,1456.449490442302,AI,[0.001],0.1,0.01,200000.0,60.99877222435953,Zilany2014,Zilany2014,40.0,51.0,50.0,0.0009638793455486972,none
27,[0.],291.2898980884604,3204.1888789730647,1456.449490442302,AI,[0.001],0.1,0.01,200000.0,70.99877222435953,Zilany2014,Zilany2014,40.0,51.0,60.0,0.000927980166543382,none
28,[0.],291.2898980884604,3204.1888789730647,1456.449490442302,AI,[0.001],0.1,0.01,200000.0,80.99877222435953,Zilany2014,Zilany2014,40.0,51.0,70.0,0.0008872569990606774,none
29,[0.],291.2898980884604,3204.1888789730647,1456.449490442302,AI,[0.001],0.1,0.01,200000.0,90.99877222435953,Zilany2014,Zilany2014,40.0,51.0,80.0,0.0009188374293458497,none
30,[0.],321.9281115802507,3541.2092273827575,1609.6405579012535,AI,[0.001],0.1,0.01,200000.0,50.08353226943191,Zilany2014,Zilany2014,40.0,51.0,40.0,0.0012096929365227054,none
31,[0.],321.9281115802507,3541.2092273827575,1609.6405579012535,AI,[0.001],0.1,0.01,200000.0,60.08353226943191,Zilany2014,Zilany2014,40.0,51.0,50.0,0.0011441360992941038,none
32,[0.],321.9281115802507,3541.2092273827575,1609.6405579012535,AI,[0.001],0.1,0.01,200000.0,70.08353226943191,Zilany2014,Zilany2014,40.0,51.0,60.0,0.00109496357240245,none
33,[0.],321.9281115802507,3541.2092273827575,1609.6405579012535,AI,[0.001],0.1,0.01,200000.0,80.08353226943191,Zilany2014,Zilany2014,40.0,51.0,70.0,0.001054682018694487,none
34,[0.],321.9281115802507,3541.2092273827575,1609.6405579012535,AI,[0.001],0.1,0.01,200000.0,90.08353226943191,Zilany2014,Zilany2014,40.0,51.0,80.0,0.0010619395114128442,none
35,[0.],355.78888834020944,3913.677771742304,1778.9444417010473,AI,[0.001],0.1,0.01,200000.0,48.70087320773526,Zilany2014,Zilany2014,40.0,51.0,40.0,0.0015537267795985557,none
36,[0.],355.78888834020944,3913.677771742304,1778.9444417010473,AI,[0.001],0.1,0.01,200000.0,58.70087320773526,Zilany2014,Zilany2014,40.0,51.0,50.0,0.0014394465346456906,none
37,[0.],355.78888834020944,3913.677771742304,1778.9444417010473,AI,[0.001],0.1,0.01,200000.0,68.70087320773527,Zilany2014,Zilany2014,40.0,51.0,60.0,0.0013831341630356803,none
38,[0.],355.78888834020944,3913.677771742304,1778.9444417010473,AI,[0.001],0.1,0.01,200000.0,78.70087320773527,Zilany2014,Zilany2014,40.0,51.0,70.0,0.001297128415199563,none
39,[0.],355.78888834020944,3913.677771742304,1778.9444417010473,AI,[0.001],0.1,0.01,200000.0,88.70087320773527,Zilany2014,Zilany2014,40.0,51.0,80.0,0.0012875031185314062,none
40,[0.],393.21118135657645,4325.3229949223405,1966.0559067828822,AI,[0.001],0.1,0.01,200000.0,47.243707257190316,Zilany2014,Zilany2014,40.0,51.0,40.0,0.002003667721980875,none
41,[0.],393.21118135657645,4325.3229949223405,1966.0559067828822,AI,[0.001],0.1,0.01,200000.0,57.243707257190316,Zilany2014,Zilany2014,40.0,51.0,50.0,0.0019104112931098074,none
42,[0.],393.21118135657645,4325.3229949223405,1966.0559067828822,AI,[0.001],0.1,0.01,200000.0,67.24370725719032,Zilany2014,Zilany2014,40.0,51.0,60.0,0.0018024371397482664,none
43,[0.],393.21118135657645,4325.3229949223405,1966.0559067828822,AI,[0.001],0.1,0.01,200000.0,77.24370725719032,Zilany2014,Zilany2014,40.0,51.0,70.0,0.0016801244329108407,none
44,[0.],393.21118135657645,4325.3229949223405,1966.0559067828822,AI,[0.001],0.1,0.01,200000.0,87.24370725719032,Zilany2014,Zilany2014,40.0,51.0,80.0,0.0015790436814558787,none
45,[0.],434.56959509086647,4780.265545999531,2172.8479754543323,AI,[0.001],0.1,0.01,200000.0,45.82534660999041,Zilany2014,Zilany2014,40.0,51.0,40.0,0.0027263665446811552,none
46,[0.],434.56959509086647,4780.265545999531,2172.8479754543323,AI,[0.001],0.1,0.01,200000.0,55.82534660999041,Zilany2014,Zilany2014,40.0,51.0,50.0,0.0025707560083821856,none
47,[0.],434.56959509086647,4780.265545999531,2172.8479754543323,AI,[0.001],0.1,0.01,200000.0,65.82534660999042,Zilany2014,Zilany2014,40.0,51.0,60.0,0.002477858596811637,none
48,[0.],434.56959509086647,4780.265545999531,2172.8479754543323,AI,[0.001],0.1,0.01,200000.0,75.82534660999042,Zilany2014,Zilany2014,40.0,51.0,70.0,0.002291403526690874,none
49,[0.],434.56959509086647,4780.265545999531,2172.8479754543323,AI,[0.001],0.1,0.01,200000.0,85.82534660999042,Zilany2014,Zilany2014,40.0,51.0,80.0,0.0020710480982936335,none
50,[0.],480.27813534169,5283.05948875859,2401.39067670845,AI,[0.001],0.1,0.01,200000.0,44.39657955119893,Zilany2014,Zilany2014,40.0,51.0,40.0,0.004184443080317946,none
51,[0.],480.27813534169,5283.05948875859,2401.39067670845,AI,[0.001],0.1,0.01,200000.0,54.39657955119893,Zilany2014,Zilany2014,40.0,51.0,50.0,0.004018392869703635,none
52,[0.],480.27813534169,5283.05948875859,2401.39067670845,AI,[0.001],0.1,0.01,200000.0,64.39657955119893,Zilany2014,Zilany2014,40.0,51.0,60.0,0.003973477362380658,none
53,[0.],480.27813534169,5283.05948875859,2401.39067670845,AI,[0.001],0.1,0.01,200000.0,74.39657955119893,Zilany2014,Zilany2014,40.0,51.0,70.0,0.003758589483179981,none
54,[0.],480.27813534169,5283.05948875859,2401.39067670845,AI,[0.001],0.1,0.01,200000.0,84.39657955119893,Zilany2014,Zilany2014,40.0,51.0,80.0,0.0031863226723804995,none
55,[0.],530.7943535236503,5838.7378887601535,2653.9717676182518,AI,[0.001],0.1,0.01,200000.0,42.96831848683961,Zilany2014,Zilany2014,40.0,51.0,40.0,0.006296631028996236,none
56,[0.],530.7943535236503,5838.7378887601535,2653.9717676182518,AI,[0.001],0.1,0.01,200000.0,52.96831848683961,Zilany2014,Zilany2014,40.0,51.0,50.0,0.006011959825401659,none
57,[0.],530.7943535236503,5838.7378887601535,2653.9717676182518,AI,[0.001],0.1,0.01,200000.0,62.96831848683961,Zilany2014,Zilany2014,40.0,51.0,60.0,0.006054918235649582,none
58,[0.],530.7943535236503,5838.7378887601535,2653.9717676182518,AI,[0.001],0.1,0.01,200000.0,72.9683184868396,Zilany2014,Zilany2014,40.0,51.0,70.0,0.006273461429876792,none
59,[0.],530.7943535236503,5838.7378887601535,2653.9717676182518,AI,[0.001],0.1,0.01,200000.0,82.9683184868396,Zilany2014,Zilany2014,40.0,51.0,80.0,0.004948507892477183,none
60,[0.],586.6239268463596,6452.863195309956,2933.119634231798,AI,[0.001],0.1,0.01,200000.0,41.60399309617546,Zilany2014,Zilany2014,40.0,51.0,40.0,0.009005367782901447,none
61,[0.],586.6239268463596,6452.863195309956,2933.119634231798,AI,[0.001],0.1,0.01,200000.0,51.60399309617546,Zilany2014,Zilany2014,40.0,51.0,50.0,0.008803579620927007,none
62,[0.],586.6239268463596,6452.863195309956,2933.119634231798,AI,[0.001],0.1,0.01,200000.0,61.60399309617546,Zilany2014,Zilany2014,40.0,51.0,60.0,0.008787092160073968,none
63,[0.],586.6239268463596,6452.863195309956,2933.119634231798,AI,[0.001],0.1,0.01,200000.0,71.60399309617546,Zilany2014,Zilany2014,40.0,51.0,70.0,0.009187014836268902,none
64,[0.],586.6239268463596,6452.863195309956,2933.119634231798,AI,[0.001],0.1,0.01,200000.0,81.60399309617546,Zilany2014,Zilany2014,40.0,51.0,80.0,0.008247838766328744,none
65,[0.],648.3257202420679,7131.582922662747,3241.628601210339,AI,[0.001],0.1,0.01,200000.0,40.50614153400249,Zilany2014,Zilany2014,40.0,51.0,40.0,0.011980429910656096,none
66,[0.],648.3257202420679,7131.582922662747,3241.628601210339,AI,[0.001],0.1,0.01,200000.0,50.50614153400249,Zilany2014,Zilany2014,40.0,51.0,50.0,0.012459642133069146,none
67,[0.],648.3257202420679,7131.582922662747,3241.628601210339,AI,[0.001],0.1,0.01,200000.0,60.50614153400249,Zilany2014,Zilany2014,40.0,51.0,60.0,0.012938236633919319,none
68,[0.],648.3257202420679,7131.582922662747,3241.628601210339,AI,[0.001],0.1,0.01,200000.0,70.50614153400248,Zilany2014,Zilany2014,40.0,51.0,70.0,0.01263891137079302,none
69,[0.],648.3257202420679,7131.582922662747,3241.628601210339,AI,[0.001],0.1,0.01,200000.0,80.50614153400248,Zilany2014,Zilany2014,40.0,51.0,80.0,0.01332078670522475,none
70,[0.],716.5173807127743,7881.691187840517,3582.5869035638716,AI,[0.001],0.1,0.01,200000.0,39.87458796405344,Zilany2014,Zilany2014,40.0,51.0,40.0,0.015876243281642,none
71,[0.],716.5173807127743,7881.691187840517,3582.5869035638716,AI,[0.001],0.1,0.01,200000.0,49.87458796405344,Zilany2014,Zilany2014,40.0,51.0,50.0,0.017008145978449275,none
72,[0.],716.5173807127743,7881.691187840517,3582.5869035638716,AI,[0.001],0.1,0.01,200000.0,59.87458796405344,Zilany2014,Zilany2014,40.0,51.0,60.0,0.01854893739009055,none
73,[0.],716.5173807127743,7881.691187840517,3582.5869035638716,AI,[0.001],0.1,0.01,200000.0,69.87458796405345,Zilany2014,Zilany2014,40.0,51.0,70.0,0.017696047769094784,none
74,[0.],716.5173807127743,7881.691187840517,3582.5869035638716,AI,[0.001],0.1,0.01,200000.0,79.87458796405345,Zilany2014,Zilany2014,40.0,51.0,80.0,0.019588183349033107,none
75,[0.],791.8815200973457,8710.696721070803,3959.407600486729,AI,[0.001],0.1,0.01,200000.0,39.63635223683202,Zilany2014,Zilany2014,40.0,51.0,40.0,0.020633629837548836,none
76,[0.],791.8815200973457,8710.696721070803,3959.407600486729,AI,[0.001],0.1,0.01,200000.0,49.63635223683202,Zilany2014,Zilany2014,40.0,51.0,50.0,0.022072669391785062,none
77,[0.],791.8815200973457,8710.696721070803,3959.407600486729,AI,[0.001],0.1,0.01,200000.0,59.63635223683202,Zilany2014,Zilany2014,40.0,51.0,60.0,0.021698621352845435,none
78,[0.],791.8815200973457,8710.696721070803,3959.407600486729,AI,[0.001],0.1,0.01,200000.0,69.63635223683201,Zilany2014,Zilany2014,40.0,51.0,70.0,0.023232749365427807,none
79,[0.],791.8815200973457,8710.696721070803,3959.407600486729,AI,[0.001],0.1,0.01,200000.0,79.63635223683201,Zilany2014,Zilany2014,40.0,51.0,80.0,0.028720515110847243,none
80,[0.],875.17254814933,9626.89802964263,4375.86274074665,AI,[0.001],0.1,0.01,200000.0,39.7611214338582,Zilany2014,Zilany2014,40.0,51.0,40.0,0.024935096244659442,none
81,[0.],875.17254814933,9626.89802964263,4375.86274074665,AI,[0.001],0.1,0.01,200000.0,49.7611214338582,Zilany2014,Zilany2014,40.0,51.0,50.0,0.02969683770213937,none
82,[0.],875.17254814933,9626.89802964263,4375.86274074665,AI,[0.001],0.1,0.01,200000.0,59.7611214338582,Zilany2014,Zilany2014,40.0,51.0,60.0,0.027557872927736492,none
83,[0.],875.17254814933,9626.89802964263,4375.86274074665,AI,[0.001],0.1,0.01,200000.0,69.7611214338582,Zilany2014,Zilany2014,40.0,51.0,70.0,0.033579257336261686,none
84,[0.],875.17254814933,9626.89802964263,4375.86274074665,AI,[0.001],0.1,0.01,200000.0,79.7611214338582,Zilany2014,Zilany2014,40.0,51.0,80.0,0.03258377647729109,none
85,[0.],967.2242243259274,10639.466467585202,4836.121121629637,AI,[0.001],0.1,0.01,200000.0,40.69583774187444,Zilany2014,Zilany2014,40.0,51.0,40.0,0.028160460509801977,none
86,[0.],967.2242243259274,10639.466467585202,4836.121121629637,AI,[0.001],0.1,0.01,200000.0,50.69583774187444,Zilany2014,Zilany2014,40.0,51.0,50.0,0.036092403898946745,none
87,[0.],967.2242243259274,10639.466467585202,4836.121121629637,AI,[0.001],0.1,0.01,200000.0,60.69583774187444,Zilany2014,Zilany2014,40.0,51.0,60.0,0.035523352571237475,none
88,[0.],967.2242243259274,10639.466467585202,4836.121121629637,AI,[0.001],0.1,0.01,200000.0,70.69583774187444,Zilany2014,Zilany2014,40.0,51.0,70.0,0.0437537720841149,none
89,[0.],967.2242243259274,10639.466467585202,4836.121121629637,AI,[0.001],0.1,0.01,200000.0,80.69583774187444,Zilany2014,Zilany2014,40.0,51.0,80.0,0.041954096318713385,none
90,[0.],1068.9580038829843,11758.538042712828,5344.7900194149215,AI,[0.001],0.1,0.01,200000.0,42.67751829487255,Zilany2014,Zilany2014,40.0,51.0,40.0,0.03383961533909698,none
91,[0.],1068.9580038829843,11758.538042712828,5344.7900194149215,AI,[0.001],0.1,0.01,200000.0,52.67751829487255,Zilany2014,Zilany2014,40.0,51.0,50.0,0.0423072987218618,none
92,[0.],1068.9580038829843,11758.538042712828,5344.7900194149215,AI,[0.001],0.1,0.01,200000.0,62.67751829487255,Zilany2014,Zilany2014,40.0,51.0,60.0,0.04463992541623631,none
93,[0.],1068.9580038829843,11758.538042712828,5344.7900194149215,AI,[0.001],0.1,0.01,200000.0,72.67751829487254,Zilany2014,Zilany2014,40.0,51.0,70.0,0.047462030777719454,none
94,[0.],1068.9580038829843,11758.538042712828,5344.7900194149215,AI,[0.001],0.1,0.01,200000.0,82.67751829487254,Zilany2014,Zilany2014,40.0,51.0,80.0,0.06860109681765807,none
95,[0.],1181.3922618220581,12995.314880042639,5906.961309110291,AI,[0.001],0.1,0.01,200000.0,44.97720817264995,Zilany2014,Zilany2014,40.0,51.0,40.0,0.03803265838382194,none
96,[0.],1181.3922618220581,12995.314880042639,5906.961309110291,AI,[0.001],0.1,0.01,200000.0,54.97720817264995,Zilany2014,Zilany2014,40.0,51.0,50.0,0.050575600547143586,none
97,[0.],1181.3922618220581,12995.314880042639,5906.961309110291,AI,[0.001],0.1,0.01,200000.0,64.97720817264995,Zilany2014,Zilany2014,40.0,51.0,60.0,0.05926515658351361,none
98,[0.],1181.3922618220581,12995.314880042639,5906.961309110291,AI,[0.001],0.1,0.01,200000.0,74.97720817264995,Zilany2014,Zilany2014,40.0,51.0,70.0,0.06472053316189559,none
99,[0.],1181.3922618220581,12995.314880042639,5906.961309110291,AI,[0.001],0.1,0.01,200000.0,84.97720817264995,Zilany2014,Zilany2014,40.0,51.0,80.0,0.07989724372577034,none
100,[0.],1305.6524870230744,14362.177357253819,6528.262435115372,AI,[0.001],0.1,0.01,200000.0,46.99566586349379,Zilany2014,Zilany2014,40.0,51.0,40.0,0.04191744777279741,none
101,[0.],1305.6524870230744,14362.177357253819,6528.262435115372,AI,[0.001],0.1,0.01,200000.0,56.99566586349379,Zilany2014,Zilany2014,40.0,51.0,50.0,0.054208917541851614,none
102,[0.],1305.6524870230744,14362.177357253819,6528.262435115372,AI,[0.001],0.1,0.01,200000.0,66.9956658634938,Zilany2014,Zilany2014,40.0,51.0,60.0,0.06480731568003298,none
103,[0.],1305.6524870230744,14362.177357253819,6528.262435115372,AI,[0.001],0.1,0.01,200000.0,76.9956658634938,Zilany2014,Zilany2014,40.0,51.0,70.0,0.07909234996983497,none
