,API,cf_high,cf_low,decoding_type,delta_theta,dur,dur_ramp,freq,fs,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,result,roving_type
0,[0.],2120.0166774534496,706.6722258178165,AI,[0.001],0.1,0.01,1413.344451635633,500000.0,47.72442468791052,Zilany2014,Zilany2014,40.0,72.0,40.0,0.0064287638793307485,none
1,[0.],2120.0166774534496,706.6722258178165,AI,[0.001],0.1,0.01,1413.344451635633,500000.0,57.72442468791052,Zilany2014,Zilany2014,40.0,72.0,50.0,0.005179092922134545,none
2,[0.],2120.0166774534496,706.6722258178165,AI,[0.001],0.1,0.01,1413.344451635633,500000.0,67.72442468791051,Zilany2014,Zilany2014,40.0,72.0,60.0,0.0043917014966192575,none
3,[0.],2120.0166774534496,706.6722258178165,AI,[0.001],0.1,0.01,1413.344451635633,500000.0,77.72442468791051,Zilany2014,Zilany2014,40.0,72.0,70.0,0.0038659251422324833,none
4,[0.],2120.0166774534496,706.6722258178165,AI,[0.001],0.1,0.01,1413.344451635633,500000.0,87.72442468791051,Zilany2014,Zilany2014,40.0,72.0,80.0,0.0035280172213271663,none
5,[0.],2343.0025207532694,781.0008402510898,AI,[0.001],0.1,0.01,1562.0016805021796,500000.0,47.929405972484574,Zilany2014,Zilany2014,40.0,72.0,40.0,0.006725861111703546,none
6,[0.],2343.0025207532694,781.0008402510898,AI,[0.001],0.1,0.01,1562.0016805021796,500000.0,57.929405972484574,Zilany2014,Zilany2014,40.0,72.0,50.0,0.005490278441344463,none
7,[0.],2343.0025207532694,781.0008402510898,AI,[0.001],0.1,0.01,1562.0016805021796,500000.0,67.92940597248457,Zilany2014,Zilany2014,40.0,72.0,60.0,0.004690141803753011,none
8,[0.],2343.0025207532694,781.0008402510898,AI,[0.001],0.1,0.01,1562.0016805021796,500000.0,77.92940597248457,Zilany2014,Zilany2014,40.0,72.0,70.0,0.004064489209005982,none
9,[0.],2343.0025207532694,781.0008402510898,AI,[0.001],0.1,0.01,1562.0016805021796,500000.0,87.92940597248457,Zilany2014,Zilany2014,40.0,72.0,80.0,0.0035721258013185473,none
10,[0.],2589.4422768646923,863.1474256215641,AI,[0.001],0.1,0.01,1726.2948512431283,500000.0,48.84668096100693,Zilany2014,Zilany2014,40.0,72.0,40.0,0.00715016322065425,none
11,[0.],2589.4422768646923,863.1474256215641,AI,[0.001],0.1,0.01,1726.2948512431283,500000.0,58.84668096100693,Zilany2014,Zilany2014,40.0,72.0,50.0,0.005847133853237935,none
12,[0.],2589.4422768646923,863.1474256215641,AI,[0.001],0.1,0.01,1726.2948512431283,500000.0,68.84668096100694,Zilany2014,Zilany2014,40.0,72.0,60.0,0.005001972266194128,none
13,[0.],2589.4422768646923,863.1474256215641,AI,[0.001],0.1,0.01,1726.2948512431283,500000.0,78.84668096100694,Zilany2014,Zilany2014,40.0,72.0,70.0,0.0044819762491431075,none
14,[0.],2589.4422768646923,863.1474256215641,AI,[0.001],0.1,0.01,1726.2948512431283,500000.0,88.84668096100694,Zilany2014,Zilany2014,40.0,72.0,80.0,0.004222183172930859,none
15,[0.],2861.8028558750702,953.9342852916901,AI,[0.001],0.1,0.01,1907.8685705833802,500000.0,50.25647199162987,Zilany2014,Zilany2014,40.0,72.0,40.0,0.007788672775743748,none
16,[0.],2861.8028558750702,953.9342852916901,AI,[0.001],0.1,0.01,1907.8685705833802,500000.0,60.25647199162987,Zilany2014,Zilany2014,40.0,72.0,50.0,0.006447448192614882,none
17,[0.],2861.8028558750702,953.9342852916901,AI,[0.001],0.1,0.01,1907.8685705833802,500000.0,70.25647199162987,Zilany2014,Zilany2014,40.0,72.0,60.0,0.005545580421687936,none
18,[0.],2861.8028558750702,953.9342852916901,AI,[0.001],0.1,0.01,1907.8685705833802,500000.0,80.25647199162987,Zilany2014,Zilany2014,40.0,72.0,70.0,0.004971845921824187,none
19,[0.],2861.8028558750702,953.9342852916901,AI,[0.001],0.1,0.01,1907.8685705833802,500000.0,90.25647199162987,Zilany2014,Zilany2014,40.0,72.0,80.0,0.004725792345973608,none
20,[0.],3162.8106403712163,1054.270213457072,AI,[0.001],0.1,0.01,2108.540426914144,500000.0,51.11795854297132,Zilany2014,Zilany2014,40.0,72.0,40.0,0.008776536977159348,none
21,[0.],3162.8106403712163,1054.270213457072,AI,[0.001],0.1,0.01,2108.540426914144,500000.0,61.11795854297132,Zilany2014,Zilany2014,40.0,72.0,50.0,0.0072708582643469105,none
22,[0.],3162.8106403712163,1054.270213457072,AI,[0.001],0.1,0.01,2108.540426914144,500000.0,71.11795854297132,Zilany2014,Zilany2014,40.0,72.0,60.0,0.006407947727596678,none
23,[0.],3162.8106403712163,1054.270213457072,AI,[0.001],0.1,0.01,2108.540426914144,500000.0,81.11795854297132,Zilany2014,Zilany2014,40.0,72.0,70.0,0.005803231198299002,none
24,[0.],3162.8106403712163,1054.270213457072,AI,[0.001],0.1,0.01,2108.540426914144,500000.0,91.11795854297132,Zilany2014,Zilany2014,40.0,72.0,80.0,0.00546181484936731,none
25,[0.],3495.478777061525,1165.1595923538416,AI,[0.001],0.1,0.01,2330.3191847076832,500000.0,50.99877222435953,Zilany2014,Zilany2014,40.0,72.0,40.0,0.010334631988248131,none
26,[0.],3495.478777061525,1165.1595923538416,AI,[0.001],0.1,0.01,2330.3191847076832,500000.0,60.99877222435953,Zilany2014,Zilany2014,40.0,72.0,50.0,0.008586949916967661,none
27,[0.],3495.478777061525,1165.1595923538416,AI,[0.001],0.1,0.01,2330.3191847076832,500000.0,70.99877222435953,Zilany2014,Zilany2014,40.0,72.0,60.0,0.007699349813075186,none
28,[0.],3495.478777061525,1165.1595923538416,AI,[0.001],0.1,0.01,2330.3191847076832,500000.0,80.99877222435953,Zilany2014,Zilany2014,40.0,72.0,70.0,0.007131628019351264,none
29,[0.],3495.478777061525,1165.1595923538416,AI,[0.001],0.1,0.01,2330.3191847076832,500000.0,90.99877222435953,Zilany2014,Zilany2014,40.0,72.0,80.0,0.006831049370933025,none
30,[0.],3863.137338963008,1287.7124463210027,AI,[0.001],0.1,0.01,2575.4248926420055,500000.0,50.08353226943191,Zilany2014,Zilany2014,40.0,72.0,40.0,0.013835897598111728,none
31,[0.],3863.137338963008,1287.7124463210027,AI,[0.001],0.1,0.01,2575.4248926420055,500000.0,60.08353226943191,Zilany2014,Zilany2014,40.0,72.0,50.0,0.011839448147906996,none
32,[0.],3863.137338963008,1287.7124463210027,AI,[0.001],0.1,0.01,2575.4248926420055,500000.0,70.08353226943191,Zilany2014,Zilany2014,40.0,72.0,60.0,0.001350859349571224,none
33,[0.],3863.137338963008,1287.7124463210027,AI,[0.001],0.1,0.01,2575.4248926420055,500000.0,80.08353226943191,Zilany2014,Zilany2014,40.0,72.0,70.0,0.009290632290047621,none
34,[0.],3863.137338963008,1287.7124463210027,AI,[0.001],0.1,0.01,2575.4248926420055,500000.0,90.08353226943191,Zilany2014,Zilany2014,40.0,72.0,80.0,0.01103607329833527,none
35,[0.],4269.466660082513,1423.1555533608378,AI,[0.001],0.1,0.01,2846.3111067216755,500000.0,48.70087320773526,Zilany2014,Zilany2014,40.0,72.0,40.0,0.02005283110372401,none
36,[0.],4269.466660082513,1423.1555533608378,AI,[0.001],0.1,0.01,2846.3111067216755,500000.0,58.70087320773526,Zilany2014,Zilany2014,40.0,72.0,50.0,0.017026806993511813,none
37,[0.],4269.466660082513,1423.1555533608378,AI,[0.001],0.1,0.01,2846.3111067216755,500000.0,68.70087320773527,Zilany2014,Zilany2014,40.0,72.0,60.0,0.019395477722411666,none
38,[0.],4269.466660082513,1423.1555533608378,AI,[0.001],0.1,0.01,2846.3111067216755,500000.0,78.70087320773527,Zilany2014,Zilany2014,40.0,72.0,70.0,0.01805125754043826,none
39,[0.],4269.466660082513,1423.1555533608378,AI,[0.001],0.1,0.01,2846.3111067216755,500000.0,88.70087320773527,Zilany2014,Zilany2014,40.0,72.0,80.0,0.016876437069995743,none
40,[0.],4718.534176278918,1572.8447254263058,AI,[0.001],0.1,0.01,3145.6894508526116,500000.0,47.243707257190316,Zilany2014,Zilany2014,40.0,72.0,40.0,0.02828679065270564,none
