,API,F0,cf_high,cf_low,decoding_type,delta_theta,dur,dur_ramp,fs,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,result,roving_type
0,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,RP,[0.001],0.1,0.01,500000.0,47.72442468791052,Zilany2014,Zilany2014,40.0,51.0,40.0,0.4354353478368351,none
1,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,RP,[0.001],0.1,0.01,500000.0,57.72442468791052,Zilany2014,Zilany2014,40.0,51.0,50.0,0.511929532287105,none
2,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,RP,[0.001],0.1,0.01,500000.0,67.72442468791051,Zilany2014,Zilany2014,40.0,51.0,60.0,0.6700905317194791,none
3,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,RP,[0.001],0.1,0.01,500000.0,77.72442468791051,Zilany2014,Zilany2014,40.0,51.0,70.0,0.4849397025447502,none
4,[0.],176.66805645445413,1943.3486209989956,883.3402822722707,RP,[0.001],0.1,0.01,500000.0,87.72442468791051,Zilany2014,Zilany2014,40.0,51.0,80.0,0.3453980622025251,none
5,[0.],195.25021006277245,2147.752310690497,976.2510503138623,RP,[0.001],0.1,0.01,500000.0,47.929405972484574,Zilany2014,Zilany2014,40.0,51.0,40.0,0.43928100927136143,none
6,[0.],195.25021006277245,2147.752310690497,976.2510503138623,RP,[0.001],0.1,0.01,500000.0,57.929405972484574,Zilany2014,Zilany2014,40.0,51.0,50.0,0.6386245713198656,none
7,[0.],195.25021006277245,2147.752310690497,976.2510503138623,RP,[0.001],0.1,0.01,500000.0,67.92940597248457,Zilany2014,Zilany2014,40.0,51.0,60.0,0.8147700517919841,none
8,[0.],195.25021006277245,2147.752310690497,976.2510503138623,RP,[0.001],0.1,0.01,500000.0,77.92940597248457,Zilany2014,Zilany2014,40.0,51.0,70.0,0.7581147947141156,none
9,[0.],195.25021006277245,2147.752310690497,976.2510503138623,RP,[0.001],0.1,0.01,500000.0,87.92940597248457,Zilany2014,Zilany2014,40.0,51.0,80.0,1.0033376459769594,none
10,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,RP,[0.001],0.1,0.01,500000.0,48.84668096100693,Zilany2014,Zilany2014,40.0,51.0,40.0,0.4965587602221234,none
11,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,RP,[0.001],0.1,0.01,500000.0,58.84668096100693,Zilany2014,Zilany2014,40.0,51.0,50.0,0.6817446888013469,none
12,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,RP,[0.001],0.1,0.01,500000.0,68.84668096100694,Zilany2014,Zilany2014,40.0,51.0,60.0,0.7884273949964353,none
13,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,RP,[0.001],0.1,0.01,500000.0,78.84668096100694,Zilany2014,Zilany2014,40.0,51.0,70.0,0.8348253673573566,none
14,[0.],215.78685640539103,2373.6554204593012,1078.934282026955,RP,[0.001],0.1,0.01,500000.0,88.84668096100694,Zilany2014,Zilany2014,40.0,51.0,80.0,0.6600597189587339,none
15,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,RP,[0.001],0.1,0.01,500000.0,50.25647199162987,Zilany2014,Zilany2014,40.0,51.0,40.0,0.5731110208201148,none
16,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,RP,[0.001],0.1,0.01,500000.0,60.25647199162987,Zilany2014,Zilany2014,40.0,51.0,50.0,0.9312144199636748,none
17,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,RP,[0.001],0.1,0.01,500000.0,70.25647199162987,Zilany2014,Zilany2014,40.0,51.0,60.0,0.8470861138403579,none
18,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,RP,[0.001],0.1,0.01,500000.0,80.25647199162987,Zilany2014,Zilany2014,40.0,51.0,70.0,0.6566065560068501,none
19,[0.],238.48357132292253,2623.319284552148,1192.4178566146127,RP,[0.001],0.1,0.01,500000.0,90.25647199162987,Zilany2014,Zilany2014,40.0,51.0,80.0,0.5550001074373393,none
20,[0.],263.567553364268,2899.243087006948,1317.83776682134,RP,[0.001],0.1,0.01,500000.0,51.11795854297132,Zilany2014,Zilany2014,40.0,51.0,40.0,0.56266378266986,none
21,[0.],263.567553364268,2899.243087006948,1317.83776682134,RP,[0.001],0.1,0.01,500000.0,61.11795854297132,Zilany2014,Zilany2014,40.0,51.0,50.0,0.9050564628820598,none
22,[0.],263.567553364268,2899.243087006948,1317.83776682134,RP,[0.001],0.1,0.01,500000.0,71.11795854297132,Zilany2014,Zilany2014,40.0,51.0,60.0,0.6965110295299158,none
23,[0.],263.567553364268,2899.243087006948,1317.83776682134,RP,[0.001],0.1,0.01,500000.0,81.11795854297132,Zilany2014,Zilany2014,40.0,51.0,70.0,0.8896114752375884,none
24,[0.],263.567553364268,2899.243087006948,1317.83776682134,RP,[0.001],0.1,0.01,500000.0,91.11795854297132,Zilany2014,Zilany2014,40.0,51.0,80.0,1.677922469483039,none
25,[0.],291.2898980884604,3204.1888789730647,1456.449490442302,RP,[0.001],0.1,0.01,500000.0,50.99877222435953,Zilany2014,Zilany2014,40.0,51.0,40.0,0.6136647836911749,none
26,[0.],291.2898980884604,3204.1888789730647,1456.449490442302,RP,[0.001],0.1,0.01,500000.0,60.99877222435953,Zilany2014,Zilany2014,40.0,51.0,50.0,0.9381030877781361,none
27,[0.],291.2898980884604,3204.1888789730647,1456.449490442302,RP,[0.001],0.1,0.01,500000.0,70.99877222435953,Zilany2014,Zilany2014,40.0,51.0,60.0,0.7483353076912719,none
28,[0.],291.2898980884604,3204.1888789730647,1456.449490442302,RP,[0.001],0.1,0.01,500000.0,80.99877222435953,Zilany2014,Zilany2014,40.0,51.0,70.0,0.49405657151040905,none
29,[0.],291.2898980884604,3204.1888789730647,1456.449490442302,RP,[0.001],0.1,0.01,500000.0,90.99877222435953,Zilany2014,Zilany2014,40.0,51.0,80.0,0.4119142951818418,none
30,[0.],321.9281115802507,3541.2092273827575,1609.6405579012535,RP,[0.001],0.1,0.01,500000.0,50.08353226943191,Zilany2014,Zilany2014,40.0,51.0,40.0,0.6054706516826834,none
31,[0.],321.9281115802507,3541.2092273827575,1609.6405579012535,RP,[0.001],0.1,0.01,500000.0,60.08353226943191,Zilany2014,Zilany2014,40.0,51.0,50.0,0.877831396545101,none
32,[0.],321.9281115802507,3541.2092273827575,1609.6405579012535,RP,[0.001],0.1,0.01,500000.0,70.08353226943191,Zilany2014,Zilany2014,40.0,51.0,60.0,0.9426661904327106,none
33,[0.],321.9281115802507,3541.2092273827575,1609.6405579012535,RP,[0.001],0.1,0.01,500000.0,80.08353226943191,Zilany2014,Zilany2014,40.0,51.0,70.0,0.6399599670160618,none
34,[0.],321.9281115802507,3541.2092273827575,1609.6405579012535,RP,[0.001],0.1,0.01,500000.0,90.08353226943191,Zilany2014,Zilany2014,40.0,51.0,80.0,0.7360278884296166,none
35,[0.],355.78888834020944,3913.677771742304,1778.9444417010473,RP,[0.001],0.1,0.01,500000.0,48.70087320773526,Zilany2014,Zilany2014,40.0,51.0,40.0,0.6328931190921745,none
36,[0.],355.78888834020944,3913.677771742304,1778.9444417010473,RP,[0.001],0.1,0.01,500000.0,58.70087320773526,Zilany2014,Zilany2014,40.0,51.0,50.0,0.8439644634520659,none
37,[0.],355.78888834020944,3913.677771742304,1778.9444417010473,RP,[0.001],0.1,0.01,500000.0,68.70087320773527,Zilany2014,Zilany2014,40.0,51.0,60.0,1.1943544852252397,none
38,[0.],355.78888834020944,3913.677771742304,1778.9444417010473,RP,[0.001],0.1,0.01,500000.0,78.70087320773527,Zilany2014,Zilany2014,40.0,51.0,70.0,1.3795874996623674,none
39,[0.],355.78888834020944,3913.677771742304,1778.9444417010473,RP,[0.001],0.1,0.01,500000.0,88.70087320773527,Zilany2014,Zilany2014,40.0,51.0,80.0,1.5433766697998965,none
40,[0.],393.21118135657645,4325.3229949223405,1966.0559067828822,RP,[0.001],0.1,0.01,500000.0,47.243707257190316,Zilany2014,Zilany2014,40.0,51.0,40.0,0.6677090900736065,none
41,[0.],393.21118135657645,4325.3229949223405,1966.0559067828822,RP,[0.001],0.1,0.01,500000.0,57.243707257190316,Zilany2014,Zilany2014,40.0,51.0,50.0,0.9090144609582254,none
42,[0.],393.21118135657645,4325.3229949223405,1966.0559067828822,RP,[0.001],0.1,0.01,500000.0,67.24370725719032,Zilany2014,Zilany2014,40.0,51.0,60.0,1.4482746868083698,none
43,[0.],393.21118135657645,4325.3229949223405,1966.0559067828822,RP,[0.001],0.1,0.01,500000.0,77.24370725719032,Zilany2014,Zilany2014,40.0,51.0,70.0,1.1717599208331457,none
44,[0.],393.21118135657645,4325.3229949223405,1966.0559067828822,RP,[0.001],0.1,0.01,500000.0,87.24370725719032,Zilany2014,Zilany2014,40.0,51.0,80.0,1.2081365637250046,none
45,[0.],434.56959509086647,4780.265545999531,2172.8479754543323,RP,[0.001],0.1,0.01,500000.0,45.82534660999041,Zilany2014,Zilany2014,40.0,51.0,40.0,0.6893200048312379,none
46,[0.],434.56959509086647,4780.265545999531,2172.8479754543323,RP,[0.001],0.1,0.01,500000.0,55.82534660999041,Zilany2014,Zilany2014,40.0,51.0,50.0,0.9740118141366491,none
47,[0.],434.56959509086647,4780.265545999531,2172.8479754543323,RP,[0.001],0.1,0.01,500000.0,65.82534660999042,Zilany2014,Zilany2014,40.0,51.0,60.0,1.3046749445260444,none
48,[0.],434.56959509086647,4780.265545999531,2172.8479754543323,RP,[0.001],0.1,0.01,500000.0,75.82534660999042,Zilany2014,Zilany2014,40.0,51.0,70.0,1.5972398883014594,none
49,[0.],434.56959509086647,4780.265545999531,2172.8479754543323,RP,[0.001],0.1,0.01,500000.0,85.82534660999042,Zilany2014,Zilany2014,40.0,51.0,80.0,1.6710548595841077,none
50,[0.],480.27813534169,5283.05948875859,2401.39067670845,RP,[0.001],0.1,0.01,500000.0,44.39657955119893,Zilany2014,Zilany2014,40.0,51.0,40.0,0.7278271434561109,none
51,[0.],480.27813534169,5283.05948875859,2401.39067670845,RP,[0.001],0.1,0.01,500000.0,54.39657955119893,Zilany2014,Zilany2014,40.0,51.0,50.0,1.0146901715240868,none
52,[0.],480.27813534169,5283.05948875859,2401.39067670845,RP,[0.001],0.1,0.01,500000.0,64.39657955119893,Zilany2014,Zilany2014,40.0,51.0,60.0,1.666930580866996,none
53,[0.],480.27813534169,5283.05948875859,2401.39067670845,RP,[0.001],0.1,0.01,500000.0,74.39657955119893,Zilany2014,Zilany2014,40.0,51.0,70.0,2.0304698395547978,none
54,[0.],480.27813534169,5283.05948875859,2401.39067670845,RP,[0.001],0.1,0.01,500000.0,84.39657955119893,Zilany2014,Zilany2014,40.0,51.0,80.0,1.383740961035194,none
55,[0.],530.7943535236503,5838.7378887601535,2653.9717676182518,RP,[0.001],0.1,0.01,500000.0,42.96831848683961,Zilany2014,Zilany2014,40.0,51.0,40.0,0.7897672294029041,none
56,[0.],530.7943535236503,5838.7378887601535,2653.9717676182518,RP,[0.001],0.1,0.01,500000.0,52.96831848683961,Zilany2014,Zilany2014,40.0,51.0,50.0,1.0771914944369483,none
57,[0.],530.7943535236503,5838.7378887601535,2653.9717676182518,RP,[0.001],0.1,0.01,500000.0,62.96831848683961,Zilany2014,Zilany2014,40.0,51.0,60.0,1.8036347937085657,none
58,[0.],530.7943535236503,5838.7378887601535,2653.9717676182518,RP,[0.001],0.1,0.01,500000.0,72.9683184868396,Zilany2014,Zilany2014,40.0,51.0,70.0,2.2756371014679,none
59,[0.],530.7943535236503,5838.7378887601535,2653.9717676182518,RP,[0.001],0.1,0.01,500000.0,82.9683184868396,Zilany2014,Zilany2014,40.0,51.0,80.0,1.4739745969314935,none
60,[0.],586.6239268463596,6452.863195309956,2933.119634231798,RP,[0.001],0.1,0.01,500000.0,41.60399309617546,Zilany2014,Zilany2014,40.0,51.0,40.0,0.8245313334469714,none
61,[0.],586.6239268463596,6452.863195309956,2933.119634231798,RP,[0.001],0.1,0.01,500000.0,51.60399309617546,Zilany2014,Zilany2014,40.0,51.0,50.0,1.208385730041042,none
62,[0.],586.6239268463596,6452.863195309956,2933.119634231798,RP,[0.001],0.1,0.01,500000.0,61.60399309617546,Zilany2014,Zilany2014,40.0,51.0,60.0,1.6367766637904853,none
63,[0.],586.6239268463596,6452.863195309956,2933.119634231798,RP,[0.001],0.1,0.01,500000.0,71.60399309617546,Zilany2014,Zilany2014,40.0,51.0,70.0,2.213155279479391,none
64,[0.],586.6239268463596,6452.863195309956,2933.119634231798,RP,[0.001],0.1,0.01,500000.0,81.60399309617546,Zilany2014,Zilany2014,40.0,51.0,80.0,2.755011259820699,none
65,[0.],648.3257202420679,7131.582922662747,3241.628601210339,RP,[0.001],0.1,0.01,500000.0,40.50614153400249,Zilany2014,Zilany2014,40.0,51.0,40.0,0.8874022236828367,none
66,[0.],648.3257202420679,7131.582922662747,3241.628601210339,RP,[0.001],0.1,0.01,500000.0,50.50614153400249,Zilany2014,Zilany2014,40.0,51.0,50.0,1.3254313217505507,none
67,[0.],648.3257202420679,7131.582922662747,3241.628601210339,RP,[0.001],0.1,0.01,500000.0,60.50614153400249,Zilany2014,Zilany2014,40.0,51.0,60.0,1.8790479464265626,none
68,[0.],648.3257202420679,7131.582922662747,3241.628601210339,RP,[0.001],0.1,0.01,500000.0,70.50614153400248,Zilany2014,Zilany2014,40.0,51.0,70.0,3.0310949602655097,none
69,[0.],648.3257202420679,7131.582922662747,3241.628601210339,RP,[0.001],0.1,0.01,500000.0,80.50614153400248,Zilany2014,Zilany2014,40.0,51.0,80.0,3.0216093905635923,none
70,[0.],716.5173807127743,7881.691187840517,3582.5869035638716,RP,[0.001],0.1,0.01,500000.0,39.87458796405344,Zilany2014,Zilany2014,40.0,51.0,40.0,0.952173783488382,none
71,[0.],716.5173807127743,7881.691187840517,3582.5869035638716,RP,[0.001],0.1,0.01,500000.0,49.87458796405344,Zilany2014,Zilany2014,40.0,51.0,50.0,1.4038932793994432,none
