,API,cf_high,cf_low,decoding_type,delta_theta,dur,dur_ramp,freq,fs,level,model,model_name,n_cf,n_fiber_per_chan,nominal_level,result,roving_type
0,[0.],2120.0166774534496,706.6722258178165,RP,[0.001],0.1,0.01,1413.344451635633,200000.0,47.72442468791052,Zilany2014,Zilany2014,40.0,72.0,40.0,2.9811435813739924,none
1,[0.],2120.0166774534496,706.6722258178165,RP,[0.001],0.1,0.01,1413.344451635633,200000.0,57.72442468791052,Zilany2014,Zilany2014,40.0,72.0,50.0,2.9657302588258876,none
2,[0.],2120.0166774534496,706.6722258178165,RP,[0.001],0.1,0.01,1413.344451635633,200000.0,67.72442468791051,Zilany2014,Zilany2014,40.0,72.0,60.0,2.9674943226138955,none
3,[0.],2120.0166774534496,706.6722258178165,RP,[0.001],0.1,0.01,1413.344451635633,200000.0,77.72442468791051,Zilany2014,Zilany2014,40.0,72.0,70.0,2.3940562944223878,none
4,[0.],2120.0166774534496,706.6722258178165,RP,[0.001],0.1,0.01,1413.344451635633,200000.0,87.72442468791051,Zilany2014,Zilany2014,40.0,72.0,80.0,0.7419376315236388,none
5,[0.],2343.0025207532694,781.0008402510898,RP,[0.001],0.1,0.01,1562.0016805021796,200000.0,47.929405972484574,Zilany2014,Zilany2014,40.0,72.0,40.0,2.1635614392052855,none
6,[0.],2343.0025207532694,781.0008402510898,RP,[0.001],0.1,0.01,1562.0016805021796,200000.0,57.929405972484574,Zilany2014,Zilany2014,40.0,72.0,50.0,1.5445324185041462,none
7,[0.],2343.0025207532694,781.0008402510898,RP,[0.001],0.1,0.01,1562.0016805021796,200000.0,67.92940597248457,Zilany2014,Zilany2014,40.0,72.0,60.0,1.5813327411393172,none
8,[0.],2343.0025207532694,781.0008402510898,RP,[0.001],0.1,0.01,1562.0016805021796,200000.0,77.92940597248457,Zilany2014,Zilany2014,40.0,72.0,70.0,1.1183356238277955,none
9,[0.],2343.0025207532694,781.0008402510898,RP,[0.001],0.1,0.01,1562.0016805021796,200000.0,87.92940597248457,Zilany2014,Zilany2014,40.0,72.0,80.0,1.0493846307169101,none
10,[0.],2589.4422768646923,863.1474256215641,RP,[0.001],0.1,0.01,1726.2948512431283,200000.0,48.84668096100693,Zilany2014,Zilany2014,40.0,72.0,40.0,3.2839462049465,none
11,[0.],2589.4422768646923,863.1474256215641,RP,[0.001],0.1,0.01,1726.2948512431283,200000.0,58.84668096100693,Zilany2014,Zilany2014,40.0,72.0,50.0,2.9848327358351168,none
12,[0.],2589.4422768646923,863.1474256215641,RP,[0.001],0.1,0.01,1726.2948512431283,200000.0,68.84668096100694,Zilany2014,Zilany2014,40.0,72.0,60.0,0.21672282370604634,none
13,[0.],2589.4422768646923,863.1474256215641,RP,[0.001],0.1,0.01,1726.2948512431283,200000.0,78.84668096100694,Zilany2014,Zilany2014,40.0,72.0,70.0,2.536277913904614,none
14,[0.],2589.4422768646923,863.1474256215641,RP,[0.001],0.1,0.01,1726.2948512431283,200000.0,88.84668096100694,Zilany2014,Zilany2014,40.0,72.0,80.0,2.7820866263683692,none
15,[0.],2861.8028558750702,953.9342852916901,RP,[0.001],0.1,0.01,1907.8685705833802,200000.0,50.25647199162987,Zilany2014,Zilany2014,40.0,72.0,40.0,3.782010948401982,none
16,[0.],2861.8028558750702,953.9342852916901,RP,[0.001],0.1,0.01,1907.8685705833802,200000.0,60.25647199162987,Zilany2014,Zilany2014,40.0,72.0,50.0,3.896196635687056,none
17,[0.],2861.8028558750702,953.9342852916901,RP,[0.001],0.1,0.01,1907.8685705833802,200000.0,70.25647199162987,Zilany2014,Zilany2014,40.0,72.0,60.0,0.4248721231665494,none
18,[0.],2861.8028558750702,953.9342852916901,RP,[0.001],0.1,0.01,1907.8685705833802,200000.0,80.25647199162987,Zilany2014,Zilany2014,40.0,72.0,70.0,3.5636226193531133,none
